Original_Index,Anomaly_Score,Detection_Result,True_Label,Split
0,0.07349580526351929,0,0,unlabeled
1,0.055882278829813004,0,0,unlabeled
2,0.656189501285553,0,0,unlabeled
3,0.045718226581811905,0,0,unlabeled
4,0.046702224761247635,0,0,unlabeled
5,0.6622331738471985,0,0,unlabeled
6,0.41031718254089355,0,0,unlabeled
7,0.06387072801589966,0,0,unlabeled
8,0.0549117736518383,0,0,train
9,0.055306367576122284,0,0,unlabeled
10,0.2997490167617798,0,0,unlabeled
11,0.979611337184906,1,0,unlabeled
12,0.2373056411743164,0,0,unlabeled
13,0.3688060939311981,0,0,unlabeled
14,0.23051531612873077,0,0,val
15,0.22565633058547974,0,0,unlabeled
16,0.9465500712394714,1,0,unlabeled
17,0.755789577960968,1,1,train
18,0.006255616433918476,0,0,train
19,0.45951056480407715,0,0,unlabeled
20,0.7645207643508911,1,1,unlabeled
21,0.15702083706855774,0,0,train
22,0.043033748865127563,0,1,unlabeled
23,0.38626590371131897,0,0,unlabeled
24,0.03365696594119072,0,0,unlabeled
25,0.06642226874828339,0,0,unlabeled
26,0.05171246454119682,0,0,train
27,0.0645836591720581,0,0,unlabeled
28,0.0092875175178051,0,0,unlabeled
29,0.19948920607566833,0,0,val
30,0.9282658100128174,1,0,unlabeled
31,0.15120157599449158,0,0,unlabeled
32,0.02719527669250965,0,0,train
33,0.02986282855272293,0,0,unlabeled
34,0.16640090942382812,0,0,unlabeled
35,0.033110957592725754,0,0,train
36,0.238290473818779,0,0,val
37,0.22913753986358643,0,0,unlabeled
38,0.03246656060218811,0,0,unlabeled
39,0.031626928597688675,0,0,unlabeled
40,4.1985489929174946e-07,0,0,unlabeled
41,6.100212317505793e-07,0,0,unlabeled
42,0.09829512238502502,0,0,unlabeled
43,0.006097712554037571,0,0,unlabeled
44,0.011240294203162193,0,0,unlabeled
45,0.008897929452359676,0,0,unlabeled
46,0.008805550634860992,0,1,unlabeled
47,0.00844118744134903,0,0,unlabeled
48,0.11028193682432175,0,0,unlabeled
49,0.0177205391228199,0,0,train
50,0.12322130799293518,0,0,unlabeled
51,0.03485577553510666,0,0,unlabeled
52,0.005275385454297066,0,0,unlabeled
53,0.10441164672374725,0,0,unlabeled
54,3.157617278759517e-09,0,0,unlabeled
55,0.007563394960016012,0,0,train
56,0.08849409967660904,0,0,unlabeled
57,0.4435463845729828,0,0,unlabeled
58,0.8587935566902161,1,0,unlabeled
59,0.17120839655399323,0,0,unlabeled
60,0.05900188162922859,0,0,unlabeled
61,0.43753913044929504,0,0,unlabeled
62,0.2614670991897583,0,0,unlabeled
63,0.8554220199584961,1,0,unlabeled
64,0.05460291728377342,0,0,unlabeled
65,0.5375571846961975,0,0,val
66,0.2416810542345047,0,0,unlabeled
67,0.25557124614715576,0,0,unlabeled
68,0.46304455399513245,0,1,unlabeled
69,0.4747765362262726,0,0,unlabeled
70,0.0016093787271529436,0,0,unlabeled
71,0.30043330788612366,0,0,unlabeled
72,0.36013564467430115,0,0,unlabeled
73,0.8405584096908569,1,0,unlabeled
74,0.483309805393219,0,1,train
75,0.48430028557777405,0,0,train
76,0.8185996413230896,1,0,train
77,0.1759292632341385,0,0,unlabeled
78,0.0915718674659729,0,0,unlabeled
79,0.9558325409889221,1,0,train
80,0.7829488515853882,1,0,unlabeled
81,0.0636536106467247,0,0,unlabeled
82,0.016423385590314865,0,0,unlabeled
83,0.1432560235261917,0,0,unlabeled
84,0.000703738653101027,0,0,unlabeled
85,0.0008057361701503396,0,0,unlabeled
86,0.0008064378635026515,0,0,train
87,0.03651905804872513,0,0,unlabeled
88,0.000631866161711514,0,0,unlabeled
89,0.0008904413552954793,0,0,unlabeled
90,0.0007340110023505986,0,0,train
91,0.0018140595639124513,0,0,unlabeled
92,0.9490117430686951,1,0,unlabeled
93,0.9448866248130798,1,0,unlabeled
94,0.6186097264289856,0,0,unlabeled
95,0.01700088195502758,0,0,unlabeled
96,0.0009180466295219958,0,0,unlabeled
97,0.4718841016292572,0,0,unlabeled
98,0.8021345138549805,1,1,unlabeled
99,0.0007573730545118451,0,0,unlabeled
100,0.04098980501294136,0,0,train
101,0.16101427376270294,0,0,unlabeled
102,0.34721896052360535,0,0,train
103,0.06792175024747849,0,0,train
104,0.03983033820986748,0,0,unlabeled
105,0.5682061910629272,0,0,unlabeled
106,0.16355258226394653,0,0,unlabeled
107,0.012016755528748035,0,0,unlabeled
108,0.011107265017926693,0,0,unlabeled
109,0.02677619643509388,0,0,unlabeled
110,0.0114987688139081,0,0,unlabeled
111,0.04634828120470047,0,0,unlabeled
112,0.0010565158445388079,0,0,unlabeled
113,0.36420145630836487,0,0,unlabeled
114,0.3681541681289673,0,0,unlabeled
115,0.9531593918800354,1,1,unlabeled
116,0.034897591918706894,0,0,unlabeled
117,0.17847517132759094,0,0,train
118,0.0009585447260178626,0,0,unlabeled
119,0.0021241989452391863,0,0,unlabeled
120,0.7993462085723877,1,0,unlabeled
121,0.18631544709205627,0,0,train
122,0.1321837455034256,0,0,unlabeled
123,0.0899251252412796,0,0,unlabeled
124,0.00017365074018016458,0,0,unlabeled
125,0.7816271781921387,1,0,unlabeled
126,0.4281999468803406,0,0,unlabeled
127,0.15221989154815674,0,0,unlabeled
128,0.0003382934082765132,0,0,train
129,0.0006437122938223183,0,0,unlabeled
130,0.050262849777936935,0,0,train
131,0.1725590080022812,0,0,unlabeled
132,0.0019273795187473297,0,0,unlabeled
133,0.05659977346658707,0,0,unlabeled
134,0.058434728533029556,0,0,unlabeled
135,0.023328453302383423,0,0,unlabeled
136,0.1140490397810936,0,0,unlabeled
137,0.0001791367249097675,0,0,unlabeled
138,0.022693516686558723,0,0,unlabeled
139,0.47257325053215027,0,0,unlabeled
140,0.018713632598519325,0,0,train
141,0.00018920093134511262,0,0,unlabeled
142,0.09041847288608551,0,0,val
143,0.9647215604782104,1,0,unlabeled
144,0.3166965842247009,0,0,unlabeled
145,0.06792058795690536,0,0,unlabeled
146,0.1012834683060646,0,0,unlabeled
147,0.9920944571495056,1,1,val
148,0.2282256782054901,0,0,train
149,0.07707348465919495,0,0,unlabeled
150,0.8565505146980286,1,0,unlabeled
151,0.16989901661872864,0,0,unlabeled
152,0.12033236771821976,0,0,unlabeled
153,0.019032252952456474,0,0,val
154,0.6329323649406433,0,0,unlabeled
155,0.028172029182314873,0,0,unlabeled
156,0.03010113723576069,0,0,unlabeled
157,0.49001258611679077,0,0,unlabeled
158,0.8592861890792847,1,1,unlabeled
159,0.8507192134857178,1,1,unlabeled
160,0.49259474873542786,0,0,train
161,0.000519266992341727,0,0,train
162,0.20969779789447784,0,0,train
163,0.028172023594379425,0,0,train
164,0.008695721626281738,0,0,unlabeled
165,0.10531593859195709,0,0,unlabeled
