Original_Index,Anomaly_Score,Detection_Result,True_Label,Split
0,-0.9657686352729797,1,0,unlabeled
1,-1.0149157047271729,1,0,unlabeled
2,-0.9773147702217102,1,0,unlabeled
3,-0.9734624028205872,1,0,unlabeled
4,-0.989010214805603,1,0,train
5,-1.1398508548736572,1,0,unlabeled
6,-0.9657686352729797,1,0,unlabeled
7,-1.046492576599121,1,0,unlabeled
8,-0.980152428150177,1,0,unlabeled
9,-1.2785788774490356,0,0,unlabeled
10,-0.9740012884140015,1,0,train
11,-0.9985563158988953,1,0,test
12,-0.9701356887817383,1,0,unlabeled
13,-1.0135687589645386,1,0,unlabeled
14,-0.9754952192306519,1,0,unlabeled
15,-1.019383192062378,1,0,unlabeled
16,-0.9783018231391907,1,0,unlabeled
17,-1.033290982246399,1,0,unlabeled
18,-1.0132396221160889,1,0,val
19,-0.9969979524612427,1,0,train
20,-0.9734622836112976,1,0,unlabeled
21,-1.0066856145858765,1,0,unlabeled
22,-0.9751991033554077,1,0,unlabeled
23,-1.0268747806549072,1,0,unlabeled
24,-1.0139201879501343,1,0,unlabeled
25,-1.1601934432983398,1,0,unlabeled
26,-1.0151770114898682,1,0,train
27,-1.0151588916778564,1,0,train
28,-1.0184296369552612,1,0,unlabeled
29,-1.0279548168182373,1,0,unlabeled
30,-1.0341575145721436,1,0,unlabeled
31,-1.0015946626663208,1,0,val
32,-1.0146706104278564,1,0,unlabeled
33,-1.00818932056427,1,0,unlabeled
34,-0.9782644510269165,1,0,unlabeled
35,-1.1783182621002197,1,0,unlabeled
36,-0.9988952875137329,1,0,train
37,-0.9909206628799438,1,0,unlabeled
38,-1.0157976150512695,1,0,unlabeled
39,-1.029619812965393,1,0,unlabeled
40,-0.9840213060379028,1,0,train
41,-1.0955169200897217,1,0,unlabeled
42,-0.9770128130912781,1,0,unlabeled
43,-0.9494128227233887,1,0,unlabeled
44,-1.061578631401062,1,0,unlabeled
45,-0.9909206628799438,1,0,train
46,-0.9788588285446167,1,0,unlabeled
47,-1.2466225624084473,0,0,unlabeled
48,-1.5689003467559814,0,0,unlabeled
49,-1.3119961023330688,0,0,unlabeled
50,-0.9920988082885742,1,0,unlabeled
51,-0.9839991331100464,1,0,unlabeled
52,-0.9798415303230286,1,0,unlabeled
53,-0.9734624028205872,1,0,unlabeled
54,-1.0526000261306763,1,0,unlabeled
55,-0.9798415899276733,1,0,train
56,-1.0469319820404053,1,0,test
57,-0.9836636781692505,1,0,unlabeled
58,-1.0442330837249756,1,0,unlabeled
59,-1.184293508529663,1,0,unlabeled
60,-1.8599605560302734,0,0,unlabeled
61,-2.928673267364502,0,0,unlabeled
62,-0.9890247583389282,1,0,unlabeled
63,-0.9692994356155396,1,0,unlabeled
64,-1.0619237422943115,1,0,train
65,-0.9957796335220337,1,0,unlabeled
66,-1.0021425485610962,1,0,unlabeled
67,-0.9653744697570801,1,0,unlabeled
68,-2.0029168128967285,0,0,unlabeled
69,-0.955666184425354,1,0,train
70,-2.060229778289795,0,0,unlabeled
71,-1.0133417844772339,1,0,unlabeled
72,-1.0003502368927002,1,0,unlabeled
73,-1.0131675004959106,1,0,unlabeled
74,-0.9510337114334106,1,0,unlabeled
75,-0.977068305015564,1,0,unlabeled
76,-0.9728597402572632,1,0,unlabeled
