Top_K,Percentage(%),Precision,Recall,F1-Score,AUC,Anomaly_Count_In_TopK
1,0.62,1.0,0.0417,0.08,1.0,1
3,1.88,1.0,0.125,0.2222,1.0,3
4,2.5,1.0,0.1667,0.2857,1.0,4
6,3.75,1.0,0.25,0.4,1.0,6
8,5.0,1.0,0.3333,0.5,1.0,8
9,5.62,1.0,0.375,0.5455,1.0,9
11,6.88,0.8182,0.375,0.5143,1.0,9
12,7.5,0.8333,0.4167,0.5556,1.0,10
14,8.75,0.7857,0.4583,0.5789,1.0,11
16,10.0,0.6875,0.4583,0.55,1.0,11
24,15.0,0.75,0.75,0.75,1.0,18
32,20.0,0.75,1.0,0.8571,1.0,24
40,25.0,0.6,1.0,0.75,1.0,24
48,30.0,0.5,1.0,0.6667,1.0,24
56,35.0,0.4286,1.0,0.6,1.0,24
64,40.0,0.375,1.0,0.5455,1.0,24
72,45.0,0.3333,1.0,0.5,1.0,24
80,50.0,0.3,1.0,0.4615,1.0,24
96,60.0,0.25,1.0,0.4,1.0,24
112,70.0,0.2143,1.0,0.3529,1.0,24
128,80.0,0.1875,1.0,0.3158,1.0,24
144,90.0,0.1667,1.0,0.2857,1.0,24
160,100.0,0.15,1.0,0.2609,1.0,24
