Original_Index,Anomaly_Score,Detection_Result,True_Label,Split
0,1.1062562465667725,1,0,unlabeled
1,0.9945268630981445,1,0,unlabeled
2,1.036527156829834,1,0,unlabeled
3,1.0136770009994507,1,0,val
4,1.0341472625732422,1,0,unlabeled
5,0.9967024922370911,1,0,unlabeled
6,1.5816576480865479,1,0,unlabeled
7,0.9748570322990417,1,0,unlabeled
8,1.0456610918045044,1,0,unlabeled
9,0.9687612652778625,1,0,unlabeled
10,0.9846946597099304,1,0,train
11,1.1415512561798096,1,0,unlabeled
12,0.9935622215270996,1,0,unlabeled
13,1.336428165435791,1,0,unlabeled
14,1.1936051845550537,1,0,unlabeled
15,0.9865673184394836,1,0,unlabeled
16,1.0640846490859985,1,0,unlabeled
17,1.0041218996047974,1,0,unlabeled
18,1.0195602178573608,1,0,unlabeled
19,0.96796715259552,1,0,unlabeled
20,1.0036519765853882,1,0,unlabeled
21,0.9916161298751831,1,0,unlabeled
22,1.362343192100525,1,0,unlabeled
23,0.9733399152755737,1,0,train
24,1.0083080530166626,1,0,unlabeled
25,0.9982237815856934,1,0,unlabeled
26,0.9782547950744629,1,0,unlabeled
27,0.9896260499954224,1,0,unlabeled
28,1.0049786567687988,1,0,unlabeled
29,1.3337029218673706,1,0,unlabeled
30,1.1162458658218384,1,0,train
31,0.9906177520751953,1,0,test
32,0.9961181879043579,1,0,unlabeled
33,1.2756452560424805,1,0,unlabeled
34,1.0523810386657715,1,0,unlabeled
35,1.1081379652023315,1,0,unlabeled
36,0.9912099838256836,1,0,unlabeled
37,0.9579847455024719,0,0,unlabeled
38,1.022484540939331,1,0,unlabeled
39,0.9831236600875854,1,0,val
40,1.0428495407104492,1,0,unlabeled
41,1.0526022911071777,1,0,unlabeled
42,1.071236252784729,1,0,unlabeled
43,1.0258630514144897,1,0,unlabeled
44,0.9800485372543335,1,0,train
45,0.9936301112174988,1,0,unlabeled
46,1.0350356101989746,1,0,unlabeled
47,0.9974153637886047,1,0,unlabeled
48,0.9771896600723267,1,0,unlabeled
49,0.9761717915534973,1,0,train
50,1.0494263172149658,1,0,unlabeled
51,1.0968468189239502,1,0,train
52,1.1329925060272217,1,0,unlabeled
53,0.9849398732185364,1,0,unlabeled
54,1.0098720788955688,1,0,train
55,1.0401411056518555,1,0,unlabeled
56,0.986335277557373,1,0,train
57,1.136024832725525,1,0,unlabeled
58,1.0348013639450073,1,0,train
59,1.1707499027252197,1,0,val
60,1.0367456674575806,1,0,unlabeled
61,1.106830358505249,1,0,unlabeled
62,0.9912319183349609,1,0,unlabeled
63,1.036658525466919,1,0,train
64,1.0316221714019775,1,0,unlabeled
65,1.0093152523040771,1,0,unlabeled
66,1.0221999883651733,1,0,test
67,1.2180230617523193,1,0,test
68,1.0452131032943726,1,0,unlabeled
69,1.0442256927490234,1,0,unlabeled
70,1.1053879261016846,1,0,train
71,0.997805118560791,1,0,unlabeled
72,1.0074900388717651,1,0,unlabeled
73,0.9781253933906555,1,0,unlabeled
74,0.982496440410614,1,0,unlabeled
75,1.0191727876663208,1,0,unlabeled
76,0.9733567237854004,1,0,val
77,0.9793597459793091,1,0,unlabeled
78,1.3130109310150146,1,0,train
79,2.182582139968872,1,0,unlabeled
80,1.263751745223999,1,0,unlabeled
81,1.0413196086883545,1,0,unlabeled
82,0.9743221998214722,1,0,unlabeled
83,1.0150330066680908,1,0,train
84,0.9693490862846375,1,0,unlabeled
85,0.9737342596054077,1,0,unlabeled
86,1.0568925142288208,1,0,train
87,0.9930670857429504,1,0,unlabeled
88,1.1712783575057983,1,0,train
89,1.0479785203933716,1,0,unlabeled
90,1.0664573907852173,1,0,unlabeled
91,1.0184392929077148,1,0,unlabeled
92,1.0406129360198975,1,0,unlabeled
93,0.9896910786628723,1,0,unlabeled
94,1.0405900478363037,1,0,unlabeled
95,0.9989935159683228,1,0,unlabeled
96,1.0841795206069946,1,0,test
97,2.4126248359680176,1,0,unlabeled
98,1.0127203464508057,1,0,unlabeled
99,1.0404613018035889,1,0,unlabeled
100,1.1892379522323608,1,0,train
101,0.9937180280685425,1,0,train
102,0.9973965883255005,1,0,unlabeled
103,1.041629433631897,1,0,unlabeled
104,0.9884960055351257,1,0,unlabeled
105,1.0230038166046143,1,0,unlabeled
106,0.9853023290634155,1,0,unlabeled
107,1.0052225589752197,1,0,val
108,1.0485354661941528,1,0,unlabeled
109,1.0477052927017212,1,0,val
