Top_K,Percentage(%),Precision,Recall,F1-Score,AUC,Anomaly_Count_In_TopK
1,0.99,1.0,0.0714,0.1333,0.5259,1
2,1.98,1.0,0.1429,0.25,0.5259,2
3,2.97,1.0,0.2143,0.3529,0.5259,3
4,3.96,0.75,0.2143,0.3333,0.5259,3
5,4.95,0.8,0.2857,0.4211,0.5259,4
6,5.94,0.6667,0.2857,0.4,0.5259,4
7,6.93,0.5714,0.2857,0.381,0.5259,4
8,7.92,0.5,0.2857,0.3636,0.5259,4
9,8.91,0.4444,0.2857,0.3478,0.5259,4
10,9.9,0.4,0.2857,0.3333,0.5259,4
15,14.85,0.2667,0.2857,0.2759,0.5259,4
20,19.8,0.2,0.2857,0.2353,0.5259,4
25,24.75,0.2,0.3571,0.2564,0.5259,5
30,29.7,0.1667,0.3571,0.2273,0.5259,5
35,34.65,0.1429,0.3571,0.2041,0.5259,5
40,39.6,0.125,0.3571,0.1852,0.5259,5
45,44.55,0.1111,0.3571,0.1695,0.5259,5
50,49.5,0.1,0.3571,0.1562,0.5259,5
60,59.41,0.0833,0.3571,0.1351,0.5259,5
70,69.31,0.1143,0.5714,0.1905,0.5259,8
80,79.21,0.15,0.8571,0.2553,0.5259,12
90,89.11,0.1556,1.0,0.2692,0.5259,14
101,100.0,0.1386,1.0,0.2435,0.5259,14
