Top_K,Percentage(%),Precision,Recall,F1-Score,AUC,Anomaly_Count_In_TopK
41,0.98,0.5366,0.2018,0.2933,0.887,22
83,1.99,0.4699,0.3578,0.4063,0.887,39
125,2.99,0.368,0.422,0.3932,0.887,46
167,4.0,0.3174,0.4862,0.3841,0.887,53
208,4.98,0.2933,0.5596,0.3849,0.887,61
250,5.99,0.26,0.5963,0.3621,0.887,65
292,6.99,0.2432,0.6514,0.3541,0.887,71
334,8.0,0.2186,0.6697,0.3296,0.887,73
375,8.98,0.1973,0.6789,0.3058,0.887,74
417,9.98,0.1823,0.6972,0.289,0.887,76
626,14.99,0.1342,0.7706,0.2286,0.887,84
835,19.99,0.1018,0.7798,0.1801,0.887,85
1044,24.99,0.0852,0.8165,0.1544,0.887,89
1253,30.0,0.0766,0.8807,0.141,0.887,96
1461,34.98,0.0671,0.8991,0.1248,0.887,98
1670,39.98,0.0599,0.9174,0.1124,0.887,100
1879,44.98,0.0543,0.9358,0.1026,0.887,102
2088,49.99,0.0489,0.9358,0.0929,0.887,102
2506,60.0,0.0415,0.9541,0.0795,0.887,104
2923,69.98,0.0356,0.9541,0.0686,0.887,104
3341,79.99,0.0314,0.9633,0.0609,0.887,105
3759,89.99,0.0282,0.9725,0.0548,0.887,106
4177,100.0,0.0261,1.0,0.0509,0.887,109
