Original_Index,Anomaly_Score,Detection_Result,True_Label,Split
0,0.36648300290107727,0,0,unlabeled
1,6.152862941366521e-11,0,0,unlabeled
2,8.882018037725814e-11,0,0,unlabeled
3,5.193453631556488e-13,0,0,unlabeled
4,1.146459089795826e-05,0,0,unlabeled
5,0.000284130044747144,0,0,unlabeled
6,1.2879169952739744e-09,0,0,unlabeled
7,0.0015686569968238473,0,0,unlabeled
8,4.3143927319633235e-10,0,0,train
9,9.53067410591757e-06,0,0,unlabeled
10,0.9816383123397827,1,0,unlabeled
11,6.668998932101589e-20,0,0,unlabeled
12,1.890199108345314e-08,0,0,val
13,1.0450573071577995e-14,0,0,unlabeled
14,5.266753829932802e-13,0,0,train
15,0.03384564816951752,0,0,train
16,1.0753249171102652e-06,0,0,unlabeled
17,0.12370486557483673,0,0,train
18,3.295644646073015e-08,0,0,unlabeled
19,0.00015736812201794237,0,0,unlabeled
20,1.271150596705762e-28,0,0,unlabeled
21,0.9566733241081238,1,0,unlabeled
22,5.827427434915503e-14,0,0,unlabeled
23,1.490531097180735e-21,0,0,train
24,9.017541158229392e-10,0,0,unlabeled
25,9.517502341793715e-10,0,0,unlabeled
26,6.711237468537412e-12,0,0,unlabeled
27,3.012875051441183e-13,0,0,unlabeled
28,3.731416564622947e-11,0,0,unlabeled
29,0.33443593978881836,0,0,train
30,6.261324870138196e-06,0,0,train
31,0.0007069480489008129,0,0,unlabeled
32,1.8544992286744855e-15,0,0,unlabeled
33,2.758255646453933e-12,0,0,train
34,8.260992420241507e-24,0,0,unlabeled
35,9.344166329583459e-08,0,0,unlabeled
36,3.1682961889600847e-06,0,0,unlabeled
37,5.315846252074152e-08,0,0,train
38,6.654154449670102e-10,0,0,unlabeled
39,0.004512034356594086,0,0,unlabeled
40,3.098045908700442e-07,0,0,unlabeled
41,3.105809947873302e-14,0,0,unlabeled
42,2.022773008120149e-12,0,0,unlabeled
43,7.638415695510048e-07,0,0,unlabeled
44,4.047214742720673e-16,0,0,train
45,7.517759528783267e-17,0,0,unlabeled
46,0.9996416568756104,1,0,unlabeled
47,3.5334379088385124e-16,0,0,val
48,7.0533179297171955e-09,0,0,unlabeled
49,9.86814683301418e-08,0,0,unlabeled
50,0.9645454287528992,1,0,unlabeled
51,7.42888985882928e-08,0,0,unlabeled
52,0.00010377214493928477,0,0,unlabeled
53,0.016754794865846634,0,0,unlabeled
54,9.696638159084614e-09,0,0,unlabeled
55,7.518148770202515e-09,0,0,unlabeled
56,2.803873243431647e-23,0,0,unlabeled
57,6.244457728676878e-10,0,0,unlabeled
58,2.7231649135010023e-19,0,0,unlabeled
59,1.5193225300731494e-26,0,0,unlabeled
60,0.011461570858955383,0,0,unlabeled
61,1.231043711413804e-06,0,0,unlabeled
62,0.2302875965833664,0,0,unlabeled
63,3.2569515421178895e-19,0,0,train
64,3.921977054233139e-08,0,0,unlabeled
65,2.4667280255049934e-16,0,0,train
66,0.0013852199772372842,0,0,unlabeled
67,7.286389518412761e-07,0,0,unlabeled
68,1.9235167720344328e-31,0,0,unlabeled
69,4.0109672527766094e-11,0,0,train
70,5.6567998285572685e-08,0,0,unlabeled
71,1.3397626005839675e-14,0,0,train
72,5.318108043262277e-19,0,0,unlabeled
73,4.656422295968043e-20,0,0,unlabeled
74,1.433428398200931e-08,0,0,unlabeled
75,0.5877134799957275,0,0,unlabeled
76,2.250267640378526e-25,0,0,unlabeled
77,0.001921025919727981,0,0,unlabeled
78,0.0011308215325698256,0,0,unlabeled
79,5.048020890185967e-10,0,0,train
80,0.5259524583816528,0,1,unlabeled
81,1.3278320665222054e-09,0,0,val
82,0.07022209465503693,0,0,unlabeled
83,6.289266220175279e-15,0,0,unlabeled
84,1.620589173967346e-08,0,0,unlabeled
85,0.003491360228508711,0,0,train
86,0.006387897301465273,0,0,unlabeled
87,1.2195846554874379e-09,0,0,unlabeled
88,2.266461684996557e-08,0,0,unlabeled
89,0.23528751730918884,0,0,val
90,9.363920980831608e-06,0,0,unlabeled
91,1.2194346925893374e-22,0,0,train
92,2.6805335091883466e-14,0,0,unlabeled
93,2.418361914821181e-16,0,0,unlabeled
94,0.05183751881122589,0,0,val
95,5.040298400871279e-09,0,0,unlabeled
96,2.1271532983386382e-13,0,0,unlabeled
97,1.8267093482244928e-15,0,0,unlabeled
98,0.9935728311538696,1,0,unlabeled
99,6.249503599065065e-07,0,0,unlabeled
100,7.2676040532848596e-12,0,0,unlabeled
101,0.36185869574546814,0,0,train
102,6.03111220698338e-05,0,0,train
103,4.201484785161698e-19,0,0,train
104,0.15939423441886902,0,0,unlabeled
105,5.938137351627071e-14,0,0,unlabeled
106,4.222782523067663e-23,0,0,unlabeled
107,2.0144834151497593e-12,0,0,test
108,0.4848184883594513,0,0,train
109,1.1963375268602883e-21,0,0,unlabeled
110,0.0019197051879018545,0,0,train
111,1.5098938267212036e-14,0,0,train
112,0.988911509513855,1,0,unlabeled
113,3.904839473989341e-08,0,0,unlabeled
114,6.102912064598343e-10,0,0,unlabeled
115,3.62808404080112e-21,0,0,unlabeled
116,1.1348222449790188e-23,0,0,unlabeled
117,8.954957679248657e-15,0,0,unlabeled
118,1.88439792470161e-14,0,0,unlabeled
119,0.001540812780149281,0,0,unlabeled
120,0.002049817703664303,0,0,unlabeled
121,5.150336537459999e-13,0,0,unlabeled
122,1.905186945805326e-05,0,0,train
123,1.0920193221908292e-10,0,0,unlabeled
124,0.03298613801598549,0,0,unlabeled
125,2.1106699440114453e-15,0,0,train
126,3.826710263558927e-25,0,0,unlabeled
127,1.1076125474573928e-06,0,0,unlabeled
128,4.7669042324560706e-11,0,0,unlabeled
129,1.2839930941394018e-12,0,0,unlabeled
130,0.01056306529790163,0,0,unlabeled
131,0.8383762240409851,1,0,unlabeled
132,3.533894243901159e-07,0,0,unlabeled
133,0.05280754715204239,0,0,test
134,0.21790586411952972,0,0,unlabeled
135,9.95375349319273e-17,0,0,unlabeled
136,3.970460511482088e-06,0,0,train
137,5.571491328737466e-06,0,0,unlabeled
138,2.6827954116015462e-06,0,0,unlabeled
139,2.5118102374287766e-18,0,0,unlabeled
140,5.121011668052233e-07,0,0,unlabeled
141,0.9928833246231079,1,0,unlabeled
142,2.997872539404686e-14,0,0,unlabeled
143,0.00013366156781557947,0,0,train
144,7.323668000935868e-07,0,0,unlabeled
145,0.18648678064346313,0,0,val
146,3.4913976952349176e-21,0,0,unlabeled
147,3.616418714655055e-30,0,0,unlabeled
148,2.561502878961619e-05,0,0,unlabeled
149,2.1817920980993222e-07,0,0,unlabeled
150,0.037774063646793365,0,0,val
151,0.11242494732141495,0,0,unlabeled
152,6.492530513213524e-09,0,0,train
153,1.0184627934842899e-13,0,0,unlabeled
154,6.577499504258066e-13,0,0,unlabeled
155,0.5849127173423767,0,0,unlabeled
156,7.442476322727654e-12,0,0,unlabeled
157,1.6152405281324007e-24,0,0,train
158,4.511469255358107e-14,0,0,val
159,0.7823610901832581,1,0,unlabeled
160,3.228537934774067e-07,0,0,unlabeled
161,2.077996242439155e-21,0,0,unlabeled
162,3.7230882298899814e-05,0,0,unlabeled
163,4.620200968474819e-07,0,0,unlabeled
164,0.03144870325922966,0,0,unlabeled
165,0.9641669392585754,1,0,unlabeled
166,9.832167198464692e-12,0,0,unlabeled
167,0.7256931066513062,0,0,unlabeled
168,0.0022875911090523005,0,0,train
169,1.907040484853491e-32,0,0,val
170,3.9305001564571285e-07,0,0,unlabeled
171,1.9319349145380246e-18,0,0,unlabeled
172,0.006844501011073589,0,0,unlabeled
173,0.6921141147613525,0,0,unlabeled
174,0.022367842495441437,0,0,unlabeled
175,0.9694424867630005,1,0,unlabeled
176,7.56431181798689e-05,0,0,unlabeled
177,0.671500027179718,0,0,unlabeled
178,1.918745023362499e-17,0,0,val
179,1.831148058922607e-21,0,0,unlabeled
180,1.2762620826833881e-05,0,0,val
181,5.191235308383562e-17,0,0,unlabeled
182,0.03351345658302307,0,0,train
183,0.9745648503303528,1,0,unlabeled
184,2.2814954786509745e-11,0,0,train
185,3.0035997156119265e-07,0,0,unlabeled
186,9.943486444711661e-21,0,0,train
