Top_K,Percentage(%),Precision,Recall,F1-Score,AUC,Anomaly_Count_In_TopK
63,0.99,0.7778,0.1216,0.2103,0.8695,49
127,1.99,0.6378,0.201,0.3057,0.8695,81
191,3.0,0.5393,0.2556,0.3468,0.8695,103
254,3.99,0.4567,0.2878,0.3531,0.8695,116
318,4.99,0.4025,0.3176,0.3551,0.8695,128
382,5.99,0.3665,0.3474,0.3567,0.8695,140
446,7.0,0.3386,0.3747,0.3557,0.8695,151
509,7.99,0.3183,0.402,0.3553,0.8695,162
573,8.99,0.3037,0.4318,0.3566,0.8695,174
637,10.0,0.2967,0.469,0.3635,0.8695,189
955,14.99,0.2586,0.6129,0.3638,0.8695,247
1274,19.99,0.2182,0.6898,0.3315,0.8695,278
1593,25.0,0.1952,0.7717,0.3116,0.8695,311
1911,29.99,0.1727,0.8189,0.2852,0.8695,330
2230,35.0,0.1565,0.866,0.2651,0.8695,349
2548,39.99,0.1421,0.8983,0.2453,0.8695,362
2867,44.99,0.1298,0.9231,0.2275,0.8695,372
3186,50.0,0.1205,0.9529,0.214,0.8695,384
3823,60.0,0.1038,0.9851,0.1879,0.8695,397
4460,69.99,0.0904,1.0,0.1657,0.8695,403
5097,79.99,0.0791,1.0,0.1465,0.8695,403
5734,89.99,0.0703,1.0,0.1313,0.8695,403
6372,100.0,0.0632,1.0,0.119,0.8695,403
