Original_Index,Anomaly_Score,Detection_Result,True_Label,Split
0,1.6798189506062045e-08,1,1,unlabeled
1,8.584536637101792e-09,1,0,train
2,2.1836560335941613e-05,1,0,unlabeled
3,0.0010190007742494345,1,0,unlabeled
4,2.197379214349815e-12,1,1,unlabeled
5,0.8619903326034546,1,1,test
6,0.028433285653591156,1,0,train
7,0.000970382709056139,1,0,unlabeled
8,0.011465591378509998,1,0,train
9,0.9995757937431335,1,0,unlabeled
10,0.9993047714233398,1,1,unlabeled
11,2.7991275768092223e-16,1,0,unlabeled
12,7.076920569640277e-18,0,0,unlabeled
13,0.0,0,0,train
14,3.270044276665487e-29,0,0,unlabeled
15,0.5630747675895691,1,0,unlabeled
16,3.0201610570657067e-05,1,0,unlabeled
17,0.808838427066803,1,0,unlabeled
18,0.9999992847442627,1,0,unlabeled
19,2.2977870717255655e-09,1,0,train
20,0.6398422122001648,1,0,unlabeled
21,0.9905757904052734,1,0,unlabeled
22,1.591896192609527e-26,0,0,test
23,6.972881609135576e-14,1,0,unlabeled
24,3.6948394105067445e-32,0,0,unlabeled
25,0.996023416519165,1,0,unlabeled
26,9.968238249344855e-23,0,1,unlabeled
27,0.003591914428398013,1,0,train
28,0.9997931122779846,1,0,unlabeled
29,2.2221724718034068e-14,1,0,unlabeled
30,2.2615342758214307e-12,1,0,train
31,1.0344980673823853e-15,1,0,unlabeled
32,5.2585638066204865e-09,1,0,unlabeled
33,7.050171916489489e-06,1,0,unlabeled
34,3.250821464462206e-05,1,1,unlabeled
35,2.4326157407883464e-12,1,0,unlabeled
36,0.09288042038679123,1,0,val
37,0.009099786169826984,1,0,train
38,5.2591956773540005e-05,1,0,unlabeled
39,1.647243408342547e-08,1,0,train
40,1.9992346320107934e-11,1,0,unlabeled
41,0.7656397819519043,1,0,unlabeled
42,5.586070230018504e-22,0,0,unlabeled
43,1.4982912984540783e-34,0,0,unlabeled
44,8.055261423578486e-05,1,0,unlabeled
45,1.9439647014480568e-16,1,1,unlabeled
46,0.0019498763140290976,1,1,unlabeled
47,2.9058515593760603e-08,1,0,test
