Top_K,Percentage(%),Precision,Recall,F1-Score,AUC,Anomaly_Count_In_TopK
4,0.88,0.5,0.037,0.069,0.7231,2
9,1.99,0.6667,0.1111,0.1905,0.7231,6
13,2.88,0.6154,0.1481,0.2388,0.7231,8
18,3.98,0.6111,0.2037,0.3056,0.7231,11
22,4.87,0.5909,0.2407,0.3421,0.7231,13
27,5.97,0.5185,0.2593,0.3457,0.7231,14
31,6.86,0.5161,0.2963,0.3765,0.7231,16
36,7.96,0.4722,0.3148,0.3778,0.7231,17
40,8.85,0.425,0.3148,0.3617,0.7231,17
45,9.96,0.4,0.3333,0.3636,0.7231,18
67,14.82,0.3134,0.3889,0.3471,0.7231,21
90,19.91,0.2556,0.4259,0.3194,0.7231,23
113,25.0,0.2566,0.537,0.3473,0.7231,29
135,29.87,0.2444,0.6111,0.3492,0.7231,33
158,34.96,0.2152,0.6296,0.3208,0.7231,34
180,39.82,0.2056,0.6852,0.3162,0.7231,37
203,44.91,0.1921,0.7222,0.3035,0.7231,39
226,50.0,0.177,0.7407,0.2857,0.7231,40
271,59.96,0.1661,0.8333,0.2769,0.7231,45
316,69.91,0.1487,0.8704,0.2541,0.7231,47
361,79.87,0.1385,0.9259,0.241,0.7231,50
406,89.82,0.1281,0.963,0.2261,0.7231,52
452,100.0,0.1195,1.0,0.2134,0.7231,54
