Original_Index,Anomaly_Score,Detection_Result,True_Label,Split
0,0.0001372163969790563,0,0,unlabeled
1,4.273626605829621e-27,0,0,unlabeled
2,7.96511836521907e-14,0,0,unlabeled
3,7.736267166484484e-19,0,0,unlabeled
4,4.213335458302936e-09,0,0,unlabeled
5,3.457618645064976e-14,0,0,unlabeled
6,0.004639301914721727,0,0,unlabeled
7,1.0708937452363898e-06,0,0,unlabeled
8,1.4518523130391259e-06,0,0,unlabeled
9,9.765111614960238e-23,0,0,unlabeled
10,3.528879672170396e-19,0,0,unlabeled
11,2.4587322737697204e-13,0,0,unlabeled
12,1.800696009013336e-05,0,0,unlabeled
13,4.4039843318899145e-15,0,0,train
14,4.6572135033784434e-05,0,0,unlabeled
15,1.986705591705551e-11,0,0,unlabeled
16,4.0373105783743305e-18,0,0,unlabeled
17,7.468310010020357e-17,0,0,unlabeled
18,1.9219163760464397e-10,0,0,unlabeled
19,1.8009324934120663e-11,0,0,unlabeled
20,4.64461450727382e-17,0,0,unlabeled
21,1.507607727546656e-08,0,0,unlabeled
22,5.588484341956246e-09,0,0,unlabeled
23,2.6407647180093363e-09,0,0,val
24,5.8713190810522065e-05,0,0,unlabeled
25,6.359343718287391e-09,0,0,unlabeled
26,5.1337663287132074e-11,0,0,unlabeled
27,6.092745479691075e-06,0,0,unlabeled
28,2.1931660318125906e-13,0,0,unlabeled
29,1.0761936424393133e-20,0,0,val
30,0.00012278740177862346,0,0,unlabeled
31,0.020973755046725273,0,0,unlabeled
32,0.998685896396637,1,0,unlabeled
33,2.7201999333592575e-12,0,0,unlabeled
34,1.708564377622679e-05,0,0,unlabeled
35,1.900087888678098e-13,0,0,unlabeled
36,1.4000747783349254e-10,0,0,unlabeled
37,6.226795745689628e-10,0,0,unlabeled
38,2.2885108137415955e-06,0,0,unlabeled
39,1.267626089429541e-06,0,0,unlabeled
40,0.7871937155723572,1,0,unlabeled
41,0.0021826541051268578,0,0,unlabeled
42,1.6993581652968714e-07,0,0,unlabeled
43,0.9999039173126221,1,0,unlabeled
44,1.5961801409503096e-06,0,0,train
45,3.4679937925830018e-06,0,0,unlabeled
46,4.059534148724217e-14,0,0,unlabeled
47,7.17592629371211e-05,0,0,unlabeled
48,2.1826302543104248e-08,0,0,unlabeled
49,2.599421788929135e-09,0,0,train
50,4.471106644643452e-13,0,0,unlabeled
51,3.9282174735255637e-10,0,0,train
52,1.685924663763494e-11,0,0,unlabeled
53,0.6297760009765625,1,0,unlabeled
54,2.8266200144400067e-11,0,0,unlabeled
55,2.8077993192709982e-06,0,0,unlabeled
56,2.4055017418082858e-14,0,0,train
57,8.191884761926016e-18,0,0,unlabeled
58,5.070697625342291e-06,0,0,unlabeled
59,7.91460894354135e-15,0,0,train
60,2.4376497549383203e-06,0,0,unlabeled
61,1.627418469749137e-24,0,0,unlabeled
62,4.4969642232217666e-08,0,0,unlabeled
63,0.003659755690023303,0,0,train
64,4.414352261505883e-08,0,0,unlabeled
65,0.47232356667518616,1,0,val
66,1.939258254424203e-06,0,0,unlabeled
67,2.6484181958608133e-08,0,0,train
68,2.08982011882694e-18,0,0,unlabeled
69,3.173252771659918e-10,0,0,train
70,8.166074962900893e-07,0,0,train
71,3.752661237681371e-20,0,0,train
72,0.21416375041007996,0,0,unlabeled
73,2.449577650096013e-12,0,0,train
74,1.108809044580994e-08,0,0,unlabeled
75,1.0160128113056999e-05,0,0,unlabeled
76,2.511132668973616e-16,0,0,val
77,9.195814019046924e-18,0,0,unlabeled
78,9.885522176877314e-18,0,0,unlabeled
79,1.2048990277735427e-11,0,0,unlabeled
80,1.7449287847970396e-10,0,0,unlabeled
81,6.707465217914432e-05,0,0,unlabeled
82,3.1371942821323273e-09,0,0,unlabeled
83,9.74549402599223e-05,0,0,unlabeled
84,5.004614056502987e-09,0,0,unlabeled
85,4.221680501359515e-05,0,0,unlabeled
86,8.785879060954974e-14,0,0,unlabeled
87,9.91543236406045e-11,0,0,unlabeled
88,3.4091564207056058e-12,0,0,unlabeled
89,0.9999208450317383,1,0,unlabeled
90,1.0717554488337555e-07,0,0,unlabeled
91,2.4248946600691212e-11,0,0,unlabeled
92,1.7305811629837358e-24,0,0,unlabeled
93,1.2852219288816968e-10,0,0,unlabeled
94,7.049262562563996e-11,0,0,unlabeled
95,4.708318623869445e-09,0,0,unlabeled
96,1.3769046063316637e-06,0,0,val
97,9.316217231252616e-14,0,0,unlabeled
98,4.3575548724916757e-10,0,0,unlabeled
99,1.750852846765013e-14,0,0,train
100,5.6224258105155855e-14,0,0,train
101,1.691528647226565e-19,0,0,unlabeled
102,3.258528742901481e-20,0,0,unlabeled
103,2.012322426747648e-11,0,0,unlabeled
104,0.04242677614092827,0,0,unlabeled
105,2.4943586751646762e-08,0,0,train
106,2.7612148301159323e-07,0,0,unlabeled
107,3.218638084945269e-05,0,0,unlabeled
108,5.771220230599283e-07,0,0,unlabeled
109,6.85431018609961e-07,0,0,train
110,0.1835617572069168,0,0,unlabeled
111,2.8893319736766898e-08,0,0,val
112,3.2945109751381096e-07,0,0,unlabeled
113,5.825938620418469e-10,0,0,unlabeled
114,6.655367457142347e-08,0,0,unlabeled
115,0.00041278882417827845,0,0,val
116,6.387360258486297e-07,0,0,unlabeled
117,2.9108715438042054e-08,0,0,unlabeled
118,3.455109531813605e-09,0,0,unlabeled
119,6.738078935725485e-17,0,0,unlabeled
120,1.6610108843906346e-09,0,0,train
121,2.6375352035756805e-07,0,0,train
122,0.14418400824069977,0,0,unlabeled
123,2.91866704416055e-11,0,0,unlabeled
124,1.51398262460134e-06,0,0,train
125,3.700971618059157e-08,0,0,unlabeled
126,0.00029262140742503107,0,0,unlabeled
127,2.730212076248106e-15,0,0,unlabeled
128,2.6602622882343496e-10,0,0,train
129,2.0564344777107045e-23,0,0,unlabeled
130,1.3977600410441937e-08,0,0,unlabeled
131,1.6619965403918968e-09,0,0,unlabeled
132,2.6944906375558908e-11,0,0,unlabeled
133,3.3450612590968376e-07,0,0,unlabeled
134,2.0431525360464775e-09,0,0,val
135,4.404742681707319e-10,0,0,train
136,5.228198429740871e-10,0,0,unlabeled
137,1.1638496388854946e-08,0,0,unlabeled
138,2.590699588205714e-21,0,0,unlabeled
139,2.365921260988335e-12,0,0,unlabeled
140,2.6475744263620982e-08,0,0,unlabeled
141,1.8878823837553682e-08,0,0,unlabeled
142,0.0003335912770126015,0,0,unlabeled
143,1.332437892659355e-11,0,0,unlabeled
144,0.032436203211545944,0,0,unlabeled
145,3.3825426015710036e-08,0,0,unlabeled
146,3.630511169472328e-11,0,0,unlabeled
147,3.330343601465487e-15,0,0,unlabeled
148,2.1095483693223116e-10,0,0,unlabeled
149,5.842107353437598e-10,0,0,unlabeled
150,2.1630026329072516e-12,0,0,unlabeled
151,1.1288615496596321e-05,0,0,unlabeled
152,0.011552131734788418,0,0,unlabeled
153,0.00010097239282913506,0,0,unlabeled
154,1.7892282165414553e-13,0,0,unlabeled
155,3.493391514581309e-16,0,0,unlabeled
156,1.023752527196109e-09,0,0,unlabeled
157,1.0261086685198206e-12,0,0,unlabeled
158,0.9987596273422241,1,0,unlabeled
159,1.8615128283272497e-07,0,0,unlabeled
160,9.523702465230599e-05,0,0,unlabeled
161,1.1673137834122826e-07,0,0,unlabeled
162,7.040987801479326e-14,0,0,unlabeled
163,0.00010043883958132938,0,0,unlabeled
164,1.0961170673171755e-15,0,0,unlabeled
165,0.9965227842330933,1,0,unlabeled
166,0.9448865056037903,1,0,unlabeled
167,1.5972688061083318e-06,0,0,unlabeled
168,0.0008955354569479823,0,0,train
169,0.6667609214782715,1,0,unlabeled
170,7.765463294617803e-08,0,0,unlabeled
171,4.766116489918204e-06,0,0,unlabeled
172,2.7480166409077356e-06,0,0,unlabeled
173,1.2989724382350687e-05,0,0,train
174,1.0468632661046404e-13,0,0,unlabeled
175,1.0294358787632518e-07,0,0,unlabeled
176,4.859994078287855e-06,0,0,unlabeled
177,0.03966916352510452,0,0,unlabeled
178,4.394121955186847e-09,0,0,train
179,2.35788366609313e-09,0,0,train
180,3.6675470993507986e-10,0,0,unlabeled
181,2.2877150024445823e-21,0,0,unlabeled
182,5.783859933217173e-07,0,0,unlabeled
183,2.2254684206579611e-10,0,0,unlabeled
184,0.002484070835635066,0,0,train
185,2.2480385268863756e-06,0,0,train
186,4.75249646155417e-15,0,0,unlabeled
187,2.5028212835565e-09,0,0,unlabeled
188,1.8359597175887643e-10,0,0,train
189,4.2723264433598e-14,0,0,unlabeled
190,1.2614950861689067e-08,0,0,unlabeled
191,1.1063716698345161e-07,0,0,unlabeled
192,9.225867358964024e-08,0,0,train
193,0.0015207728138193488,0,0,unlabeled
194,0.9999784231185913,1,0,unlabeled
195,9.439930727239698e-05,0,0,unlabeled
196,0.013198585249483585,0,0,val
197,0.9995170831680298,1,0,unlabeled
198,3.304375084667299e-08,0,0,val
199,1.1894582712557167e-05,0,0,unlabeled
200,0.06149366870522499,0,0,unlabeled
201,6.765004112452289e-10,0,0,unlabeled
202,4.1428924646425003e-07,0,0,unlabeled
203,2.9550247848447644e-16,0,0,unlabeled
204,6.844871677458286e-06,0,0,unlabeled
205,1.2808279827372648e-12,0,0,val
206,6.66336864157957e-12,0,0,unlabeled
207,0.05769014731049538,0,0,unlabeled
208,2.476999438894012e-10,0,0,unlabeled
209,3.075344648095779e-05,0,0,unlabeled
210,4.083578925937484e-17,0,0,train
211,1.6852343132089942e-10,0,0,train
212,1.3558901078996894e-16,0,0,val
213,9.151590660481349e-16,0,0,unlabeled
214,1.788140080449807e-09,0,0,unlabeled
215,2.5574081964644866e-17,0,0,unlabeled
216,2.5563812400264396e-08,0,0,unlabeled
217,6.640338501284759e-09,0,0,unlabeled
218,0.0454852469265461,0,1,unlabeled
219,0.0015688100829720497,0,0,val
220,6.565676279567112e-14,0,0,unlabeled
221,4.2912282588634877e-16,0,0,train
222,0.8959317207336426,1,0,unlabeled
223,5.130661406838044e-08,0,0,unlabeled
224,7.799857485224493e-06,0,1,unlabeled
225,0.00013003429921809584,0,0,unlabeled
226,0.06662164628505707,0,0,unlabeled
227,0.00030566463829018176,0,0,unlabeled
228,6.927669129169333e-16,0,0,unlabeled
229,0.007850538939237595,0,0,unlabeled
230,0.07158779352903366,0,1,unlabeled
231,7.483952693676521e-13,0,0,unlabeled
