Top_K,Percentage(%),Precision,Recall,F1-Score,AUC,Anomaly_Count_In_TopK
23,0.96,0.5217,0.0732,0.1283,0.8201,12
47,1.97,0.4681,0.1341,0.2085,0.8201,22
71,2.97,0.3803,0.1646,0.2298,0.8201,27
95,3.97,0.3158,0.1829,0.2317,0.8201,30
119,4.98,0.2941,0.2134,0.2473,0.8201,35
143,5.98,0.2657,0.2317,0.2476,0.8201,38
167,6.98,0.2695,0.2744,0.2719,0.8201,45
191,7.99,0.2775,0.3232,0.2986,0.8201,53
215,8.99,0.293,0.3841,0.3325,0.8201,63
239,10.0,0.2803,0.4085,0.3325,0.8201,67
358,14.97,0.257,0.561,0.3525,0.8201,92
478,19.99,0.2155,0.628,0.3209,0.8201,103
597,24.97,0.1926,0.7012,0.3022,0.8201,115
717,29.99,0.1729,0.7561,0.2815,0.8201,124
836,34.96,0.1579,0.8049,0.264,0.8201,132
956,39.98,0.1423,0.8293,0.2429,0.8201,136
1075,44.96,0.1312,0.8598,0.2276,0.8201,141
1195,49.98,0.123,0.8963,0.2163,0.8201,147
1434,59.97,0.106,0.9268,0.1902,0.8201,152
1673,69.97,0.0932,0.9512,0.1698,0.8201,156
1912,79.97,0.0832,0.9695,0.1532,0.8201,159
2151,89.96,0.0758,0.9939,0.1408,0.8201,163
2391,100.0,0.0686,1.0,0.1284,0.8201,164
