Original_Index,Anomaly_Score,Detection_Result,True_Label,Split
0,6.954054697416723e-06,0,0,unlabeled
1,1.2570090746066853e-07,0,0,unlabeled
2,7.345688146642715e-08,0,0,val
3,1.300634721701499e-05,0,0,unlabeled
4,0.0004952833405695856,0,0,unlabeled
5,1.545976374472957e-05,0,0,unlabeled
6,8.28768307314931e-08,0,0,unlabeled
7,5.616146268039302e-07,0,0,val
8,4.547921889752615e-06,0,0,unlabeled
9,0.0003576512390282005,0,0,unlabeled
10,0.0003077911678701639,0,0,train
11,4.605193559825693e-09,0,0,unlabeled
12,0.00038716968265362084,0,0,unlabeled
13,0.0003069059457629919,0,0,unlabeled
14,1.13119458546862e-05,0,0,unlabeled
15,8.026049158615933e-09,0,0,unlabeled
16,4.109208475711057e-06,0,0,unlabeled
17,2.0002227756776847e-05,0,0,unlabeled
18,5.246867658570409e-05,0,0,unlabeled
19,2.9588076699837984e-07,0,0,unlabeled
20,9.073120565972204e-08,0,0,unlabeled
21,0.00042671337723731995,0,0,unlabeled
22,1.0570606718829367e-06,0,0,unlabeled
23,0.0002935868687927723,0,0,val
24,4.79249729323783e-06,0,0,unlabeled
25,8.391309529542923e-05,0,0,unlabeled
26,9.620079072192311e-05,0,0,unlabeled
27,0.0006422462174668908,0,0,unlabeled
28,1.0316909992980072e-06,0,0,unlabeled
29,1.2862973797211907e-08,0,0,unlabeled
30,7.88139077485539e-05,0,0,train
31,2.7935500384046463e-06,0,0,val
32,8.239029369860873e-08,0,0,unlabeled
33,0.00032703697797842324,0,0,train
34,0.0003147978859487921,0,0,unlabeled
35,1.5002197869762313e-05,0,0,unlabeled
36,7.107906185410684e-06,0,0,unlabeled
37,1.8684522373746404e-08,0,0,unlabeled
38,1.0623931956388333e-07,0,0,unlabeled
39,1.3720553397433832e-05,0,0,val
40,3.895291683875257e-06,0,0,unlabeled
41,0.0007593481568619609,0,0,unlabeled
42,0.0009565636864863336,0,0,unlabeled
43,0.00019785246695391834,0,0,unlabeled
44,1.0093674518429907e-06,0,0,unlabeled
45,0.0011684090131893754,0,0,unlabeled
46,0.00022632665059063584,0,0,unlabeled
47,0.0008693819399923086,0,0,unlabeled
48,9.513633472124639e-07,0,0,unlabeled
49,1.3859003956895322e-05,0,0,train
50,7.281660430180636e-08,0,0,unlabeled
51,1.4852483687377571e-08,0,0,unlabeled
52,3.4761516872094944e-05,0,0,unlabeled
53,5.8104400523006916e-05,0,0,unlabeled
54,3.238961099327753e-08,0,0,train
55,1.9338017409609165e-07,0,0,train
56,2.150291948055383e-06,0,0,unlabeled
57,1.3625895078916983e-08,0,0,unlabeled
58,6.61462662421286e-09,0,0,unlabeled
59,6.313189078355208e-05,0,0,unlabeled
60,7.188029485405423e-06,0,0,train
61,0.0002633497933857143,0,0,unlabeled
62,3.1022486837173346e-06,0,0,unlabeled
63,0.00017843337263911963,0,0,val
64,2.267832499569522e-08,0,0,unlabeled
65,2.347829195059603e-06,0,0,train
66,1.6211238573760056e-08,0,0,train
67,3.125271905446425e-05,0,0,val
68,0.00027031233184970915,0,0,unlabeled
69,0.000578492705244571,0,0,unlabeled
70,4.816961407527742e-08,0,0,unlabeled
71,1.3318454783473044e-08,0,0,unlabeled
72,4.082129976268334e-07,0,0,val
73,9.998333272420723e-10,0,0,unlabeled
74,5.925889126956463e-06,0,0,unlabeled
75,5.376940407586517e-06,0,0,unlabeled
76,3.5331838716956554e-06,0,0,train
77,0.0014315785374492407,0,0,train
78,0.0013850840041413903,0,0,val
79,1.9098057236988097e-05,0,0,train
80,2.657858885868336e-06,0,0,unlabeled
81,3.6400030012373463e-07,0,0,val
82,1.958797923862221e-07,0,0,unlabeled
83,0.00031136744655668736,0,0,unlabeled
84,1.100354324989894e-06,0,0,val
85,9.377322385262232e-08,0,0,unlabeled
86,0.0005164204048924148,0,0,val
87,0.0006279515800997615,0,0,unlabeled
88,2.6754529702799346e-09,0,0,unlabeled
89,2.0273836298656533e-07,0,0,unlabeled
90,0.0003372564970050007,0,0,unlabeled
91,5.348997547116596e-07,0,0,unlabeled
92,4.214273872094054e-07,0,0,unlabeled
93,1.5356536664512532e-07,0,0,unlabeled
94,5.67173572108004e-07,0,0,unlabeled
95,0.00011831938900286332,0,0,unlabeled
96,1.2434529708116315e-06,0,0,unlabeled
97,4.82080793062778e-07,0,0,train
98,5.6885837693698704e-06,0,0,unlabeled
99,0.00010650877084117383,0,0,unlabeled
100,8.360046308553137e-07,0,0,unlabeled
101,1.560798956745657e-08,0,0,train
102,1.4533046766018742e-08,0,0,unlabeled
103,6.802338958777909e-08,0,0,unlabeled
104,3.856894359444141e-09,0,0,unlabeled
105,1.3304414459014424e-08,0,0,unlabeled
106,1.0025139999925159e-05,0,0,unlabeled
107,0.006800954695791006,0,0,unlabeled
108,1.8068181816488504e-05,0,0,unlabeled
109,8.635919584776275e-06,0,0,train
110,3.860876063299656e-09,0,0,unlabeled
111,2.8297232347540557e-05,0,0,unlabeled
112,3.858029958792031e-05,0,0,unlabeled
113,1.3721122513743467e-06,0,0,unlabeled
114,0.00047501156223006546,0,0,unlabeled
115,2.3921753381728195e-05,0,0,unlabeled
116,4.010220493455563e-07,0,0,unlabeled
117,2.7872295049746754e-06,0,0,unlabeled
118,4.454815893950581e-08,0,0,train
119,0.0003170580603182316,0,0,unlabeled
120,1.7118143205152592e-06,0,0,train
121,1.1066506431234302e-06,0,0,unlabeled
122,0.0003362978168297559,0,0,unlabeled
123,0.00039529925561510026,0,0,unlabeled
124,0.00032653225935064256,0,0,unlabeled
125,5.543309953282005e-07,0,0,unlabeled
126,0.00010281338472850621,0,0,unlabeled
127,1.9513453253239277e-07,0,0,unlabeled
128,2.824102551812757e-08,0,0,unlabeled
129,6.857939638393873e-08,0,0,unlabeled
130,5.2706866426888155e-08,0,0,unlabeled
131,3.3798443155319546e-07,0,0,unlabeled
132,7.814449418219738e-06,0,0,unlabeled
133,0.00032867290428839624,0,0,val
134,0.00032653225935064256,0,0,unlabeled
135,1.1743403774744365e-05,0,0,unlabeled
136,4.356608371836046e-07,0,0,unlabeled
137,4.4694374423670524e-08,0,0,train
138,2.0439337333755248e-07,0,0,unlabeled
139,0.0006238041096366942,0,0,unlabeled
140,4.836460334445292e-07,0,0,unlabeled
141,6.483872766693821e-06,0,0,unlabeled
142,6.488349413302785e-08,0,0,unlabeled
143,5.775611544578396e-09,0,0,unlabeled
144,1.2712142734017107e-06,0,0,unlabeled
145,0.0016396777937188745,0,0,unlabeled
146,6.607442060158064e-08,0,0,unlabeled
147,4.836460334445292e-07,0,0,unlabeled
148,2.0154027424723608e-07,0,0,train
149,9.608354594092816e-05,0,0,unlabeled
150,1.0538889227973414e-06,0,0,unlabeled
151,0.0001636669912841171,0,0,unlabeled
152,5.1740656203946855e-09,0,0,unlabeled
153,5.74382738705026e-06,0,0,unlabeled
154,5.722015703213401e-05,0,0,unlabeled
155,7.201011158031179e-06,0,0,val
156,1.1322649839939913e-07,0,0,unlabeled
157,1.7980728017619185e-08,0,0,unlabeled
158,3.3376127248629928e-06,0,0,unlabeled
159,1.2705108019872569e-05,0,0,unlabeled
160,1.4852483687377571e-08,0,0,unlabeled
161,3.231672735637403e-06,0,0,unlabeled
162,0.000807399395853281,0,0,unlabeled
163,3.742035914910957e-05,0,0,unlabeled
164,2.9430935466479013e-09,0,0,unlabeled
165,4.0385707222867495e-08,0,0,unlabeled
166,0.00018349915626458824,0,0,unlabeled
167,0.00216915481723845,0,0,unlabeled
168,5.000729288440198e-05,0,0,train
