Top_K,Percentage(%),Precision,Recall,F1-Score,AUC,Anomaly_Count_In_TopK
8,0.92,0.875,0.0636,0.1186,0.5588,7
17,1.95,0.5882,0.0909,0.1575,0.5588,10
26,2.98,0.5,0.1182,0.1912,0.5588,13
34,3.9,0.4412,0.1364,0.2083,0.5588,15
43,4.93,0.3721,0.1455,0.2092,0.5588,16
52,5.96,0.3846,0.1818,0.2469,0.5588,20
61,7.0,0.377,0.2091,0.269,0.5588,23
69,7.91,0.3333,0.2091,0.257,0.5588,23
78,8.94,0.3077,0.2182,0.2553,0.5588,24
87,9.98,0.2989,0.2364,0.264,0.5588,26
130,14.91,0.2615,0.3091,0.2833,0.5588,34
174,19.95,0.2299,0.3636,0.2817,0.5588,40
218,25.0,0.1972,0.3909,0.2622,0.5588,43
261,29.93,0.1839,0.4364,0.2588,0.5588,48
305,34.98,0.1738,0.4818,0.2554,0.5588,53
348,39.91,0.158,0.5,0.2402,0.5588,55
392,44.95,0.1531,0.5455,0.239,0.5588,60
436,50.0,0.1468,0.5818,0.2344,0.5588,64
523,59.98,0.13,0.6182,0.2148,0.5588,68
610,69.95,0.1213,0.6727,0.2056,0.5588,74
697,79.93,0.1176,0.7455,0.2032,0.5588,82
784,89.91,0.1148,0.8182,0.2013,0.5588,90
872,100.0,0.1261,1.0,0.224,0.5588,110
