Original_Index,Anomaly_Score,Detection_Result,True_Label,Split
0,0.00021433012443594635,0,0,val
1,0.0005933283246122301,0,0,unlabeled
2,0.9999128580093384,1,1,unlabeled
3,0.9987865090370178,1,1,train
4,6.20371793047525e-06,0,0,unlabeled
5,0.8034286499023438,0,1,unlabeled
6,1.2213378795422614e-05,0,0,unlabeled
7,0.000469698803499341,0,0,unlabeled
8,1.254699964192696e-05,0,0,unlabeled
9,0.999998927116394,1,1,unlabeled
10,0.0026353811845183372,0,0,unlabeled
11,0.06296581774950027,0,1,unlabeled
12,0.0012204149970784783,0,0,unlabeled
13,9.929815132636577e-05,0,0,unlabeled
14,6.106636283220723e-05,0,0,train
15,0.00038436008617281914,0,0,unlabeled
16,9.5590585260652e-05,0,0,unlabeled
17,0.0004539036308415234,0,0,unlabeled
18,5.311105269356631e-06,0,0,unlabeled
19,1.8031551007879898e-05,0,0,unlabeled
20,0.004038923420011997,0,0,train
21,0.9999994039535522,1,1,unlabeled
22,0.9999990463256836,1,1,unlabeled
23,1.0,1,1,test
24,1.7188423953484744e-05,0,0,unlabeled
25,9.733281331136823e-05,0,0,unlabeled
26,4.2134406612603925e-06,0,0,unlabeled
27,1.184456232294906e-05,0,0,train
28,1.0444523468322586e-05,0,0,unlabeled
29,1.225516007252736e-05,0,0,unlabeled
30,3.3929653000086546e-05,0,0,train
31,5.411210622696672e-06,0,0,unlabeled
32,1.445505131414393e-05,0,0,train
33,1.381204401695868e-05,0,0,val
34,5.865700586582534e-05,0,0,unlabeled
35,0.00037315546069294214,0,0,unlabeled
36,0.0033724557142704725,0,0,unlabeled
37,0.9440813064575195,1,1,val
38,0.9959564805030823,1,1,unlabeled
39,0.999974250793457,1,1,unlabeled
40,0.0009764553979039192,0,0,unlabeled
41,0.0001541524543426931,0,0,val
42,0.0056256987154483795,0,0,unlabeled
43,0.9999979734420776,1,1,unlabeled
44,0.0005131463403813541,0,0,unlabeled
45,0.0008434761548414826,0,0,train
46,0.0003160874475724995,0,0,unlabeled
47,0.0006387094617821276,0,0,unlabeled
48,0.999993085861206,1,1,train
49,1.1563445696083363e-05,0,0,unlabeled
50,1.8692131561692804e-05,0,0,unlabeled
51,0.0027807094156742096,0,0,unlabeled
52,9.97277948044939e-06,0,0,train
53,0.0002189475781051442,0,0,unlabeled
54,7.160232053138316e-05,0,0,unlabeled
55,2.3461894670617767e-05,0,0,train
56,0.0009946504142135382,0,0,unlabeled
57,3.938292593375081e-06,0,0,unlabeled
58,6.9854336288699415e-06,0,0,unlabeled
59,5.424318715085974e-06,0,0,test
60,8.90663213795051e-05,0,0,unlabeled
61,5.616961971099954e-06,0,0,unlabeled
62,1.9482376956148073e-06,0,0,unlabeled
63,0.00012687886191997677,0,0,unlabeled
64,5.8571262343320996e-05,0,0,unlabeled
65,0.00028280846890993416,0,0,unlabeled
66,0.0004254959640093148,0,0,unlabeled
67,0.9886735081672668,1,0,unlabeled
68,0.00010840075265150517,0,0,train
69,3.7717218219768256e-05,0,0,train
70,2.797762590489583e-07,0,0,test
71,1.8167964299209416e-05,0,0,unlabeled
72,4.542228998616338e-05,0,0,unlabeled
73,0.00022624597477260977,0,0,unlabeled
74,0.00012898005661554635,0,0,unlabeled
75,0.00010159020166611299,0,0,unlabeled
76,0.0011934083886444569,0,0,unlabeled
77,0.00011613442620728165,0,0,unlabeled
78,0.0008004302508197725,0,0,unlabeled
79,1.9641713151941076e-05,0,0,unlabeled
80,3.0252051146817394e-05,0,0,unlabeled
81,7.235264092742e-06,0,0,unlabeled
82,1.4560728232027031e-05,0,0,unlabeled
83,7.335632744798204e-06,0,0,test
84,4.542228998616338e-05,0,0,unlabeled
85,2.8413591280695982e-05,0,0,train
86,8.285776857519522e-05,0,0,val
87,3.524215230754635e-07,0,0,unlabeled
88,4.5525066525442526e-05,0,0,train
89,0.00010978513455484062,0,0,test
90,0.00023546563170384616,0,0,train
91,3.2624122923152754e-06,0,0,train
92,5.3678613767260686e-06,0,0,train
93,0.00010676398960640654,0,0,unlabeled
94,1.4692179320263676e-05,0,0,unlabeled
95,0.9999943971633911,1,0,val
96,0.0003598525654524565,0,0,unlabeled
97,1.734303367584289e-07,0,0,unlabeled
98,2.723868874454638e-06,0,0,unlabeled
99,1.6307851183228195e-05,0,0,unlabeled
100,1.3354570910451002e-05,0,0,unlabeled
101,1.3374860827752855e-05,0,0,unlabeled
102,8.285776857519522e-05,0,0,unlabeled
103,8.285776857519522e-05,0,0,val
104,7.112601451808587e-05,0,0,unlabeled
105,2.0237868739059195e-05,0,0,unlabeled
106,5.481490461534122e-06,0,0,train
107,7.582221587654203e-05,0,0,val
108,0.00014732229465153068,0,0,unlabeled
109,0.0004205972363706678,0,0,unlabeled
110,4.791528681380441e-06,0,0,unlabeled
111,8.285776857519522e-05,0,0,unlabeled
112,0.9826714396476746,1,0,unlabeled
113,0.07488079369068146,0,0,unlabeled
114,0.0002438319061184302,0,0,unlabeled
115,0.003982128109782934,0,0,unlabeled
116,0.00012576166773214936,0,0,unlabeled
117,4.542228998616338e-05,0,0,train
118,0.0006275626947171986,0,0,unlabeled
119,2.1192727217567153e-05,0,0,unlabeled
120,0.0004878173640463501,0,0,unlabeled
121,0.0065428526140749454,0,0,unlabeled
122,0.00021573457343038172,0,0,unlabeled
123,2.3326339942286722e-05,0,0,unlabeled
124,0.946078896522522,1,0,unlabeled
125,7.235264092742e-06,0,0,unlabeled
126,2.723868874454638e-06,0,0,train
127,9.938199946191162e-05,0,0,unlabeled
128,0.998846173286438,1,0,unlabeled
129,0.00011421471572248265,0,0,train
130,1.9237162632634863e-05,0,0,unlabeled
131,1.049342336045811e-05,0,0,unlabeled
132,0.0002755178138613701,0,0,unlabeled
133,0.00021893733355682343,0,0,unlabeled
134,6.412839866243303e-06,0,0,unlabeled
135,1.312031236011535e-05,0,0,unlabeled
136,7.989372534211725e-05,0,0,unlabeled
137,0.00010439614561619237,0,0,train
138,0.00013726428733207285,0,0,unlabeled
139,2.7365194910089485e-05,0,0,train
140,3.9446607047466387e-07,0,0,unlabeled
141,7.989372534211725e-05,0,0,unlabeled
142,0.0003526239306665957,0,0,unlabeled
143,0.9997928738594055,1,0,unlabeled
144,0.008389239199459553,0,0,unlabeled
145,0.00015484116738662124,0,0,unlabeled
