Top_K,Percentage(%),Precision,Recall,F1-Score,AUC,Anomaly_Count_In_TopK
17,0.98,0.5294,0.0841,0.1452,0.9942,9
34,1.97,0.7059,0.2243,0.3404,0.9942,24
51,2.95,0.7451,0.3551,0.481,0.9942,38
69,3.99,0.7246,0.4673,0.5682,0.9942,50
86,4.98,0.7093,0.5701,0.6321,0.9942,61
103,5.96,0.7379,0.7103,0.7238,0.9942,76
120,6.94,0.725,0.8131,0.7665,0.9942,87
138,7.99,0.6812,0.8785,0.7673,0.9942,94
155,8.97,0.6323,0.9159,0.7481,0.9942,98
172,9.95,0.5872,0.9439,0.724,0.9942,101
259,14.99,0.4093,0.9907,0.5792,0.9942,106
345,19.97,0.3101,1.0,0.4735,0.9942,107
432,25.0,0.2477,1.0,0.397,0.9942,107
518,29.98,0.2066,1.0,0.3424,0.9942,107
604,34.95,0.1772,1.0,0.301,0.9942,107
691,39.99,0.1548,1.0,0.2682,0.9942,107
777,44.97,0.1377,1.0,0.2421,0.9942,107
864,50.0,0.1238,1.0,0.2204,0.9942,107
1036,59.95,0.1033,1.0,0.1872,0.9942,107
1209,69.97,0.0885,1.0,0.1626,0.9942,107
1382,79.98,0.0774,1.0,0.1437,0.9942,107
1555,89.99,0.0688,1.0,0.1288,0.9942,107
1728,100.0,0.0619,1.0,0.1166,0.9942,107
