Original_Index,Anomaly_Score,Detection_Result,True_Label,Split
0,1.6745876907364732e-09,0,0,unlabeled
1,7.696106649746071e-07,0,0,unlabeled
2,3.1604729883838445e-05,0,0,unlabeled
3,4.113912766001704e-09,0,0,unlabeled
4,1.419647155387338e-08,0,0,unlabeled
5,1.364628133160295e-06,0,0,unlabeled
6,1.183182831709928e-07,0,0,unlabeled
7,3.255352680753276e-07,0,0,unlabeled
8,8.692759934092464e-08,0,0,unlabeled
9,8.185850930431116e-08,0,0,unlabeled
10,1.08698984035982e-07,0,0,unlabeled
11,1.234118371939985e-07,0,0,unlabeled
12,6.992612497924711e-07,0,0,unlabeled
13,1.4185667168931104e-05,0,0,unlabeled
14,8.261796210717876e-06,0,0,unlabeled
15,2.699647438930697e-06,0,0,train
16,8.525635308842539e-08,0,0,unlabeled
17,6.134093382570427e-06,0,0,unlabeled
18,3.548608518144647e-08,0,0,unlabeled
19,1.642158849790576e-06,0,0,unlabeled
20,2.535031489969697e-05,0,0,unlabeled
21,3.313861452625133e-05,0,0,unlabeled
22,1.4841656792441427e-09,0,0,unlabeled
23,4.478934112484012e-09,0,0,train
24,1.0740085087945772e-07,0,0,unlabeled
25,1.500736601656172e-08,0,0,unlabeled
26,8.529943329449452e-07,0,0,unlabeled
27,3.994056285705483e-08,0,0,unlabeled
28,6.351352221933837e-10,0,0,unlabeled
29,7.642526611562062e-10,0,0,train
30,7.86202008384862e-07,0,0,val
31,1.8116740108098384e-08,0,0,unlabeled
32,9.677884271752646e-09,0,0,val
33,1.972150585061172e-06,0,0,unlabeled
34,1.402431166752649e-07,0,0,unlabeled
35,6.323354682535864e-06,0,0,unlabeled
36,0.0004802196635864675,0,0,unlabeled
37,2.2723238544131164e-06,0,0,unlabeled
38,1.0130159466825717e-07,0,0,unlabeled
39,1.7820586890593404e-06,0,0,unlabeled
40,1.6919317502583908e-08,0,0,unlabeled
41,4.155225330482182e-10,0,0,unlabeled
42,1.9839594855852738e-08,0,0,unlabeled
43,3.662405489990306e-08,0,0,train
44,6.878591989334382e-07,0,0,train
45,3.176559744133556e-07,0,0,unlabeled
46,3.184089791830047e-08,0,0,unlabeled
47,5.207555659580976e-06,0,0,unlabeled
48,2.5380069601510513e-08,0,0,unlabeled
49,2.5158781724599066e-09,0,0,train
50,2.190629722065296e-08,0,0,unlabeled
51,7.184591765962978e-08,0,0,train
52,2.127287679343226e-09,0,0,unlabeled
53,5.815040005074934e-09,0,0,unlabeled
54,3.707391948992722e-09,0,0,unlabeled
55,1.887657731458603e-06,0,0,unlabeled
56,4.292620658929991e-08,0,0,train
57,1.8353829034367664e-07,0,0,unlabeled
58,2.6904528382942772e-08,0,0,unlabeled
59,1.3547116317624841e-08,0,0,train
60,2.003355206170454e-07,0,0,unlabeled
61,5.566456820815802e-06,0,0,unlabeled
62,3.366848659425159e-06,0,0,unlabeled
63,6.394564024958527e-07,0,0,unlabeled
64,5.279303536553925e-07,0,0,unlabeled
65,3.993431164417416e-06,0,0,train
