Top_K,Percentage(%),Precision,Recall,F1-Score,AUC,Anomaly_Count_In_TopK
4,0.92,1.0,0.0312,0.0606,0.4992,4
8,1.84,0.75,0.0469,0.0882,0.4992,6
13,2.99,0.5385,0.0547,0.0993,0.4992,7
17,3.91,0.5294,0.0703,0.1241,0.4992,9
21,4.83,0.5714,0.0938,0.1611,0.4992,12
26,5.98,0.5,0.1016,0.1688,0.4992,13
30,6.9,0.5333,0.125,0.2025,0.4992,16
34,7.82,0.5,0.1328,0.2099,0.4992,17
39,8.97,0.5128,0.1562,0.2395,0.4992,20
43,9.89,0.5349,0.1797,0.269,0.4992,23
65,14.94,0.4308,0.2188,0.2902,0.4992,28
87,20.0,0.3793,0.2578,0.307,0.4992,33
108,24.83,0.3426,0.2891,0.3136,0.4992,37
130,29.89,0.3,0.3047,0.3023,0.4992,39
152,34.94,0.2961,0.3516,0.3214,0.4992,45
174,40.0,0.3046,0.4141,0.351,0.4992,53
195,44.83,0.3026,0.4609,0.3653,0.4992,59
217,49.89,0.2995,0.5078,0.3768,0.4992,65
261,60.0,0.2835,0.5781,0.3805,0.4992,74
304,69.89,0.2829,0.6719,0.3981,0.4992,86
348,80.0,0.2759,0.75,0.4034,0.4992,96
391,89.89,0.2737,0.8359,0.4123,0.4992,107
435,100.0,0.2943,1.0,0.4547,0.4992,128
