Original_Index,Anomaly_Score,Detection_Result,True_Label,Split
0,0.9554368257522583,0,0,unlabeled
1,0.9914826154708862,0,0,unlabeled
2,0.9885843992233276,0,0,unlabeled
3,0.9968631267547607,0,0,val
4,3.504861998408779e-21,0,0,unlabeled
5,2.0539990606797953e-13,0,0,train
6,6.263179987680011e-19,0,0,unlabeled
7,6.996630180085241e-19,0,0,val
8,4.108565603788098e-16,0,0,unlabeled
9,2.709587276772396e-10,0,0,train
10,1.360892891850013e-20,0,0,unlabeled
11,5.994219885062921e-20,0,0,unlabeled
12,4.621502486257256e-11,0,0,unlabeled
13,5.862454407880228e-18,0,0,unlabeled
14,1.9452321737570596e-17,0,0,unlabeled
15,8.768116147423318e-18,0,0,unlabeled
16,1.026186535442648e-20,0,0,unlabeled
17,1.135504632543416e-07,0,0,train
18,2.2386847861870663e-16,0,0,unlabeled
19,5.057806148512579e-24,0,0,unlabeled
20,1.0261960493121621e-17,0,0,unlabeled
21,1.9060077654181625e-17,0,0,unlabeled
22,1.828705631368166e-09,0,0,unlabeled
23,2.1374695416409573e-11,0,0,unlabeled
24,9.660584705119195e-24,0,0,train
25,0.006388063542544842,0,0,train
26,0.15699142217636108,0,0,unlabeled
27,2.62041276350277e-25,0,0,unlabeled
28,2.2078580514062196e-05,0,0,unlabeled
29,1.7265585415864187e-17,0,0,unlabeled
30,1.6663216363781127e-18,0,0,unlabeled
31,6.296550004554048e-19,0,0,unlabeled
32,0.37564411759376526,0,0,unlabeled
33,2.2988614227574477e-20,0,0,train
34,5.031599323388619e-15,0,0,unlabeled
35,3.816136363702305e-20,0,0,unlabeled
36,0.010672666132450104,0,0,unlabeled
37,2.6493190880983668e-18,0,0,unlabeled
38,1.4141334077066858e-06,0,0,unlabeled
39,6.68786026558621e-10,0,0,unlabeled
40,1.715467415712563e-20,0,0,unlabeled
41,2.4056996162435837e-25,0,0,unlabeled
42,2.351970145914585e-26,0,0,val
43,2.356834500878898e-29,0,0,unlabeled
44,2.0008647045907948e-25,0,0,unlabeled
45,2.461241488393995e-10,0,0,train
46,4.508182301157038e-22,0,0,train
47,7.924732065911019e-22,0,0,unlabeled
48,1.315040989764742e-24,0,0,unlabeled
49,2.9887811384918465e-19,0,0,unlabeled
50,1.3271393735265915e-26,0,0,unlabeled
51,4.0904837726234575e-33,0,0,unlabeled
52,2.2306661973661326e-21,0,0,unlabeled
53,4.898559422678028e-12,0,0,unlabeled
54,0.006703869439661503,0,0,unlabeled
55,0.034942321479320526,0,0,train
56,3.41203441358784e-18,0,0,unlabeled
57,0.9001272320747375,0,0,val
58,0.9059039354324341,0,0,unlabeled
59,7.183345062155179e-27,0,0,unlabeled
60,7.903205338972465e-15,0,0,train
61,1.7553817008060931e-31,0,0,unlabeled
62,3.710844691078974e-24,0,0,unlabeled
63,3.592984060332694e-17,0,0,val
64,1.0171344911213964e-05,0,0,unlabeled
65,2.443355240355771e-10,0,0,unlabeled
66,7.031352669572545e-21,0,0,unlabeled
67,2.4396116969796006e-21,0,0,unlabeled
68,3.5648815011057877e-09,0,0,unlabeled
69,8.494237965235406e-32,0,0,unlabeled
70,1.7915293710757396e-06,0,0,unlabeled
71,4.067816793579875e-23,0,0,unlabeled
72,0.9985513091087341,0,0,unlabeled
73,1.123084201075343e-20,0,0,train
74,6.092629425261088e-29,0,0,unlabeled
75,4.737999214559929e-29,0,0,val
76,1.8215664470827095e-23,0,0,train
77,1.8940744507735148e-20,0,0,train
78,1.754442214725481e-26,0,0,val
79,6.382008753126404e-27,0,0,unlabeled
80,8.44381564722805e-15,0,0,unlabeled
81,1.039637572830543e-05,0,0,unlabeled
82,1.1568754176710578e-20,0,0,val
83,1.2353945757201919e-17,0,0,unlabeled
84,6.62101139157129e-36,0,0,train
85,0.009271550923585892,0,0,unlabeled
86,5.036016913345111e-37,0,0,unlabeled
87,8.953569704317488e-06,0,0,unlabeled
88,2.893826389707845e-16,0,0,unlabeled
89,0.0005716226878575981,0,0,unlabeled
90,0.00010347284842282534,0,0,train
91,2.851524665471267e-33,0,0,unlabeled
92,8.622965585337147e-25,0,0,unlabeled
93,7.357082500746576e-21,0,0,unlabeled
94,1.1206143520495654e-21,0,0,train
95,8.960322785936566e-15,0,0,unlabeled
96,2.2434803797576176e-24,0,0,unlabeled
97,7.129071393357374e-28,0,0,unlabeled
98,5.167262884936408e-12,0,0,unlabeled
99,8.97315592636651e-21,0,0,unlabeled
100,8.805581251166771e-20,0,0,unlabeled
101,3.534231826467227e-13,0,0,unlabeled
102,3.081827154582939e-11,0,0,unlabeled
103,3.08680299099251e-08,0,0,unlabeled
104,5.065876646122291e-13,0,0,train
105,6.348245713827527e-12,0,0,unlabeled
106,1.907269000123602e-14,0,0,unlabeled
107,5.416347218133948e-17,0,0,unlabeled
108,5.603891204970356e-15,0,0,unlabeled
109,1.2241629038509192e-26,0,0,unlabeled
110,0.0019009907264262438,0,0,train
111,1.6866392601739465e-18,0,0,unlabeled
112,2.0440835656795966e-17,0,0,unlabeled
113,5.294984218337344e-14,0,0,unlabeled
114,6.162376025995375e-15,0,0,train
115,1.483227367353026e-26,0,0,unlabeled
116,9.239947504376342e-25,0,0,unlabeled
117,9.617255207186081e-27,0,0,unlabeled
118,2.031316467029226e-13,0,0,unlabeled
119,6.311817819957217e-20,0,0,train
120,1.6956420534168515e-14,0,0,unlabeled
121,3.8750892391922433e-22,0,0,unlabeled
122,2.3360866909752864e-21,0,0,unlabeled
123,0.022573741152882576,0,0,unlabeled
124,5.197646757437724e-09,0,0,unlabeled
125,3.2183335295462974e-18,0,0,unlabeled
126,1.6605109490009176e-16,0,0,unlabeled
127,0.0018371832557022572,0,0,unlabeled
128,3.90806165206925e-10,0,0,unlabeled
129,2.2514532827064976e-13,0,0,unlabeled
130,4.957132821669186e-20,0,0,unlabeled
131,4.730112834749889e-07,0,0,unlabeled
132,5.771940169351613e-18,0,0,unlabeled
133,0.0027539439033716917,0,0,unlabeled
134,3.288354219506401e-16,0,0,unlabeled
135,2.8109528216191393e-07,0,0,unlabeled
136,3.863830144723579e-09,0,0,unlabeled
137,1.7025923171664324e-19,0,0,unlabeled
138,1.7614950488707023e-21,0,0,unlabeled
139,1.3014177291381657e-08,0,0,train
140,8.259976036484318e-11,0,0,unlabeled
141,6.724413387226846e-11,0,0,unlabeled
142,7.23215866534066e-13,0,0,unlabeled
143,8.905266746239704e-09,0,0,train
144,4.046969261984647e-15,0,0,unlabeled
145,2.5286091291973995e-15,0,0,unlabeled
146,9.083654118249022e-18,0,0,unlabeled
147,1.4182306316747745e-13,0,0,unlabeled
148,2.845264361894806e-06,0,0,train
149,9.698873338430031e-17,0,0,unlabeled
150,3.391601817745313e-22,0,0,unlabeled
