Top_K,Percentage(%),Precision,Recall,F1-Score,AUC,Anomaly_Count_In_TopK
3,0.81,0.6667,0.0488,0.0909,0.9857,2
7,1.89,0.4286,0.0732,0.125,0.9857,3
11,2.97,0.6364,0.1707,0.2692,0.9857,7
14,3.78,0.5714,0.1951,0.2909,0.9857,8
18,4.86,0.6667,0.2927,0.4068,0.9857,12
22,5.95,0.7273,0.3902,0.5079,0.9857,16
25,6.76,0.72,0.439,0.5455,0.9857,18
29,7.84,0.7241,0.5122,0.6,0.9857,21
33,8.92,0.7576,0.6098,0.6757,0.9857,25
37,10.0,0.7568,0.6829,0.7179,0.9857,28
55,14.86,0.6545,0.878,0.75,0.9857,36
74,20.0,0.5405,0.9756,0.6957,0.9857,40
92,24.86,0.4457,1.0,0.6165,0.9857,41
111,30.0,0.3694,1.0,0.5395,0.9857,41
129,34.86,0.3178,1.0,0.4824,0.9857,41
148,40.0,0.277,1.0,0.4339,0.9857,41
166,44.86,0.247,1.0,0.3961,0.9857,41
185,50.0,0.2216,1.0,0.3628,0.9857,41
222,60.0,0.1847,1.0,0.3118,0.9857,41
259,70.0,0.1583,1.0,0.2733,0.9857,41
296,80.0,0.1385,1.0,0.2433,0.9857,41
333,90.0,0.1231,1.0,0.2193,0.9857,41
370,100.0,0.1108,1.0,0.1995,0.9857,41
