Top_K,Percentage(%),Precision,Recall,F1-Score,AUC,Anomaly_Count_In_TopK
8,1.0,0.375,0.0375,0.0682,0.6468,3
16,2.0,0.3125,0.0625,0.1042,0.6468,5
24,3.0,0.25,0.075,0.1154,0.6468,6
32,4.0,0.2188,0.0875,0.125,0.6468,7
40,5.0,0.2,0.1,0.1333,0.6468,8
48,6.0,0.2292,0.1375,0.1719,0.6468,11
56,7.0,0.2321,0.1625,0.1912,0.6468,13
64,8.0,0.2031,0.1625,0.1806,0.6468,13
72,9.0,0.2083,0.1875,0.1974,0.6468,15
80,10.0,0.2125,0.2125,0.2125,0.6468,17
120,15.0,0.1833,0.275,0.22,0.6468,22
160,20.0,0.1688,0.3375,0.225,0.6468,27
200,25.0,0.17,0.425,0.2429,0.6468,34
240,30.0,0.1708,0.5125,0.2562,0.6468,41
280,35.0,0.1679,0.5875,0.2611,0.6468,47
320,40.0,0.1531,0.6125,0.245,0.6468,49
360,45.0,0.1444,0.65,0.2364,0.6468,52
400,50.0,0.1375,0.6875,0.2292,0.6468,55
480,60.0,0.1292,0.775,0.2214,0.6468,62
560,70.0,0.1196,0.8375,0.2094,0.6468,67
640,80.0,0.1094,0.875,0.1944,0.6468,70
720,90.0,0.1028,0.925,0.185,0.6468,74
800,100.0,0.1,1.0,0.1818,0.6468,80
