Original_Index,Anomaly_Score,Detection_Result,True_Label,Split
0,2.2961304614081794e-17,0,0,unlabeled
1,6.209087526686036e-33,0,0,unlabeled
2,2.519123478999327e-32,0,0,unlabeled
3,1.3443236866351586e-37,0,0,unlabeled
4,6.271202991423567e-37,0,0,unlabeled
5,3.2142796692293656e-21,0,0,unlabeled
6,3.281541641255191e-36,0,0,unlabeled
7,2.29715103885297e-36,0,0,unlabeled
8,2.877135958712403e-26,0,0,unlabeled
9,2.867309607690292e-32,0,0,train
10,7.092014028456575e-22,0,0,unlabeled
11,0.0,0,0,unlabeled
12,7.092014028456575e-22,0,0,train
13,1.6580158944204279e-25,0,0,unlabeled
14,2.013290296817448e-33,0,0,unlabeled
15,1.7739693067569163e-37,0,0,train
16,1.4168555982641286e-34,0,0,test
17,2.0453230038450232e-14,0,0,unlabeled
18,8.170447359970692e-25,0,0,train
19,1.5597553725824314e-33,0,0,train
20,2.2054919545627493e-23,0,0,unlabeled
21,6.9753523195394216e-15,0,0,unlabeled
22,1.6631369117855207e-37,0,0,unlabeled
23,0.0,0,0,unlabeled
24,1.3912211329173084e-36,0,0,val
25,0.0,0,0,unlabeled
26,4.0310508325938423e-39,0,0,unlabeled
27,0.0,0,0,unlabeled
28,1.4942061341607343e-32,0,0,unlabeled
29,0.0,0,0,val
30,5.382763305233414e-28,0,0,train
31,2.967036994098282e-35,0,0,train
32,4.392628744069914e-21,0,0,unlabeled
33,7.74772551059793e-34,0,0,unlabeled
34,5.100341490269766e-36,0,0,unlabeled
35,1.7579800869875476e-33,0,0,unlabeled
36,3.463138816965503e-24,0,0,unlabeled
37,4.208057406358924e-36,0,0,unlabeled
38,1.527616366736595e-10,0,0,unlabeled
39,1.527616366736595e-10,0,0,unlabeled
40,3.326957235711054e-35,0,0,unlabeled
41,2.827768062394393e-34,0,0,train
42,2.485534934216108e-38,0,0,val
43,8.872403137703821e-14,0,0,unlabeled
44,5.329242783526399e-17,0,0,unlabeled
45,3.099831830074097e-22,0,0,train
46,6.16577003552303e-20,0,0,unlabeled
47,5.114042167519983e-08,0,0,unlabeled
48,3.47423478874731e-12,0,0,unlabeled
49,8.214981023260747e-25,0,0,unlabeled
50,2.1855260001757415e-07,0,0,unlabeled
51,2.0546912057778847e-18,0,0,val
52,3.5867153830029965e-30,0,0,unlabeled
53,2.479798748185082e-28,0,0,unlabeled
54,2.2315103153153588e-27,0,0,unlabeled
55,1.92223759187373e-19,0,0,val
56,3.1823209808078825e-17,0,0,train
57,1.2942540748881229e-30,0,0,unlabeled
58,3.866081677707556e-30,0,0,unlabeled
59,3.072426877957366e-21,0,0,unlabeled
60,9.525807819462185e-24,0,0,train
61,8.749285374161104e-15,0,0,unlabeled
62,4.849519008587322e-09,0,0,unlabeled
63,8.139101198567644e-11,0,0,unlabeled
64,1.1162618572535532e-11,0,0,unlabeled
65,1.5158923022954218e-15,0,0,train
66,3.6398575957719004e-06,0,0,test
67,2.2179794541443698e-05,0,0,unlabeled
68,4.034128323837649e-06,0,0,unlabeled
69,1.4919972812776905e-08,0,0,unlabeled
70,9.025206797186325e-12,0,0,unlabeled
71,9.804664841794875e-06,0,0,unlabeled
72,4.412240362026802e-15,0,0,unlabeled
73,4.33707504209926e-17,0,0,unlabeled
74,5.926321072606284e-15,0,0,unlabeled
75,2.976636745790663e-14,0,0,unlabeled
76,1.0656122556888196e-14,0,0,unlabeled
77,3.5249733497779226e-14,0,0,unlabeled
78,2.537809177554002e-15,0,0,train
79,6.147900938335837e-11,0,0,unlabeled
80,2.250881564469509e-10,0,0,unlabeled
81,1.0115219175232861e-14,0,0,unlabeled
82,3.4523989663240494e-18,0,0,unlabeled
83,3.037681171513595e-17,0,0,unlabeled
84,4.272997511378662e-09,0,0,unlabeled
85,2.1448642405756278e-16,0,0,unlabeled
86,4.309587168599633e-15,0,0,unlabeled
87,1.6262887575241997e-13,0,0,unlabeled
88,3.1172896837634856e-13,0,0,unlabeled
89,2.784546952825512e-13,0,0,unlabeled
90,2.307834847670165e-06,0,0,unlabeled
91,1.478010747645031e-12,0,0,unlabeled
92,5.242093246895951e-19,0,0,unlabeled
93,9.479189351860318e-13,0,0,unlabeled
94,2.6436524080963864e-09,0,0,unlabeled
95,1.4784916346766153e-10,0,0,unlabeled
96,4.380970494821668e-06,0,0,unlabeled
97,1.1491859472757913e-14,0,0,unlabeled
98,6.212192147359019e-07,0,0,unlabeled
99,1.0722216359226877e-07,0,0,unlabeled
100,4.209948565431741e-15,0,0,unlabeled
101,0.00010784369078464806,0,0,train
102,1.2638502440778798e-12,0,0,unlabeled
103,8.247882021805708e-08,0,0,unlabeled
104,9.544830703589469e-09,0,0,unlabeled
105,2.1478412236319855e-05,0,0,unlabeled
106,6.691502107969427e-07,0,0,unlabeled
107,3.0518343407948123e-09,0,0,unlabeled
108,0.00019234081264585257,0,0,unlabeled
109,6.470589255513914e-07,0,0,train
110,4.8764572966319975e-06,0,0,unlabeled
111,3.57639032699808e-06,0,0,unlabeled
112,2.2205311367429204e-08,0,0,train
113,7.136882231861819e-06,0,0,train
114,0.0001714892714517191,0,0,unlabeled
115,3.6002973047288833e-06,0,0,unlabeled
116,1.2848062169723562e-06,0,0,unlabeled
117,0.024050597101449966,0,0,unlabeled
118,4.176600043592771e-07,0,0,unlabeled
119,5.614748488369514e-07,0,0,unlabeled
120,0.05572693049907684,0,0,unlabeled
121,1.5285628665595574e-11,0,0,unlabeled
122,2.1145195316929488e-10,0,0,unlabeled
123,0.0006166341481730342,0,0,unlabeled
