Top_K,Percentage(%),Precision,Recall,F1-Score,AUC,Anomaly_Count_In_TopK
6,0.98,1.0,0.0909,0.1667,0.9858,6
12,1.95,0.75,0.1364,0.2308,0.9858,9
18,2.93,0.7222,0.197,0.3095,0.9858,13
24,3.9,0.7083,0.2576,0.3778,0.9858,17
30,4.88,0.7,0.3182,0.4375,0.9858,21
36,5.85,0.6944,0.3788,0.4902,0.9858,25
43,6.99,0.7209,0.4697,0.5688,0.9858,31
49,7.97,0.7551,0.5606,0.6435,0.9858,37
55,8.94,0.7818,0.6515,0.7107,0.9858,43
61,9.92,0.7705,0.7121,0.7402,0.9858,47
92,14.96,0.663,0.9242,0.7722,0.9858,61
123,20.0,0.5203,0.9697,0.6772,0.9858,64
153,24.88,0.4183,0.9697,0.5845,0.9858,64
184,29.92,0.3587,1.0,0.528,0.9858,66
215,34.96,0.307,1.0,0.4698,0.9858,66
246,40.0,0.2683,1.0,0.4231,0.9858,66
276,44.88,0.2391,1.0,0.386,0.9858,66
307,49.92,0.215,1.0,0.3539,0.9858,66
369,60.0,0.1789,1.0,0.3034,0.9858,66
430,69.92,0.1535,1.0,0.2661,0.9858,66
492,80.0,0.1341,1.0,0.2366,0.9858,66
553,89.92,0.1193,1.0,0.2132,0.9858,66
615,100.0,0.1073,1.0,0.1938,0.9858,66
