Top_K,Percentage(%),Precision,Recall,F1-Score,AUC,Anomaly_Count_In_TopK
1,0.65,0.0,0.0,0.0,0.7555,0
3,1.94,0.3333,0.0385,0.069,0.7555,1
4,2.58,0.25,0.0385,0.0667,0.7555,1
6,3.87,0.5,0.1154,0.1875,0.7555,3
7,4.52,0.5714,0.1538,0.2424,0.7555,4
9,5.81,0.5556,0.1923,0.2857,0.7555,5
10,6.45,0.5,0.1923,0.2778,0.7555,5
12,7.74,0.5833,0.2692,0.3684,0.7555,7
13,8.39,0.6154,0.3077,0.4103,0.7555,8
15,9.68,0.6,0.3462,0.439,0.7555,9
23,14.84,0.4783,0.4231,0.449,0.7555,11
31,20.0,0.3871,0.4615,0.4211,0.7555,12
38,24.52,0.3684,0.5385,0.4375,0.7555,14
46,29.68,0.3696,0.6538,0.4722,0.7555,17
54,34.84,0.3333,0.6923,0.45,0.7555,18
62,40.0,0.3226,0.7692,0.4545,0.7555,20
69,44.52,0.3043,0.8077,0.4421,0.7555,21
77,49.68,0.2727,0.8077,0.4078,0.7555,21
93,60.0,0.2473,0.8846,0.3866,0.7555,23
108,69.68,0.213,0.8846,0.3433,0.7555,23
124,80.0,0.1935,0.9231,0.32,0.7555,24
139,89.68,0.1799,0.9615,0.303,0.7555,25
155,100.0,0.1677,1.0,0.2873,0.7555,26
