Original_Index,Anomaly_Score,Detection_Result,True_Label,Split
0,0.01113783661276102,1,0,unlabeled
1,8.58911153045483e-06,0,0,unlabeled
2,4.218452147597418e-07,0,1,unlabeled
3,4.25441685365513e-05,0,1,unlabeled
4,0.05944424495100975,1,0,unlabeled
5,1.3561718787968857e-06,0,0,unlabeled
6,0.7788307070732117,1,0,unlabeled
7,0.9934470057487488,1,0,unlabeled
8,8.300550575768284e-07,0,0,unlabeled
9,3.329281025798991e-05,0,1,unlabeled
10,0.9999953508377075,1,1,unlabeled
11,0.9933419823646545,1,0,unlabeled
12,0.0016060416819527745,1,0,unlabeled
13,1.1001141501765233e-05,0,1,unlabeled
14,0.0035174316726624966,1,0,train
15,0.9510170817375183,1,0,unlabeled
16,1.6094607417471707e-05,0,1,unlabeled
17,0.1564013808965683,1,0,unlabeled
18,0.9992571473121643,1,1,unlabeled
19,0.00017342569481115788,0,0,unlabeled
20,0.9999643564224243,1,0,unlabeled
21,0.038919150829315186,1,0,unlabeled
22,0.00031322918948717415,1,0,val
23,4.01718461944256e-05,0,0,train
24,4.95200656587258e-05,0,0,unlabeled
25,0.001320165814831853,1,0,train
26,0.9987975358963013,1,1,unlabeled
27,0.9988216757774353,1,1,unlabeled
28,0.9875422120094299,1,0,unlabeled
29,4.06298968300689e-05,0,0,unlabeled
30,0.9953162670135498,1,0,unlabeled
31,0.9997851252555847,1,1,val
32,0.9938370585441589,1,0,unlabeled
33,0.0011266544461250305,1,1,unlabeled
34,0.9926120638847351,1,0,unlabeled
35,7.33698470867239e-05,0,0,unlabeled
36,0.9997734427452087,1,1,unlabeled
37,0.004367650020867586,1,0,unlabeled
38,0.02205309085547924,1,1,val
39,4.9668851715978235e-05,0,0,unlabeled
40,0.9999998807907104,1,0,unlabeled
41,0.0003361634735483676,1,1,unlabeled
42,8.161659025063273e-06,0,0,unlabeled
43,3.823894076049328e-06,0,0,unlabeled
44,0.00018871539214160293,0,0,val
45,0.07156513631343842,1,0,unlabeled
46,0.9997020363807678,1,1,train
47,0.009378562681376934,1,0,unlabeled
48,0.9999977350234985,1,0,unlabeled
49,0.9998443126678467,1,1,unlabeled
50,4.404316496220417e-05,0,1,unlabeled
51,0.9976407289505005,1,1,unlabeled
52,9.700745522422949e-07,0,0,unlabeled
53,0.09665579348802567,1,1,unlabeled
54,0.9997021555900574,1,1,unlabeled
55,2.1467615169967758e-06,0,1,val
56,0.02109425701200962,1,0,unlabeled
57,0.615860104560852,1,0,unlabeled
58,0.999904990196228,1,1,train
59,0.10459598153829575,1,0,unlabeled
60,0.0025293193757534027,1,0,unlabeled
61,0.00014841841766610742,0,0,unlabeled
62,0.0005461270338855684,1,1,unlabeled
63,0.0009905749466270208,1,0,unlabeled
64,1.0,1,1,unlabeled
65,0.9999978542327881,1,0,unlabeled
66,0.9918199777603149,1,0,unlabeled
67,3.459909567027353e-05,0,1,unlabeled
68,0.2602914273738861,1,0,unlabeled
69,0.10780908912420273,1,1,unlabeled
70,0.9991589784622192,1,1,train
71,0.9994103908538818,1,1,unlabeled
72,0.997078537940979,1,0,unlabeled
73,0.9999943971633911,1,1,train
74,0.00010036618186859414,0,0,train
75,8.943268767325208e-06,0,0,unlabeled
76,0.0001021616262733005,0,0,unlabeled
77,0.00013057740579824895,0,0,unlabeled
