Top_K,Percentage(%),Precision,Recall,F1-Score,AUC,Anomaly_Count_In_TopK
3,1.0,0.3333,0.0127,0.0244,0.6293,1
6,2.0,0.3333,0.0253,0.0471,0.6293,2
9,3.0,0.3333,0.038,0.0682,0.6293,3
12,4.0,0.5,0.0759,0.1319,0.6293,6
15,5.0,0.5333,0.1013,0.1702,0.6293,8
18,6.0,0.4444,0.1013,0.1649,0.6293,8
21,7.0,0.4286,0.1139,0.18,0.6293,9
24,8.0,0.4583,0.1392,0.2136,0.6293,11
27,9.0,0.4444,0.1519,0.2264,0.6293,12
30,10.0,0.5,0.1899,0.2752,0.6293,15
45,15.0,0.4222,0.2405,0.3065,0.6293,19
60,20.0,0.45,0.3418,0.3885,0.6293,27
75,25.0,0.4133,0.3924,0.4026,0.6293,31
90,30.0,0.3778,0.4304,0.4024,0.6293,34
105,35.0,0.3714,0.4937,0.4239,0.6293,39
120,40.0,0.3667,0.557,0.4422,0.6293,44
135,45.0,0.3556,0.6076,0.4486,0.6293,48
150,50.0,0.3333,0.6329,0.4367,0.6293,50
180,60.0,0.3056,0.6962,0.4247,0.6293,55
210,70.0,0.2857,0.7595,0.4152,0.6293,60
240,80.0,0.2833,0.8608,0.4263,0.6293,68
270,90.0,0.2778,0.9494,0.4298,0.6293,75
300,100.0,0.2633,1.0,0.4169,0.6293,79
