Top_K,Percentage(%),Precision,Recall,F1-Score,AUC,Anomaly_Count_In_TopK
5,0.86,1.0,0.015,0.0296,0.646,5
11,1.89,0.9091,0.03,0.0581,0.646,10
17,2.92,0.8824,0.045,0.0857,0.646,15
23,3.95,0.8261,0.0571,0.1067,0.646,19
29,4.97,0.8276,0.0721,0.1326,0.646,24
34,5.83,0.7647,0.0781,0.1417,0.646,26
40,6.86,0.7,0.0841,0.1501,0.646,28
46,7.89,0.6957,0.0961,0.1689,0.646,32
52,8.92,0.7115,0.1111,0.1922,0.646,37
58,9.95,0.7069,0.1231,0.2097,0.646,41
87,14.92,0.6897,0.1802,0.2857,0.646,60
116,19.9,0.6638,0.2312,0.343,0.646,77
145,24.87,0.669,0.2913,0.4059,0.646,97
174,29.85,0.6782,0.3544,0.4655,0.646,118
204,34.99,0.6863,0.4204,0.5214,0.646,140
233,39.97,0.691,0.4835,0.5689,0.646,161
262,44.94,0.6679,0.5255,0.5882,0.646,175
291,49.91,0.646,0.5646,0.6026,0.646,188
349,59.86,0.616,0.6456,0.6305,0.646,215
408,69.98,0.6127,0.7508,0.6748,0.646,250
466,79.93,0.5923,0.8288,0.6909,0.646,276
524,89.88,0.5821,0.9159,0.7118,0.646,305
583,100.0,0.5712,1.0,0.7271,0.646,333
