Top_K,Percentage(%),Precision,Recall,F1-Score,AUC,Anomaly_Count_In_TopK
9,0.94,0.4444,0.0112,0.0219,0.822,4
19,1.98,0.3158,0.0169,0.032,0.822,6
28,2.91,0.4643,0.0365,0.0677,0.822,13
38,3.95,0.4737,0.0506,0.0914,0.822,18
48,4.99,0.5,0.0674,0.1188,0.822,24
57,5.93,0.5263,0.0843,0.1453,0.822,30
67,6.97,0.5522,0.1039,0.1749,0.822,37
76,7.91,0.5658,0.1208,0.1991,0.822,43
86,8.95,0.5581,0.1348,0.2172,0.822,48
96,9.99,0.5729,0.1545,0.2434,0.822,55
144,14.98,0.5972,0.2416,0.344,0.822,86
192,19.98,0.6406,0.3455,0.4489,0.822,123
240,24.97,0.6458,0.4354,0.5201,0.822,155
288,29.97,0.6354,0.514,0.5683,0.822,183
336,34.96,0.628,0.5927,0.6098,0.822,211
384,39.96,0.6042,0.6517,0.627,0.822,232
432,44.95,0.588,0.7135,0.6447,0.822,254
480,49.95,0.5771,0.7781,0.6627,0.822,277
576,59.94,0.5417,0.8764,0.6695,0.822,312
672,69.93,0.5,0.9438,0.6537,0.822,336
768,79.92,0.4492,0.9691,0.6139,0.822,345
864,89.91,0.4074,0.9888,0.577,0.822,352
961,100.0,0.3704,1.0,0.5406,0.822,356
