Top_K,Percentage(%),Precision,Recall,F1-Score,AUC,Anomaly_Count_In_TopK
81,1.0,0.2346,0.0223,0.0407,0.8915,19
162,1.99,0.2654,0.0505,0.0848,0.8915,43
243,2.99,0.3004,0.0857,0.1333,0.8915,73
324,3.99,0.3488,0.1326,0.1922,0.8915,113
406,5.0,0.367,0.1749,0.2369,0.8915,149
487,5.99,0.3922,0.2242,0.2853,0.8915,191
568,6.99,0.3891,0.2594,0.3113,0.8915,221
649,7.99,0.4022,0.3063,0.3478,0.8915,261
731,9.0,0.4036,0.3462,0.3727,0.8915,295
812,10.0,0.4052,0.3862,0.3954,0.8915,329
1218,14.99,0.3941,0.5634,0.4638,0.8915,480
1624,19.99,0.3707,0.7066,0.4863,0.8915,602
2031,25.0,0.3427,0.8169,0.4828,0.8915,696
2437,30.0,0.3233,0.9249,0.4792,0.8915,788
2843,35.0,0.2895,0.966,0.4455,0.8915,823
3249,39.99,0.2573,0.9812,0.4077,0.8915,836
3655,44.99,0.2315,0.993,0.3754,0.8915,846
4062,50.0,0.209,0.9965,0.3455,0.8915,849
4874,60.0,0.1744,0.9977,0.2969,0.8915,850
5686,69.99,0.1498,1.0,0.2606,0.8915,852
6499,80.0,0.1311,1.0,0.2318,0.8915,852
7311,89.99,0.1165,1.0,0.2087,0.8915,852
8124,100.0,0.1049,1.0,0.1898,0.8915,852
