Original_Index,Anomaly_Score,Detection_Result,True_Label,Split
0,1.3178423087948916e-25,0,0,unlabeled
1,0.0,0,0,unlabeled
2,6.452757311871423e-34,0,0,unlabeled
3,9.449658996771333e-39,0,0,unlabeled
4,0.0,0,0,unlabeled
5,2.4610867729943153e-25,0,0,unlabeled
6,0.9921947717666626,1,0,unlabeled
7,0.8880070447921753,1,0,unlabeled
8,5.253047441478031e-10,0,0,unlabeled
9,5.127509711039171e-16,0,0,train
10,6.524492612847155e-10,0,0,unlabeled
11,3.248342892413214e-14,0,0,unlabeled
12,0.0009371740161441267,0,0,train
13,1.1488821655802894e-05,0,0,unlabeled
14,0.00021919466962572187,0,0,unlabeled
15,0.0011381686199456453,0,0,unlabeled
16,0.008980398066341877,0,0,unlabeled
17,1.851862415109683e-15,0,0,unlabeled
18,6.662635650838696e-37,0,0,train
19,4.972192750798366e-26,0,0,val
20,1.1350741970410142e-29,0,0,unlabeled
21,1.567214031723186e-21,0,0,unlabeled
22,5.4128269442420757e-20,0,0,train
23,4.987107978156911e-17,0,0,unlabeled
24,1.1957945389440283e-05,0,0,unlabeled
25,1.7023807140259837e-16,0,0,unlabeled
26,3.3808282751124352e-06,0,0,train
27,2.2429854652727954e-05,0,0,unlabeled
28,0.0009083602926693857,0,0,unlabeled
29,0.00037879208684898913,0,0,train
30,0.9999711513519287,1,1,unlabeled
31,0.9971907734870911,1,1,unlabeled
32,0.9933229088783264,1,1,train
33,0.626028299331665,1,1,unlabeled
34,0.626028299331665,1,1,val
35,0.38519930839538574,0,1,unlabeled
36,0.006576724350452423,0,0,test
37,0.0015694951871410012,0,0,val
38,0.0014105922309681773,0,0,unlabeled
39,0.008399857208132744,0,0,unlabeled
40,0.006946613546460867,0,0,unlabeled
41,0.0660371333360672,0,0,unlabeled
42,1.0,1,1,unlabeled
43,1.0,1,1,train
44,1.0,1,1,unlabeled
45,1.0,1,1,unlabeled
46,1.0,1,1,unlabeled
47,1.0,1,1,unlabeled
48,0.63938969373703,1,1,unlabeled
49,0.43907010555267334,1,1,val
50,0.9997366070747375,1,1,unlabeled
51,0.670558512210846,1,1,train
52,0.8932917714118958,1,1,unlabeled
53,0.9983080625534058,1,1,train
54,5.169021455751512e-18,0,0,train
55,3.022040770686561e-26,0,0,unlabeled
56,3.710575295079841e-24,0,0,unlabeled
57,7.187723045877156e-14,0,0,unlabeled
58,7.434719039142636e-15,0,0,unlabeled
59,3.889846298839935e-19,0,0,unlabeled
60,0.0007075192988850176,0,1,unlabeled
61,0.0010685886954888701,0,1,unlabeled
62,1.0,1,1,unlabeled
63,0.9999998807907104,1,1,unlabeled
64,1.0,1,1,unlabeled
65,0.4461211562156677,1,1,test
66,2.6741168957997163e-16,0,0,unlabeled
67,4.151470860387328e-21,0,0,unlabeled
68,6.989262842386958e-28,0,0,unlabeled
69,2.460512869839615e-11,0,0,unlabeled
70,1.3651419404625553e-11,0,0,unlabeled
71,0.0,0,0,unlabeled
72,0.7871660590171814,1,0,unlabeled
73,0.6772264838218689,1,0,unlabeled
74,8.809951395960525e-06,0,0,unlabeled
75,0.0005482652341015637,0,0,train
76,1.1351603684817135e-11,0,0,unlabeled
77,0.26344040036201477,0,0,unlabeled
78,1.701068640138352e-17,0,0,unlabeled
79,1.7855997673284442e-29,0,0,val
80,1.0090245648249386e-29,0,0,unlabeled
81,6.754812720838339e-23,0,0,unlabeled
82,2.785675370117844e-15,0,0,unlabeled
83,0.23371364176273346,0,0,unlabeled
84,2.2507780527398e-29,0,0,unlabeled
85,7.302330330585631e-15,0,0,unlabeled
86,1.7158219289825638e-11,0,0,unlabeled
87,9.602252766624163e-29,0,0,unlabeled
88,1.5303358824984837e-23,0,0,test
89,5.673641621426028e-32,0,0,unlabeled
90,0.0,0,0,train
