Top_K,Percentage(%),Precision,Recall,F1-Score,AUC,Anomaly_Count_In_TopK
1,0.51,1.0,0.0263,0.0513,0.9264,1
3,1.54,0.6667,0.0526,0.0976,0.9264,2
5,2.56,0.8,0.1053,0.186,0.9264,4
7,3.59,0.8571,0.1579,0.2667,0.9264,6
9,4.62,0.8889,0.2105,0.3404,0.9264,8
11,5.64,0.9091,0.2632,0.4082,0.9264,10
13,6.67,0.9231,0.3158,0.4706,0.9264,12
15,7.69,0.8667,0.3421,0.4906,0.9264,13
17,8.72,0.7647,0.3421,0.4727,0.9264,13
19,9.74,0.7895,0.3947,0.5263,0.9264,15
29,14.87,0.5862,0.4474,0.5075,0.9264,17
39,20.0,0.5897,0.6053,0.5974,0.9264,23
48,24.62,0.5833,0.7368,0.6512,0.9264,28
58,29.74,0.5517,0.8421,0.6667,0.9264,32
68,34.87,0.4853,0.8684,0.6226,0.9264,33
78,40.0,0.4359,0.8947,0.5862,0.9264,34
87,44.62,0.4023,0.9211,0.56,0.9264,35
97,49.74,0.3711,0.9474,0.5333,0.9264,36
117,60.0,0.3248,1.0,0.4903,0.9264,38
136,69.74,0.2794,1.0,0.4368,0.9264,38
156,80.0,0.2436,1.0,0.3918,0.9264,38
175,89.74,0.2171,1.0,0.3568,0.9264,38
195,100.0,0.1949,1.0,0.3262,0.9264,38
