Original_Index,Anomaly_Score,Detection_Result,True_Label,Split
0,0.001500705606304109,0,0,train
1,0.0006894741673022509,0,0,unlabeled
2,0.00018914503743872046,0,0,unlabeled
3,3.364016778295081e-28,0,0,unlabeled
4,1.2302822649523648e-10,0,0,unlabeled
5,2.1612005701782104e-23,0,0,unlabeled
6,1.9788301678304517e-24,0,0,unlabeled
7,1.0370461939506324e-16,0,0,unlabeled
8,9.551321390158414e-15,0,0,unlabeled
9,2.8602845092429163e-10,0,0,train
10,0.44108831882476807,0,0,unlabeled
11,4.1506175072632057e-20,0,0,train
12,6.351732943312275e-31,0,0,unlabeled
13,8.545031679853612e-14,0,0,unlabeled
14,3.006915960668266e-07,0,0,unlabeled
15,2.488660674082937e-27,0,0,train
16,3.6998394534748513e-06,0,0,unlabeled
17,7.60576822876613e-13,0,0,unlabeled
18,2.4374836132950945e-19,0,0,unlabeled
19,0.01976260170340538,0,0,train
20,5.0021851244475e-11,0,0,unlabeled
21,1.1551672280811802e-15,0,0,unlabeled
22,2.0633575331885368e-05,0,0,train
23,5.927893423390547e-26,0,0,unlabeled
24,0.7647117376327515,0,0,unlabeled
25,2.8874793667199583e-09,0,0,test
26,4.723661173040676e-14,0,0,unlabeled
27,3.663978656202405e-15,0,0,unlabeled
28,6.184250594259977e-12,0,0,unlabeled
29,6.442785194238354e-11,0,0,unlabeled
30,0.0006866591284051538,0,0,train
31,2.0851767921571617e-19,0,0,unlabeled
32,2.0570614100989815e-09,0,0,unlabeled
33,4.875257315906101e-12,0,0,train
34,9.060852103207466e-32,0,0,unlabeled
35,9.829590807326177e-36,0,0,unlabeled
36,7.501800475058244e-25,0,0,unlabeled
37,1.37008094214415e-13,0,0,unlabeled
38,0.00011567156616365537,0,0,unlabeled
39,1.0924936351062064e-30,0,0,train
40,9.285535043090931e-07,0,0,unlabeled
41,2.3161346451860965e-10,0,0,unlabeled
42,7.931879508760176e-08,0,0,train
43,4.9492954873331385e-11,0,0,unlabeled
44,0.005667902994900942,0,0,unlabeled
45,2.054827602897811e-15,0,0,unlabeled
46,1.151320702774683e-06,0,0,train
47,6.718457832906668e-28,0,0,unlabeled
48,5.600039204058105e-13,0,0,unlabeled
49,2.1216015450280922e-21,0,0,unlabeled
50,6.08733138185766e-22,0,0,unlabeled
51,0.9999998807907104,0,0,unlabeled
52,6.850435170235869e-07,0,0,unlabeled
53,1.0290453556501623e-18,0,0,unlabeled
54,0.9999337196350098,0,0,unlabeled
55,3.9457434576999887e-25,0,0,train
56,5.4352123580105786e-21,0,0,val
57,4.6843452917609205e-14,0,0,train
58,1.7135396906820538e-18,0,0,unlabeled
59,2.380467160632991e-25,0,0,unlabeled
60,2.0591560683132226e-14,0,0,unlabeled
61,5.6124394813263815e-18,0,0,unlabeled
