Top_K,Percentage(%),Precision,Recall,F1-Score,AUC,Anomaly_Count_In_TopK
4,0.82,0.75,0.0938,0.1667,0.8944,3
9,1.84,0.7778,0.2188,0.3415,0.8944,7
14,2.86,0.7857,0.3438,0.4783,0.8944,11
19,3.88,0.7368,0.4375,0.549,0.8944,14
24,4.9,0.7083,0.5312,0.6071,0.8944,17
29,5.92,0.6552,0.5938,0.623,0.8944,19
34,6.94,0.5882,0.625,0.6061,0.8944,20
39,7.96,0.5641,0.6875,0.6197,0.8944,22
44,8.98,0.5,0.6875,0.5789,0.8944,22
49,10.0,0.4694,0.7188,0.5679,0.8944,23
73,14.9,0.3425,0.7812,0.4762,0.8944,25
98,20.0,0.2551,0.7812,0.3846,0.8944,25
122,24.9,0.2131,0.8125,0.3377,0.8944,26
147,30.0,0.1837,0.8438,0.3017,0.8944,27
171,34.9,0.1637,0.875,0.2759,0.8944,28
196,40.0,0.148,0.9062,0.2544,0.8944,29
220,44.9,0.1318,0.9062,0.2302,0.8944,29
245,50.0,0.1184,0.9062,0.2094,0.8944,29
294,60.0,0.102,0.9375,0.184,0.8944,30
343,70.0,0.0904,0.9688,0.1653,0.8944,31
392,80.0,0.0791,0.9688,0.1462,0.8944,31
441,90.0,0.0703,0.9688,0.1311,0.8944,31
490,100.0,0.0653,1.0,0.1226,0.8944,32
