Original_Index,Anomaly_Score,Detection_Result,True_Label,Split
0,0.9999943971633911,1,1,unlabeled
1,0.9996415376663208,1,1,unlabeled
2,1.0,1,1,train
3,0.0011134041706100106,1,0,unlabeled
4,3.902767442554023e-09,0,0,unlabeled
5,7.327727189476718e-07,0,0,unlabeled
6,0.9999983310699463,1,1,unlabeled
7,5.561833216205514e-10,0,0,train
8,0.9999990463256836,1,1,unlabeled
9,6.17082784870604e-09,0,1,unlabeled
10,7.21008154869196e-06,0,0,unlabeled
11,4.000835076567455e-07,0,0,train
12,2.103539600284421e-06,0,1,unlabeled
13,0.0008136151009239256,1,0,unlabeled
14,1.0,1,1,unlabeled
15,1.0,1,0,val
16,0.00015275756595656276,0,0,unlabeled
17,4.102633101865649e-05,0,0,train
18,1.0,1,1,unlabeled
19,9.697257580265628e-11,0,0,unlabeled
20,0.99982088804245,1,1,unlabeled
21,0.6127023100852966,1,1,train
22,1.0,1,1,unlabeled
23,0.9999997615814209,1,1,unlabeled
24,0.999998927116394,1,1,unlabeled
25,0.05715896189212799,1,0,unlabeled
26,1.0,1,1,train
27,1.0480784010419257e-16,0,0,unlabeled
28,1.6444625998701667e-06,0,0,unlabeled
29,6.614587618969381e-05,0,0,unlabeled
30,0.000169836770510301,0,0,unlabeled
31,8.914797217585146e-05,0,1,unlabeled
32,0.6083986759185791,1,1,unlabeled
33,6.081351244802136e-08,0,0,unlabeled
34,0.818835973739624,1,1,unlabeled
35,1.0,1,1,unlabeled
36,0.005295146722346544,1,0,train
37,5.124790813937352e-09,0,0,unlabeled
38,1.286516865262044e-10,0,0,unlabeled
39,0.0008820825023576617,1,0,unlabeled
40,0.19350460171699524,1,0,unlabeled
41,1.0,1,1,unlabeled
42,1.3685366866411641e-06,0,0,unlabeled
43,0.9999812841415405,1,1,unlabeled
44,0.9994485974311829,1,1,val
45,3.251809346238588e-07,0,0,unlabeled
46,0.9994913339614868,1,1,unlabeled
47,0.2050837278366089,1,0,train
48,7.680558337597176e-05,0,1,unlabeled
49,1.4966128583280246e-14,0,0,val
50,1.0,1,1,unlabeled
51,0.9999969005584717,1,1,unlabeled
52,1.0,1,1,unlabeled
53,1.0,1,1,unlabeled
54,0.1495504379272461,1,1,unlabeled
55,1.4575012983186753e-06,0,0,unlabeled
56,0.00029001731309108436,0,0,unlabeled
57,0.9994451403617859,1,1,unlabeled
58,0.3923763632774353,1,0,unlabeled
59,0.1159142404794693,1,0,unlabeled
60,1.0,1,1,unlabeled
61,0.9999881982803345,1,1,train
62,0.005887506529688835,1,0,unlabeled
63,1.0,1,1,unlabeled
64,2.1600417010603223e-09,0,0,unlabeled
65,1.630342794101125e-08,0,0,unlabeled
66,0.7845199108123779,1,1,unlabeled
67,0.07508952915668488,1,1,unlabeled
68,1.0,1,1,unlabeled
69,5.50029213286507e-08,0,0,train
70,0.9999994039535522,1,1,unlabeled
71,0.013987650163471699,1,1,unlabeled
72,1.0,1,1,unlabeled
73,7.174149914135342e-07,0,0,unlabeled
74,1.0187179100284993e-08,0,0,unlabeled
75,1.0,1,1,unlabeled
76,1.0,1,1,val
77,1.0,1,1,unlabeled
78,0.9995635151863098,1,1,unlabeled
79,4.289136060209309e-11,0,0,unlabeled
80,2.6496138616494136e-07,0,0,unlabeled
81,1.0,1,1,unlabeled
82,0.9999953508377075,1,1,unlabeled
83,1.0,1,1,unlabeled
84,0.9999263286590576,1,1,unlabeled
85,0.9999991655349731,1,0,unlabeled
86,0.002459789626300335,1,1,unlabeled
87,3.397074830636948e-13,0,0,unlabeled
88,1.0,1,0,unlabeled
89,1.0,1,1,unlabeled
90,0.9999574422836304,1,1,unlabeled
91,1.0,1,1,unlabeled
92,0.9999959468841553,1,1,unlabeled
93,2.5579136035958072e-06,0,0,unlabeled
94,4.372201601654524e-06,0,1,unlabeled
95,0.9993071556091309,1,0,val
96,0.9983707070350647,1,1,unlabeled
97,1.0,1,1,train
98,0.013193226419389248,1,1,val
99,2.727483843045775e-05,0,0,unlabeled
100,0.9999001026153564,1,1,unlabeled
101,0.9992825388908386,1,0,unlabeled
102,0.001843632198870182,1,0,train
103,5.9917631006101146e-05,0,0,train
104,1.0,1,1,unlabeled
105,1.4231980038914571e-09,0,0,unlabeled
106,1.0104075215400243e-10,0,0,unlabeled
107,0.9998888969421387,1,1,train
108,6.720736109855352e-07,0,0,unlabeled
109,1.0,1,1,unlabeled
110,1.0,1,1,train
111,1.0,1,1,unlabeled
112,1.2290612176002469e-05,0,1,unlabeled
