Original_Index,Anomaly_Score,Detection_Result,True_Label,Split
0,0.013261876069009304,1,0,train
1,0.0172562375664711,1,0,unlabeled
2,7.541182185377693e-06,0,0,unlabeled
3,5.795420600937604e-16,0,0,train
4,1.0470453162270132e-05,0,0,unlabeled
5,2.6760635469190962e-14,0,0,test
6,7.268202526107808e-15,0,0,unlabeled
7,0.0003520818136166781,1,0,unlabeled
8,1.4808033470330367e-17,0,1,unlabeled
9,5.136404079841839e-10,0,0,unlabeled
10,7.527684715569194e-07,0,0,train
11,3.821361629907649e-11,0,0,unlabeled
12,4.194431954540612e-11,0,0,unlabeled
13,1.4292645573732443e-05,0,0,unlabeled
14,4.961324320124083e-12,0,0,unlabeled
15,1.3768751374096779e-15,0,0,unlabeled
16,3.7550059291913696e-22,0,0,train
17,0.05236168950796127,1,0,unlabeled
18,1.0070272082884912e-06,0,1,unlabeled
19,2.3264874471351504e-09,0,0,unlabeled
20,8.765700838797574e-12,0,0,unlabeled
21,1.167373895327728e-07,0,0,unlabeled
22,1.5223110272355456e-10,0,0,unlabeled
23,1.7598298035839677e-13,0,0,unlabeled
24,3.467947180979536e-06,0,0,train
25,2.6212231318822887e-07,0,0,unlabeled
26,4.638066016149258e-16,0,0,unlabeled
27,4.066882781581469e-17,0,0,train
28,4.8682951003797825e-09,0,0,unlabeled
29,1.3079697915030497e-12,0,0,unlabeled
30,1.6659042145761305e-08,0,0,unlabeled
31,1.3563364095595977e-14,0,1,unlabeled
32,9.352386053096406e-12,0,0,unlabeled
33,3.584383011911996e-05,0,0,train
34,1.3518413943813812e-08,0,0,unlabeled
35,0.011697727255523205,1,0,unlabeled
36,8.675102334519691e-16,0,0,train
37,4.503250827792016e-10,0,0,unlabeled
38,3.776420509638001e-09,0,0,unlabeled
39,2.833343337727001e-09,0,0,unlabeled
40,4.352948934638334e-08,0,0,unlabeled
41,9.840263048843667e-10,0,0,unlabeled
42,2.6045815894673585e-14,0,0,train
43,4.434771472006105e-05,0,0,unlabeled
44,3.3563665624569694e-08,0,0,unlabeled
45,0.0014648059150204062,1,0,train
46,2.948276345282608e-11,0,0,unlabeled
47,3.640706012386287e-18,0,1,unlabeled
48,1.703250306636997e-13,0,0,unlabeled
49,0.9994557499885559,1,1,train
50,1.3225825224823842e-16,0,0,train
51,3.917096855210467e-11,0,0,test
52,7.650059405395204e-12,0,0,unlabeled
53,0.026781847700476646,1,0,unlabeled
54,5.200586489229053e-11,0,0,unlabeled
55,0.006662871688604355,1,0,unlabeled
56,4.474273137556326e-16,0,0,unlabeled
57,4.884455687137468e-11,0,0,unlabeled
58,6.136539809631358e-07,0,0,unlabeled
59,4.682475122822741e-23,0,0,unlabeled
60,3.772527861656272e-06,0,0,train
61,7.146412232600027e-14,0,0,train
62,0.0013598169898614287,1,0,test
63,0.000895784585736692,1,0,unlabeled
64,1.0593206752673723e-05,0,0,unlabeled
65,5.079320297696199e-11,0,0,unlabeled
66,9.94216688143812e-12,0,0,unlabeled
67,3.227549711937172e-07,0,0,unlabeled
68,7.742598739923778e-08,0,0,train
69,1.0222193100664634e-12,0,0,unlabeled
70,1.3565374528296285e-15,0,0,unlabeled
71,6.7938823455904185e-09,0,0,unlabeled
72,0.000359771482180804,1,1,unlabeled
73,1.0500626063114638e-10,0,0,unlabeled
74,1.6103352606933186e-07,0,0,unlabeled
75,5.373934186536644e-07,0,0,unlabeled
76,4.0039026316662785e-08,0,0,unlabeled
77,7.853355010571661e-13,0,0,unlabeled
78,0.01284843124449253,1,0,train
79,0.8064119815826416,1,1,unlabeled
80,1.9297446840482735e-07,0,0,train
81,1.6337970976110228e-07,0,0,unlabeled
82,0.9780821800231934,1,0,unlabeled
83,2.885139140391466e-17,0,0,train
84,5.733696539778066e-08,0,0,train
85,0.002499073278158903,1,0,train
86,7.787274080328643e-05,0,0,unlabeled
87,2.6764246370645107e-15,0,0,unlabeled
88,2.071096405487083e-09,0,0,unlabeled
89,1.1845795455656116e-07,0,1,unlabeled
90,0.0015418268740177155,1,0,train
91,5.648874597252718e-12,0,0,unlabeled
92,0.3448704183101654,1,0,unlabeled
93,2.794972999708989e-07,0,0,unlabeled
94,1.2035629437523454e-10,0,0,unlabeled
95,1.9595863126609103e-11,0,0,unlabeled
96,2.0487289642545647e-09,0,0,unlabeled
97,0.003662761766463518,1,0,unlabeled
98,1.361600329014001e-11,0,0,test
99,0.04667885974049568,1,0,unlabeled
100,1.4023865402279512e-10,0,1,unlabeled
101,3.326842111257139e-13,0,1,unlabeled
102,1.9005456763920847e-08,0,0,unlabeled
103,0.5403223633766174,1,0,val
104,1.1307212761588192e-12,0,0,train
105,4.1105732151436314e-08,0,0,unlabeled
106,6.96011994705259e-08,0,0,unlabeled
107,1.863445807384706e-18,0,0,unlabeled
108,2.6601787439517466e-08,0,0,unlabeled
109,1.0602272482174158e-07,0,0,unlabeled
110,9.659887473256745e-12,0,1,unlabeled
111,4.195388481065265e-09,0,0,unlabeled
112,1.1493168773936131e-15,0,0,train
113,2.3346051654382638e-12,0,1,unlabeled
114,0.02560582384467125,1,0,unlabeled
115,8.03488569081634e-13,0,0,unlabeled
116,1.1894835694192807e-07,0,0,unlabeled
117,3.186828242702361e-13,0,0,unlabeled
118,7.083698437782004e-05,0,0,unlabeled
119,4.258159363307312e-12,0,0,unlabeled
120,1.0799658703758907e-18,0,0,train
121,2.2014747663723355e-11,0,0,train
122,2.806781196351693e-10,0,0,unlabeled
123,2.56886560634495e-11,0,0,unlabeled
124,0.2288190722465515,1,0,unlabeled
125,1.0017020546371214e-09,0,0,unlabeled
126,4.535417247097939e-06,0,0,train
127,0.0032871218863874674,1,0,unlabeled
128,0.003512765048071742,1,0,unlabeled
129,2.972121715405507e-10,0,0,unlabeled
130,0.9919987320899963,1,0,unlabeled
131,0.024481358006596565,1,0,train
132,1.4917560520189e-07,0,0,unlabeled
133,2.1452707665847726e-11,0,0,unlabeled
134,0.9988847374916077,1,0,unlabeled
135,0.9997395873069763,1,0,unlabeled
136,6.697098433505744e-05,0,0,val
137,0.9973738193511963,1,0,unlabeled
138,1.3448789859538124e-09,0,0,test
139,6.5464152585663175e-15,0,0,unlabeled
140,7.331593820936178e-08,0,0,unlabeled
141,1.917794179462362e-05,0,0,unlabeled
142,5.110354361903546e-09,0,0,unlabeled
143,3.936127812576018e-11,0,0,unlabeled
144,0.02096049301326275,1,0,unlabeled
145,1.6505462099303259e-06,0,0,unlabeled
146,0.007747185882180929,1,0,unlabeled
147,5.2089450808257e-11,0,0,unlabeled
148,0.9997860789299011,1,0,unlabeled
149,3.627165456876469e-09,0,0,train
150,8.660630555823445e-06,0,0,unlabeled
151,6.111904466690396e-14,0,0,unlabeled
152,1.7115891637331515e-07,0,0,unlabeled
153,0.4827291667461395,1,0,unlabeled
154,1.2271470950508956e-07,0,0,unlabeled
155,0.0010748872300609946,1,0,unlabeled
156,5.3683173462104605e-09,0,0,unlabeled
157,2.0584678850354976e-07,0,0,unlabeled
158,1.4106247840281992e-14,0,0,unlabeled
159,5.1719882581324414e-15,0,0,unlabeled
160,1.5439372873515822e-05,0,0,unlabeled
161,0.0001143970584962517,1,1,unlabeled
162,6.621457373512385e-07,0,0,unlabeled
163,8.867892802300048e-07,0,0,unlabeled
164,1.784203078614155e-07,0,1,unlabeled
165,4.468520637601614e-05,0,0,unlabeled
166,1.0416419463088467e-11,0,0,train
167,1.0690419551854535e-19,0,0,unlabeled
168,0.0036915899254381657,1,0,unlabeled
169,1.7244884719432724e-13,0,0,unlabeled
170,7.90023259469308e-05,0,0,unlabeled
171,2.143874487658959e-12,0,0,unlabeled
172,4.002669862224195e-10,0,0,unlabeled
173,0.004753324668854475,1,0,unlabeled
174,0.00040935652214102447,1,0,unlabeled
175,4.969772059227923e-16,0,0,unlabeled
176,7.743261760950748e-12,0,0,unlabeled
177,0.019045615568757057,1,0,unlabeled
178,1.1186528148243724e-08,0,0,unlabeled
179,9.201558626159567e-09,0,0,train
180,2.4335176931344904e-06,0,0,unlabeled
181,1.774178152556454e-23,0,0,unlabeled
182,7.534921991902976e-11,0,1,unlabeled
183,5.032096305512823e-05,0,0,unlabeled
184,8.816422370230782e-16,0,0,unlabeled
185,6.202648151224299e-18,0,0,unlabeled
186,2.0137334182969424e-13,0,0,unlabeled
187,1.4868784592366466e-15,0,0,unlabeled
188,1.9119597709504887e-05,0,0,unlabeled
189,6.2858607634552754e-06,0,0,unlabeled
190,1.8458225176391105e-18,0,0,unlabeled
191,0.0020438956562429667,1,0,train
192,3.6243498978925925e-13,0,0,unlabeled
193,1.2653391422645655e-05,0,0,unlabeled
194,2.4468388131067796e-14,0,0,unlabeled
195,6.799409600351074e-15,0,0,unlabeled
196,1.775313633622412e-14,0,0,unlabeled
197,1.3602302617599094e-10,0,0,unlabeled
198,3.796947741146957e-16,0,0,train
199,0.9873838424682617,1,0,unlabeled
200,4.305378473642963e-16,0,0,unlabeled
201,0.03656938299536705,1,0,unlabeled
202,0.0016553568420931697,1,0,unlabeled
203,0.8761235475540161,1,0,unlabeled
204,5.663601427841058e-07,0,0,unlabeled
205,1.122509090123458e-07,0,0,unlabeled
206,0.00014836860646028072,1,1,unlabeled
207,4.960621757116312e-13,0,0,unlabeled
208,1.2842696150983102e-06,0,0,val
209,0.9995909333229065,1,1,train
210,2.7158669126947643e-06,0,0,train
211,2.1655733575733777e-13,0,0,unlabeled
212,3.433004206430945e-13,0,0,val
213,1.591432373970747e-05,0,0,train
214,0.002247423632070422,1,0,unlabeled
215,3.4244644731962865e-16,0,0,unlabeled
216,0.4421063959598541,1,1,unlabeled
217,0.0005001995014026761,1,0,unlabeled
218,0.007556086406111717,1,0,unlabeled
219,1.3280917164626427e-11,0,0,unlabeled
220,0.0031258424278348684,1,0,unlabeled
221,0.002253843005746603,1,0,train
222,3.3691473322146193e-17,0,1,unlabeled
223,3.4603762455280573e-14,0,0,unlabeled
224,6.449454685586442e-13,0,0,unlabeled
225,0.01946702040731907,1,1,unlabeled
226,4.872899068263653e-18,0,0,unlabeled
227,1.5580221834898822e-10,0,0,unlabeled
228,6.144498104765361e-12,0,0,unlabeled
229,3.0456075470153233e-16,0,0,unlabeled
230,1.7953917145155288e-17,0,0,unlabeled
231,2.8943845791218337e-06,0,0,unlabeled
232,0.0013663936406373978,1,0,unlabeled
233,1.0689859370957566e-13,0,0,unlabeled
234,1.751673607941484e-06,0,0,unlabeled
235,5.8675514225114966e-08,0,0,unlabeled
236,1.4304121851837354e-13,0,0,unlabeled
237,4.373010597191751e-06,0,0,unlabeled
238,1.3638118776597668e-15,0,0,unlabeled
239,7.285062224582362e-07,0,0,unlabeled
240,4.375978468473818e-10,0,0,train
241,4.891758749181463e-07,0,0,unlabeled
242,0.998185932636261,1,0,unlabeled
243,1.1669074181323152e-13,0,0,unlabeled
244,0.7734458446502686,1,0,val
245,5.880692995924471e-16,0,0,unlabeled
246,2.5043170662208958e-12,0,0,unlabeled
247,0.0014216569252312183,1,0,unlabeled
248,0.9998090863227844,1,1,train
249,7.8272908154986e-09,0,0,unlabeled
250,2.864621206910556e-09,0,0,unlabeled
251,8.44693131512031e-05,0,0,unlabeled
252,2.660189466041629e-06,0,0,unlabeled
253,3.7798521645981964e-08,0,0,unlabeled
