Top_K,Percentage(%),Precision,Recall,F1-Score,AUC,Anomaly_Count_In_TopK
3,0.76,0.0,0.0,0.0,0.5584,0
7,1.77,0.1429,0.0345,0.0556,0.5584,1
11,2.78,0.0909,0.0345,0.05,0.5584,1
15,3.8,0.0667,0.0345,0.0455,0.5584,1
19,4.81,0.0526,0.0345,0.0417,0.5584,1
23,5.82,0.0435,0.0345,0.0385,0.5584,1
27,6.84,0.0741,0.069,0.0714,0.5584,2
31,7.85,0.0645,0.069,0.0667,0.5584,2
35,8.86,0.0857,0.1034,0.0938,0.5584,3
39,9.87,0.1026,0.1379,0.1176,0.5584,4
59,14.94,0.1017,0.2069,0.1364,0.5584,6
79,20.0,0.0886,0.2414,0.1296,0.5584,7
98,24.81,0.0918,0.3103,0.1417,0.5584,9
118,29.87,0.0932,0.3793,0.1497,0.5584,11
138,34.94,0.087,0.4138,0.1437,0.5584,12
158,40.0,0.1013,0.5517,0.1711,0.5584,16
177,44.81,0.0904,0.5517,0.1553,0.5584,16
197,49.87,0.0863,0.5862,0.1504,0.5584,17
237,60.0,0.0802,0.6552,0.1429,0.5584,19
276,69.87,0.0761,0.7241,0.1377,0.5584,21
316,80.0,0.0823,0.8966,0.1507,0.5584,26
355,89.87,0.0761,0.931,0.1406,0.5584,27
395,100.0,0.0734,1.0,0.1368,0.5584,29
