Top_K,Percentage(%),Precision,Recall,F1-Score,AUC,Anomaly_Count_In_TopK
15,0.94,0.0,0.0,0.0,0.5091,0
31,1.94,0.0323,0.0149,0.0204,0.5091,1
47,2.94,0.0426,0.0299,0.0351,0.5091,2
63,3.94,0.0317,0.0299,0.0308,0.5091,2
79,4.94,0.0253,0.0299,0.0274,0.5091,2
95,5.94,0.0211,0.0299,0.0247,0.5091,2
111,6.94,0.018,0.0299,0.0225,0.5091,2
127,7.94,0.0236,0.0448,0.0309,0.5091,3
143,8.94,0.021,0.0448,0.0286,0.5091,3
159,9.94,0.0252,0.0597,0.0354,0.5091,4
239,14.95,0.0377,0.1343,0.0588,0.5091,9
319,19.95,0.0439,0.209,0.0725,0.5091,14
399,24.95,0.0401,0.2388,0.0687,0.5091,16
479,29.96,0.0459,0.3284,0.0806,0.5091,22
559,34.96,0.0483,0.403,0.0863,0.5091,27
639,39.96,0.0485,0.4627,0.0878,0.5091,31
719,44.97,0.0445,0.4776,0.0814,0.5091,32
799,49.97,0.0451,0.5373,0.0831,0.5091,36
959,59.97,0.0448,0.6418,0.0838,0.5091,43
1119,69.98,0.0447,0.7463,0.0843,0.5091,50
1279,79.99,0.0422,0.806,0.0802,0.5091,54
1439,89.99,0.0403,0.8657,0.077,0.5091,58
1599,100.0,0.0419,1.0,0.0804,0.5091,67
