Top_K,Percentage(%),Precision,Recall,F1-Score,AUC,Anomaly_Count_In_TopK
48,0.98,0.1875,0.031,0.0533,0.647,9
97,1.98,0.1959,0.0655,0.0982,0.647,19
146,2.98,0.2055,0.1034,0.1376,0.647,30
195,3.98,0.2154,0.1448,0.1732,0.647,42
244,4.98,0.2131,0.1793,0.1948,0.647,52
293,5.98,0.2048,0.2069,0.2058,0.647,60
342,6.98,0.1871,0.2207,0.2025,0.647,64
391,7.98,0.1739,0.2345,0.1997,0.647,68
440,8.98,0.1591,0.2414,0.1918,0.647,70
489,9.98,0.1636,0.2759,0.2054,0.647,80
734,14.99,0.1485,0.3759,0.2129,0.647,109
979,19.99,0.1246,0.4207,0.1923,0.647,122
1224,24.99,0.1119,0.4724,0.181,0.647,137
1469,29.99,0.1035,0.5241,0.1728,0.647,152
1714,34.99,0.0951,0.5621,0.1627,0.647,163
1959,40.0,0.0898,0.6069,0.1565,0.647,176
2204,45.0,0.0817,0.6207,0.1443,0.647,180
2449,50.0,0.0792,0.669,0.1417,0.647,194
2938,59.98,0.0722,0.731,0.1314,0.647,212
3428,69.99,0.0671,0.7931,0.1237,0.647,230
3918,79.99,0.0636,0.8586,0.1183,0.647,249
4408,90.0,0.061,0.9276,0.1145,0.647,269
4898,100.0,0.0592,1.0,0.1118,0.647,290
