Original_Index,Anomaly_Score,Detection_Result,True_Label,Split
0,0.00017616702825762331,1,0,unlabeled
1,0.00024427284370176494,1,0,unlabeled
2,0.00044432951835915446,1,0,unlabeled
3,0.0007041123462840915,1,0,val
4,0.00021838382235728204,1,0,unlabeled
5,0.0011617672862485051,1,0,unlabeled
6,0.00013974115427117795,1,0,unlabeled
7,0.0006952742114663124,1,0,unlabeled
8,0.001133351936005056,1,0,unlabeled
9,0.0004938786732964218,1,0,unlabeled
10,0.0004510267754085362,1,0,train
11,0.00015708552382420748,1,0,unlabeled
12,0.0005996450199745595,1,0,unlabeled
13,0.0015821070410311222,1,0,unlabeled
14,0.00021114901755936444,1,0,unlabeled
15,0.0012963840272277594,1,0,unlabeled
16,0.0011984958546236157,1,0,unlabeled
17,0.00036766877747140825,1,0,unlabeled
18,0.00046214082976803184,1,0,unlabeled
19,0.00015647246618755162,1,0,unlabeled
20,0.0006663294625468552,1,0,unlabeled
21,0.0008717638556845486,1,0,unlabeled
22,2.1345644199755043e-05,0,0,unlabeled
23,0.0004637621168512851,1,0,train
24,0.0004120049416087568,1,0,unlabeled
25,0.00041392093407921493,1,0,unlabeled
26,0.00017043911793734878,1,0,unlabeled
27,0.00044274065294303,1,0,unlabeled
28,0.00037985306698828936,1,0,unlabeled
29,0.0005896849324926734,1,0,unlabeled
30,0.00025067670503631234,1,0,train
31,0.0009589457185938954,1,0,val
32,0.0006037059356458485,1,0,unlabeled
33,1.806604632292874e-05,0,0,unlabeled
34,0.00015159122995100915,1,0,unlabeled
35,0.0001254555390914902,1,0,unlabeled
36,0.001408155425451696,1,0,unlabeled
37,0.0007763895555399358,1,0,unlabeled
38,0.0007033980800770223,1,0,unlabeled
39,0.0010060176718980074,1,0,val
40,0.0005273515125736594,1,0,unlabeled
41,0.00016149066505022347,1,0,unlabeled
42,0.000500560097862035,1,0,unlabeled
43,0.0002791984297800809,1,0,unlabeled
44,0.0004440009652171284,1,0,train
45,0.0004010566044598818,1,0,unlabeled
46,5.761037391494028e-05,1,0,unlabeled
47,0.0017217868007719517,1,0,unlabeled
48,0.0003101361799053848,1,0,unlabeled
49,0.0007648359169252217,1,0,train
50,0.00021177547750994563,1,0,unlabeled
51,0.0006186626851558685,1,0,train
52,0.0003639080678112805,1,0,unlabeled
53,0.0005909917526878417,1,0,unlabeled
54,0.0007719226414337754,1,0,train
55,0.0001674070517765358,1,0,unlabeled
56,0.0008249297388829291,1,0,train
57,0.0009284644620493054,1,0,unlabeled
58,0.00016231132030952722,1,0,train
59,8.54715981404297e-05,1,0,val
60,0.0002565672330092639,1,0,unlabeled
61,0.00019218279339838773,1,0,unlabeled
62,0.0002730936976149678,1,0,unlabeled
63,0.00019494208390824497,1,0,train
64,0.00014669682423118502,1,0,unlabeled
65,0.0006630486459471285,1,0,unlabeled
66,0.0008724095532670617,1,0,val
67,0.0003656637272797525,1,0,train
68,0.0015898108249530196,1,0,unlabeled
69,0.0003653170424513519,1,0,unlabeled
70,0.0003219106583856046,1,0,train
71,0.0005907154991291463,1,0,unlabeled
