Top_K,Percentage(%),Precision,Recall,F1-Score,AUC,Anomaly_Count_In_TopK
1,0.99,1.0,0.0588,0.1111,0.7416,1
2,1.98,0.5,0.0588,0.1053,0.7416,1
3,2.97,0.3333,0.0588,0.1,0.7416,1
4,3.96,0.5,0.1176,0.1905,0.7416,2
5,4.95,0.6,0.1765,0.2727,0.7416,3
6,5.94,0.6667,0.2353,0.3478,0.7416,4
7,6.93,0.7143,0.2941,0.4167,0.7416,5
8,7.92,0.625,0.2941,0.4,0.7416,5
9,8.91,0.5556,0.2941,0.3846,0.7416,5
10,9.9,0.6,0.3529,0.4444,0.7416,6
15,14.85,0.5333,0.4706,0.5,0.7416,8
20,19.8,0.5,0.5882,0.5405,0.7416,10
25,24.75,0.4,0.5882,0.4762,0.7416,10
30,29.7,0.3667,0.6471,0.4681,0.7416,11
35,34.65,0.3143,0.6471,0.4231,0.7416,11
40,39.6,0.275,0.6471,0.386,0.7416,11
45,44.55,0.2444,0.6471,0.3548,0.7416,11
50,49.5,0.22,0.6471,0.3284,0.7416,11
60,59.41,0.2333,0.8235,0.3636,0.7416,14
70,69.31,0.2143,0.8824,0.3448,0.7416,15
80,79.21,0.1875,0.8824,0.3093,0.7416,15
90,89.11,0.1889,1.0,0.3178,0.7416,17
101,100.0,0.1683,1.0,0.2881,0.7416,17
