Original_Index,Anomaly_Score,Detection_Result,True_Label
0,-42.010498,0,1
1,-48.79082,0,0
2,-24.901533,1,0
3,-35.000877,0,0
4,-41.723003,0,1
5,-18.717236,1,1
6,-45.12703,0,0
7,-47.418343,0,0
8,-42.662586,0,0
9,-41.818413,0,0
10,-36.055805,0,1
11,-45.021072,0,0
12,-42.00417,0,0
13,-30.373423,0,0
14,-38.03847,0,0
15,-47.525593,0,0
16,-37.5369,0,0
17,-44.20704,0,0
18,-43.16367,0,0
19,-37.843002,0,0
20,-44.55743,0,0
21,-39.566494,0,0
22,-48.351032,0,0
23,-48.23586,0,0
24,-43.294857,0,0
25,-29.089264,0,0
26,-26.498867,1,1
27,-40.682087,0,0
28,-35.37918,0,0
29,-25.610832,1,0
30,-35.506245,0,0
31,-48.52108,0,0
32,-47.16797,0,0
33,-45.076057,0,0
34,-43.389633,0,1
35,-46.36551,0,0
36,-39.89906,0,0
37,-41.658077,0,0
38,-42.230114,0,0
39,-27.660465,1,0
40,-46.48277,0,0
41,-47.795437,0,0
42,-37.7804,0,0
43,-29.66269,0,0
44,-42.91697,0,0
45,-38.965954,0,1
46,-42.50588,0,1
47,-48.85768,0,0
48,-47.239697,0,0
49,-40.321945,0,0
50,-41.56692,0,0
51,-48.88201,0,0
52,-43.732464,0,0
53,-25.527424,1,0
54,-45.951443,0,0
55,-41.49569,0,0
56,-43.97225,0,0
57,-47.3609,0,0
58,-42.182064,0,0
59,-40.32517,0,0
60,-23.403648,1,1
61,-47.74942,0,1
62,-45.140034,0,0
63,-36.428425,0,0
64,-35.332947,0,0
65,-50.59721,0,0
66,-45.927086,0,0
67,-40.49185,0,0
68,-39.567753,0,0
69,-40.925545,0,0
70,-44.56888,0,0
71,-44.48872,0,0
72,-41.52919,0,0
73,-39.136997,0,0
74,-42.29173,0,0
75,-30.404184,0,0
76,-3.9439476,1,1
77,-40.438896,0,0
78,-38.0779,0,0
79,-44.859764,0,0
80,-44.256523,0,0
81,-34.712437,0,0
82,-45.096115,0,0
83,-24.776175,1,1
84,-34.77315,0,0
85,-1.9291929,1,1
86,-21.448679,1,0
87,-28.726788,0,1
88,-5.190232,1,1
89,-20.324898,1,1
90,-41.712395,0,0
91,-42.138702,0,1
92,-44.460144,0,0
93,-40.830868,0,1
94,-32.11665,0,0
95,-34.761703,0,0
96,-33.064335,0,0
97,-42.30559,0,0
98,-38.785255,0,0
99,-41.720142,0,0
100,-37.520985,0,1
101,-27.515377,1,0
102,-21.88804,1,0
103,-34.208458,0,0
104,-44.646408,0,0
105,-34.685776,0,1
106,-31.14499,0,0
107,-47.667793,0,0
108,-9.547399,1,0
109,-42.19993,0,0
110,-43.30493,0,0
111,-42.96888,0,0
112,-45.09311,0,0
113,-28.669106,0,0
114,-44.693516,0,0
115,-47.416836,0,0
116,-34.86974,0,0
117,-39.13376,0,0
118,-38.802914,0,0
119,-46.67828,0,0
120,-44.197266,0,0
121,-45.867165,0,0
122,-35.28717,0,0
123,-42.98177,0,0
124,-46.38747,0,0
125,-42.429214,0,0
126,-36.528538,0,0
127,-38.760387,0,0
128,-48.259335,0,0
129,-30.258677,0,0
130,-39.150425,0,0
131,-47.812508,0,0
132,-48.647675,0,0
133,-27.332563,1,0
134,-46.004875,0,0
135,-39.514343,0,0
136,-38.747643,0,0
137,-38.460247,0,0
138,-37.373837,0,0
139,-45.331173,0,0
140,-40.334805,0,0
141,-13.792152,1,1
142,-43.33621,0,0
143,-41.62521,0,0
144,-42.864418,0,0
145,-41.160206,0,0
146,-28.574183,0,0
147,-40.933205,0,0
148,-49.336853,0,0
149,-41.75669,0,0
150,-44.618965,0,0
151,-42.973297,0,0
152,-44.13358,0,0
153,-44.394936,0,0
154,-44.01524,0,0
155,-46.225388,0,0
156,-47.0351,0,0
157,-38.619873,0,0
158,-29.253393,0,0
159,-45.304886,0,0
160,-40.0388,0,0
161,-45.51957,0,0
162,-33.77339,0,0
163,-41.77698,0,0
164,-44.361248,0,0
165,-46.877754,0,0
166,-39.775654,0,0
167,-37.178238,0,0
168,-47.10547,0,1
169,-35.25665,0,1
170,-43.564342,0,0
171,-37.049767,0,0
172,-42.06088,0,0
173,-32.483974,0,0
174,-35.953968,0,1
175,-45.659954,0,0
176,-45.681755,0,0
177,-47.007324,0,0
178,-31.030891,0,0
179,-42.695522,0,0
180,-43.376453,0,0
181,-40.135273,0,0
182,-33.272243,0,0
183,-37.56485,0,1
184,-29.681452,0,0
185,-26.784355,1,1
186,-45.403503,0,0
187,-23.020216,1,0
188,-33.59589,0,1
189,-19.5794,1,1
190,-32.392994,0,0
191,-45.499615,0,0
192,-34.02161,0,0
193,-37.025284,0,0
194,-40.44151,0,0
195,-47.488056,0,0
196,-38.215187,0,0
197,-39.05898,0,0
198,-9.5802765,1,0
199,-33.00018,0,0
200,-43.939,0,0
201,-47.338085,0,0
202,-29.462639,0,0
203,-48.385445,0,0
204,-13.485082,1,1
205,-41.562576,0,0
206,-45.81515,0,0
207,-12.004074,1,1
208,-33.54348,0,0
209,-37.175472,0,0
210,-20.215078,1,0
211,-31.393244,0,0
212,-38.393494,0,0
213,-18.471275,1,0
214,-37.437428,0,1
215,-48.48552,0,0
216,-42.46739,0,0
217,-30.17975,0,1
218,-12.106221,1,1
219,-35.959454,0,0
220,-46.262627,0,0
221,-42.821663,0,0
222,-35.18577,0,0
223,-40.764317,0,0
224,-44.08373,0,0
225,-34.250984,0,1
226,-45.785213,0,0
227,-41.613953,0,0
228,-44.477104,0,0
229,-29.301443,0,0
230,-45.93097,0,0
231,-27.0061,1,1
232,-40.876247,0,0
233,-36.740894,0,0
234,-24.606298,1,0
235,-35.25958,0,0
236,-42.90922,0,0
237,-33.736633,0,0
238,-45.25576,0,0
239,-37.270847,0,0
240,-47.589607,0,0
241,-37.16957,0,0
242,-32.335392,0,0
243,-35.584248,0,1
244,-47.62726,0,0
245,-39.996384,0,0
246,-30.227448,0,0
247,-46.567245,0,0
248,-35.404686,0,1
249,-43.608295,0,0
250,-37.10618,0,0
251,-33.280373,0,1
252,-22.665426,1,1
253,-21.686796,1,1
254,-33.098885,0,0
255,-45.898457,0,0
256,-30.096048,0,0
257,-24.720037,1,1
258,-43.938038,0,1
259,-42.38442,0,0
260,-37.957504,0,0
261,-44.249825,0,0
262,-41.756855,0,0
263,-48.39732,0,0
264,-47.57768,0,0
265,-47.39626,0,0
266,-44.323063,0,0
267,-36.838703,0,0
268,-43.0422,0,0
269,-44.211014,0,0
270,-46.230556,0,0
271,-36.943604,0,0
272,-43.892235,0,0
273,-48.915714,0,0
274,-47.368942,0,0
275,-45.84733,0,0
276,-32.27287,0,0
277,-43.60069,0,0
278,-45.806637,0,0
279,-43.19904,0,0
280,-38.090786,0,0
281,-31.906693,0,0
282,-50.505566,0,0
283,-47.16732,0,0
284,-36.240223,0,0
285,-30.794361,0,1
286,-46.206272,0,0
287,-48.2121,0,0
288,-41.772568,0,0
289,-44.75356,0,0
290,-40.14958,0,0
291,-15.874934,1,0
292,-38.37186,0,0
293,-22.841515,1,0
294,-38.873207,0,0
295,-25.756855,1,0
296,-22.061665,1,0
297,-9.534517,1,0
298,-34.675705,0,0
299,-31.9265,0,0
300,-21.3953,1,1
301,-42.224743,0,0
302,-43.35395,0,0
303,-23.231989,1,1
304,-40.91822,0,0
305,-36.18086,0,0
306,-35.449314,0,0
307,-38.112625,0,0
308,-25.010088,1,0
309,-44.16705,0,1
310,-39.063366,0,0
311,-37.846622,0,0
312,-26.128952,1,0
313,-23.648447,1,0
314,-49.05382,0,0
315,-38.264244,0,0
316,-13.439986,1,1
317,-47.705727,0,0
318,-34.701397,0,0
319,-33.182056,0,0
320,-27.42138,1,1
321,-34.63125,0,0
322,-35.16499,0,0
323,-18.727139,1,0
324,-32.00267,0,0
325,-49.141926,0,0
326,-42.646652,0,0
327,-23.042572,1,1
328,-37.463375,0,0
329,-37.646626,0,0
330,-36.474476,0,0
331,-35.6003,0,0
332,-30.439457,0,0
333,-39.394154,0,0
334,-27.737514,0,0
335,-41.088455,0,0
336,-32.02463,0,0
337,-42.695522,0,0
338,-41.125244,0,0
339,-36.915894,0,0
340,-39.423203,0,0
341,-44.340282,0,0
342,-46.408424,0,0
343,-47.239906,0,0
344,-38.829803,0,0
345,-41.36584,0,0
346,-39.44287,0,0
347,-38.703907,0,0
348,-30.248709,0,1
349,-46.44308,0,0
350,-33.93413,0,0
351,-41.663837,0,0
352,-33.85527,0,0
353,-32.08335,0,0
354,-2.5317488,1,0
355,-39.236286,0,0
356,-22.800709,1,1
357,-43.157795,0,0
358,-37.30144,0,0
359,-26.78181,1,0
360,-37.660374,0,0
361,-27.507353,1,1
362,-40.141174,0,0
363,-39.61681,0,0
364,-49.000008,0,0
365,-32.346504,0,0
366,-23.03191,1,0
367,-25.646126,1,0
368,-23.128202,1,0
369,-42.278027,0,0
370,-17.101,1,1
371,-44.208103,0,0
372,-42.277714,0,0
373,-38.193756,0,0
374,-33.53353,0,1
375,-46.178543,0,0
376,-31.190384,0,1
377,-45.6627,0,0
378,-47.127747,0,0
379,-12.287634,1,0
380,-34.970257,0,0
381,-23.668915,1,1
382,-44.76721,0,0
383,-38.452618,0,0
384,-35.223835,0,0
385,-36.169624,0,0
386,-34.497906,0,0
387,-40.754414,0,1
388,1.2824341,1,1
389,-28.29678,0,0
390,-49.028202,0,0
391,-34.100822,0,0
392,-42.297844,0,0
393,-26.99098,1,0
394,-42.589607,0,0
395,-15.525169,1,1
396,-39.381535,0,0
397,-33.283222,0,0
398,-22.171757,1,1
399,-48.656578,0,0
400,-44.233078,0,0
401,-23.01565,1,1
402,-41.03427,0,0
403,1.5526276,1,1
404,-38.07061,0,0
405,-40.767254,0,0
406,-43.384506,0,0
407,-30.85421,0,0
408,-37.387264,0,0
409,-41.252197,0,0
410,-27.266266,1,1
411,-42.32451,0,0
412,-26.660679,1,0
413,-35.674706,0,0
414,-40.935833,0,0
415,-38.618626,0,0
416,-36.209656,0,0
417,-30.782677,0,0
418,-44.965702,0,0
419,-40.656723,0,0
420,-36.56138,0,1
421,-44.199715,0,0
422,-38.46576,0,0
423,-46.200676,0,0
424,-6.4742393,1,1
425,-44.297424,0,0
426,-43.06598,0,0
427,-25.534601,1,0
428,-45.748512,0,0
429,-34.31529,0,0
430,-9.583357,1,0
431,-48.892006,0,0
432,-32.41292,0,0
433,-24.44718,1,1
434,-37.379,0,0
435,-48.026928,0,0
436,-38.885315,0,0
437,-43.67563,0,0
438,-44.14945,0,0
439,-41.038734,0,0
440,-38.24709,0,0
441,-40.25388,0,0
442,-40.4761,0,0
443,-43.85422,0,0
444,-43.47216,0,0
445,-42.191914,0,0
446,-44.12639,0,0
447,-38.993023,0,0
448,-28.821424,0,0
449,-1.0454687,1,0
450,-37.40559,0,0
451,-42.80946,0,0
