Original_Index,Anomaly_Score,Detection_Result,True_Label
0,0.4347435,0,0
1,2.816827,1,0
2,1.2385446,0,0
3,1.4931114,0,0
4,-0.7468101,0,0
5,0.09905494,0,0
6,-0.9071687,0,0
7,1.0175436,0,0
8,0.14034434,0,0
9,1.0360624,0,0
10,1.0682956,0,0
11,0.63705903,0,0
12,-0.4673611,0,0
13,0.6366646,0,0
14,-1.1527461,0,0
15,1.1784835,0,0
16,0.48308563,0,0
17,2.50352,1,0
18,0.67641383,0,0
19,-0.13879433,0,0
20,0.22302723,0,0
21,3.0174265,1,0
22,-0.16506784,0,0
23,1.2263938,0,0
24,1.3590403,0,0
25,0.35940087,0,0
26,4.698252,1,0
27,4.450273,1,0
28,-1.08679,0,0
29,0.9100127,0,0
30,0.41275972,0,0
31,0.5760288,0,0
32,3.4259586,1,0
33,0.47608972,0,0
34,0.8216871,0,0
35,1.348008,0,0
36,1.4276505,0,0
37,-0.0587331,0,0
38,1.6214439,0,0
39,0.7370811,0,0
40,0.22875124,0,0
41,0.8858032,0,0
42,-0.22772464,0,0
43,0.45795453,0,0
44,-0.16652584,0,0
45,0.22336152,0,0
46,-0.95923233,0,0
47,1.2842858,0,0
48,1.0039372,0,0
49,-0.45544925,0,0
50,0.69054466,0,0
51,0.5854466,0,0
52,0.025200507,0,0
53,2.6741354,1,0
54,-0.91099983,0,0
55,1.9495445,0,0
56,0.06262846,0,0
57,2.4077525,0,0
58,0.32341048,0,0
59,2.6628685,1,0
60,0.19623381,0,0
61,1.1202238,0,0
62,2.84657,1,0
63,5.892335,1,0
64,0.04376939,0,0
65,0.9324117,0,0
66,1.9153447,0,0
67,-0.66174316,0,0
68,0.48308563,0,0
69,-0.17157398,0,0
70,0.42042676,0,0
71,0.42464873,0,0
72,1.8755094,0,0
73,1.3480655,0,0
74,0.10147171,0,0
75,-1.4029932,0,0
76,0.26928005,0,0
77,0.35130322,0,0
78,-0.55272967,0,0
79,0.7665731,0,0
80,1.0270259,0,0
81,0.30049634,0,0
82,0.43272352,0,0
83,-0.31974792,0,0
84,2.2100956,0,0
85,-0.36486563,0,0
86,2.5351784,1,0
87,5.706738,1,0
88,0.60026133,0,0
89,0.7457186,0,0
90,1.724597,0,0
91,1.0270259,0,0
92,0.73370767,0,0
93,0.4031725,0,0
94,1.9028536,0,0
95,3.313478,1,0
96,-0.62158865,0,0
97,1.5011464,0,0
98,-0.48314497,0,0
99,-0.6884401,0,0
100,-0.6478653,0,0
101,0.81243134,0,0
102,3.21966,1,0
103,1.884429,0,0
104,-1.223378,0,0
105,1.7893741,0,0
106,0.14511368,0,0
107,-0.119404286,0,0
108,-0.2575485,0,0
109,0.977188,0,0
110,0.04856166,0,0
111,0.9082783,0,0
112,-1.4563977,0,0
113,5.1051145,1,0
114,-0.24990553,0,0
115,-0.31283087,0,0
116,0.45725575,0,0
117,0.09810532,0,0
118,1.4756043,0,0
119,-0.63197213,0,0
120,0.7450335,0,0
121,-0.116227865,0,0
122,-0.8496601,0,0
123,-0.815751,0,0
124,2.2136657,0,0
125,2.0843353,0,0
126,-0.81068164,0,0
127,2.5615437,1,0
128,2.018262,0,0
129,3.3474326,1,0
130,2.2511005,0,0
131,-0.37926692,0,0
132,1.4934839,0,0
133,-1.0333362,0,0
134,0.6958452,0,0
135,0.07270297,0,0
136,-0.32580906,0,0
137,2.4965138,1,0
138,2.2351427,0,0
139,1.1155405,0,0
140,1.964973,0,0
141,1.2263938,0,0
142,1.9495445,0,0
143,0.45669714,0,0
144,0.63812786,0,0
145,-0.17032191,0,0
146,-0.47792614,0,0
147,0.8479771,0,0
148,1.2819957,0,0
149,-0.22645548,0,0
150,0.6826001,0,0
151,1.3629445,0,0
152,3.36405,1,0
153,0.38771662,0,0
154,1.8548349,0,0
155,0.67902625,0,0
156,0.5236419,0,0
157,1.0883512,0,0
158,1.2424597,0,0
159,2.8322873,1,0
160,1.1494323,0,0
161,2.511944,1,0
162,-0.40612772,0,0
163,0.043565698,0,0
164,1.3061143,0,0
165,6.9367714,1,0
166,0.7164397,0,0
167,0.15223864,0,0
168,2.6643813,1,0
169,0.10542223,0,0
170,3.0684311,1,0
171,1.6293101,0,0
172,4.4141726,1,0
173,2.3026738,0,0
174,0.60760295,0,0
175,-0.6187963,0,0
176,2.6024418,1,0
177,0.14529568,0,0
178,0.74229676,0,0
179,-0.7893314,0,0
180,2.2533486,0,0
181,1.3579885,0,0
182,3.1592665,1,0
183,1.117688,0,0
184,2.6103606,1,0
185,0.15788062,0,0
186,2.6383784,1,0
187,-0.8092219,0,0
188,0.2699981,0,0
189,1.4307272,0,0
190,-0.6997579,0,0
191,1.0200766,0,0
192,1.4877441,0,0
193,1.21627,0,0
194,1.9994607,0,0
195,-0.254933,0,0
196,2.298666,0,0
197,1.3114276,0,0
198,0.6937473,0,0
199,0.72409755,0,0
200,1.6365672,0,0
201,1.9315666,0,0
202,0.29507604,0,0
203,1.6126324,0,0
204,0.14511368,0,0
205,3.47164,1,0
206,-0.4584906,0,0
207,3.0443058,1,0
208,-0.659903,0,0
209,0.37504542,0,0
210,0.6229934,0,0
211,-1.0608808,0,0
212,-1.0838159,0,0
213,0.59905124,0,0
214,0.7370811,0,0
215,-0.22268575,0,0
216,0.6430823,0,0
217,-0.14770009,0,0
218,3.9895935,1,1
219,1.3517417,0,0
220,1.5606347,0,0
221,0.23545304,0,0
222,0.12266938,0,0
223,4.8016815,1,0
224,0.59575343,0,1
225,-0.4044384,0,0
226,0.06705216,0,0
227,1.9302635,0,0
228,1.1871225,0,0
229,-1.3395876,0,0
230,0.5108113,0,1
231,0.66767323,0,0
232,-0.06325318,0,0
233,0.66281873,0,0
234,0.37027922,0,0
235,0.5532984,0,0
236,0.82261646,0,1
