Original_Index,Anomaly_Score,Detection_Result,True_Label
0,-1.3231496,0,0
1,-5.257559,0,0
2,27.673315,1,1
3,23.83521,1,1
4,56.304737,1,0
5,26.909067,1,1
6,36.742996,1,0
7,47.296642,1,0
8,11.36184,0,0
9,37.1778,1,1
10,2.167391,0,0
11,26.700567,1,1
12,-6.2746253,0,0
13,15.393188,0,0
14,-4.333999,0,0
15,-6.021377,0,0
16,2.4441667,0,0
17,-11.448993,0,0
18,56.10956,1,0
19,24.446524,1,0
20,-4.7410593,0,0
21,45.272686,1,1
22,35.537567,1,1
23,44.5431,1,1
24,36.742996,1,0
25,2.4441667,0,0
26,47.296642,1,0
27,56.10956,1,0
28,36.742996,1,0
29,56.304737,1,0
30,47.296642,1,0
31,47.296642,1,0
32,56.304737,1,0
33,24.446524,1,0
34,36.742996,1,0
35,-3.9971044,0,0
36,10.262428,0,0
37,25.676245,1,1
38,36.688812,1,1
39,28.218525,1,1
40,0.96248245,0,0
41,-0.9636305,0,0
42,9.26397,0,0
43,43.640697,1,1
44,-3.057132,0,0
45,2.055785,0,0
46,47.296642,1,0
47,2.055785,0,0
48,38.34204,1,1
49,56.304737,1,0
50,36.742996,1,0
51,-8.865585,0,0
52,11.36184,0,0
53,47.296642,1,0
54,56.10956,1,0
55,2.5225072,0,0
56,2.3154478,0,0
57,56.10956,1,0
58,56.10956,1,0
59,56.10956,1,0
60,2.450781,0,0
61,56.10956,1,0
62,56.304737,1,0
63,-0.9636305,0,0
64,56.304737,1,0
65,-3.2086463,0,0
66,-3.2122436,0,0
67,12.038396,0,0
68,47.296642,1,0
69,-5.022262,0,0
70,56.304737,1,0
71,56.304737,1,0
72,47.296642,1,0
73,-3.092803,0,0
74,36.742996,1,0
75,36.742996,1,0
76,-0.65412176,0,0
77,-5.5393972,0,0
78,2.055785,0,0
79,36.742996,1,0
80,56.304737,1,0
81,56.10956,1,0
82,47.296642,1,0
83,56.304737,1,0
84,47.296642,1,0
85,36.742996,1,0
86,47.296642,1,0
87,56.304737,1,0
88,24.446524,1,0
89,47.296642,1,0
90,-1.8338755,0,0
91,42.057873,1,0
92,47.296642,1,0
93,36.742996,1,0
94,36.742996,1,0
95,34.69737,1,0
96,-5.1845717,0,0
97,56.304737,1,0
98,56.10956,1,0
99,47.296642,1,0
100,24.446524,1,0
101,47.296642,1,0
102,47.296642,1,0
103,47.296642,1,0
104,24.446524,1,0
105,47.296642,1,0
106,56.304737,1,0
107,47.296642,1,0
108,2.5339909,0,0
109,47.296642,1,0
110,56.304737,1,0
111,47.296642,1,0
112,25.397617,1,0
113,9.262037,0,0
114,0.57547605,0,0
115,12.34605,0,0
116,-1.3231496,0,0
117,47.296642,1,0
118,-4.4161463,0,0
119,47.296642,1,0
120,-1.2685332,0,0
121,-4.470191,0,0
122,-1.6456822,0,0
123,56.304737,1,0
124,40.759377,1,0
125,56.10956,1,0
126,56.10956,1,0
127,36.742996,1,0
128,26.198624,1,0
129,2.5339909,0,0
130,47.296642,1,0
131,24.446524,1,0
132,36.742996,1,0
133,-3.1105092,0,0
134,56.10956,1,0
135,56.304737,1,0
136,47.296642,1,0
137,36.742996,1,0
138,47.296642,1,0
139,2.5225072,0,0
140,56.304737,1,0
141,47.296642,1,0
142,2.450781,0,0
143,30.492718,1,0
144,12.365287,0,0
145,-7.201281,0,0
146,47.296642,1,0
147,47.296642,1,0
148,47.296642,1,0
149,47.296642,1,0
150,-4.3180094,0,0
151,2.4441667,0,0
152,56.304737,1,0
153,56.304737,1,0
154,56.304737,1,0
155,33.54029,1,0
156,-5.4375067,0,0
157,31.660162,1,0
158,-1.6456822,0,0
159,36.742996,1,0
160,47.296642,1,0
161,-3.906755,0,0
162,56.304737,1,0
163,26.246746,1,1
164,26.931934,1,1
165,24.446524,1,0
166,42.057873,1,0
167,56.304737,1,0
168,47.296642,1,0
169,56.304737,1,0
170,47.296642,1,0
171,56.304737,1,0
172,56.304737,1,0
173,56.304737,1,0
174,-1.2319676,0,0
175,-3.9971044,0,0
176,9.151321,0,0
177,47.296642,1,0
178,31.67043,1,0
179,56.304737,1,0
180,2.5225072,0,0
181,-2.9589946,0,0
182,3.909021,0,0
183,47.296642,1,0
184,56.304737,1,0
185,15.393188,0,0
186,15.393188,0,0
187,-2.740044,0,0
188,15.393188,0,0
189,56.10956,1,0
190,42.057873,1,0
191,56.10956,1,0
192,56.304737,1,0
193,56.304737,1,0
194,56.304737,1,0
195,-2.639841,0,0
196,11.472434,0,0
197,56.304737,1,0
198,36.742996,1,0
199,56.304737,1,0
200,56.304737,1,0
201,6.4900236,0,0
202,11.472434,0,0
203,56.304737,1,0
204,-2.5964558,0,0
205,56.304737,1,0
206,56.10956,1,0
207,56.304737,1,0
208,15.393188,0,0
209,56.10956,1,0
210,36.742996,1,0
211,56.10956,1,0
212,56.10956,1,0
213,15.393188,0,0
214,56.10956,1,0
215,-2.338237,0,0
216,-9.536778,0,0
217,2.7242894,0,0
218,56.304737,1,0
219,56.10956,1,0
220,56.304737,1,0
221,0.70923406,0,0
222,56.10956,1,0
223,56.304737,1,0
224,2.450781,0,0
225,24.446524,1,0
226,23.92178,1,0
227,56.304737,1,0
228,-1.2685332,0,0
229,-2.1396327,0,0
230,1.0626857,0,0
231,8.804384,0,0
232,11.36184,0,0
233,56.10956,1,0
234,-1.4015096,0,0
235,56.304737,1,0
236,56.304737,1,0
237,-4.9150863,0,0
238,1.5637957,0,0
239,42.057873,1,0
240,5.927124,0,0
241,25.919514,1,0
242,56.10956,1,0
243,-2.7556844,0,0
244,42.057873,1,0
245,-1.935066,0,0
246,1.4537638,0,0
247,-5.257559,0,0
248,2.7597296,0,0
249,56.304737,1,0
250,56.304737,1,0
251,42.057873,1,0
252,56.304737,1,0
253,5.927124,0,0
254,42.057873,1,0
255,5.927124,0,0
256,-2.838181,0,0
257,42.057873,1,0
258,11.36184,0,0
259,9.151321,0,0
260,-9.582903,0,0
261,9.151321,0,0
262,56.10956,1,0
263,56.10956,1,0
264,28.961267,1,1
