Top_K,Percentage(%),Precision,Recall,F1-Score,AUC,Anomaly_Count_In_TopK
17,0.98,0.2941,0.0373,0.0662,0.5331,5
34,1.97,0.2647,0.0672,0.1071,0.5331,9
51,2.95,0.2157,0.0821,0.1189,0.5331,11
69,3.99,0.2174,0.1119,0.1478,0.5331,15
86,4.98,0.1744,0.1119,0.1364,0.5331,15
103,5.96,0.1456,0.1119,0.1266,0.5331,15
120,6.94,0.125,0.1119,0.1181,0.5331,15
138,7.99,0.1377,0.1418,0.1397,0.5331,19
155,8.97,0.1484,0.1716,0.1592,0.5331,23
172,9.95,0.1512,0.194,0.1699,0.5331,26
259,14.99,0.1197,0.2313,0.1578,0.5331,31
345,19.97,0.1043,0.2687,0.1503,0.5331,36
432,25.0,0.0833,0.2687,0.1272,0.5331,36
518,29.98,0.0811,0.3134,0.1288,0.5331,42
604,34.95,0.0745,0.3358,0.122,0.5331,45
691,39.99,0.0695,0.3582,0.1164,0.5331,48
777,44.97,0.0656,0.3806,0.112,0.5331,51
864,50.0,0.059,0.3806,0.1022,0.5331,51
1036,59.95,0.0492,0.3806,0.0872,0.5331,51
1209,69.97,0.0695,0.6269,0.1251,0.5331,84
1382,79.98,0.0666,0.6866,0.1214,0.5331,92
1555,89.99,0.0778,0.903,0.1433,0.5331,121
1728,100.0,0.0775,1.0,0.1439,0.5331,134
