Original_Index,Anomaly_Score,Detection_Result,True_Label
0,-7.7681556,0,0
1,-7.425387,0,0
2,-7.073841,0,0
3,-6.9790087,0,0
4,-7.558968,0,0
5,-6.589752,0,0
6,-6.7698216,0,0
7,-7.322197,0,0
8,-7.0867014,0,0
9,-7.313419,0,0
10,-6.970651,0,0
11,-6.8758183,0,0
12,-6.297555,0,0
13,-5.5955663,0,0
14,-5.954787,0,0
15,-7.113011,0,0
16,-6.8775144,0,0
17,-6.761465,0,0
18,-6.6666317,0,0
19,-6.0883684,0,0
20,-5.3863797,0,0
21,-5.7456007,0,0
22,-7.0478177,0,0
23,-6.469554,0,0
24,-5.7675653,0,0
25,-6.6962724,0,0
26,-6.3535047,0,0
27,-6.2586718,0,0
28,-6.838632,0,0
29,-6.260368,0,0
30,-5.5583787,0,0
31,-6.049485,0,0
32,-6.53404,0,0
33,-5.9557767,0,0
34,-6.1824946,0,0
35,-5.8397264,0,0
36,-5.1377378,0,0
37,-5.7448936,0,0
38,-5.7465897,0,0
39,-5.535707,0,0
40,-6.2656865,0,0
41,-6.6347637,0,0
42,-6.0565,0,0
43,-5.665548,0,0
44,-5.2384615,0,0
45,-5.751909,0,0
46,-6.1209855,0,0
47,-5.4189973,0,0
48,-5.542722,0,0
49,-6.061102,0,0
50,-5.6485395,0,0
51,-5.7095566,0,0
52,-6.0176167,0,0
53,-5.4393535,0,0
54,-5.666072,0,0
55,-5.5473237,0,0
56,-5.503839,0,0
57,-5.338137,0,0
58,-7.5405974,0,0
59,-7.36117,0,0
60,-7.1978307,0,0
61,-6.8462844,0,0
62,-6.6668563,0,0
63,-7.331411,0,0
64,-7.1519823,0,0
65,-6.988644,0,0
66,-6.1827674,0,0
67,-6.637098,0,0
68,-6.4576697,0,0
69,-6.7105823,0,0
70,-7.257979,0,0
71,-6.679716,0,0
72,-6.336949,0,0
73,-5.4874935,0,0
74,-6.5636663,0,0
75,-7.048793,0,0
76,-6.7060266,0,0
77,-6.47053,0,0
78,-6.35448,0,0
79,-6.165938,0,0
80,-5.724538,0,0
81,-5.956752,0,0
82,-5.515352,0,0
83,-6.8202605,0,0
84,-6.062569,0,0
85,-5.5400085,0,0
86,-6.1259475,0,0
87,-5.9465194,0,0
88,-6.611074,0,0
89,-5.853383,0,0
90,-5.7373333,0,0
91,-5.821928,0,0
92,-5.4703827,0,0
93,-6.306483,0,0
94,-5.548791,0,0
95,-5.954938,0,0
96,-5.4327416,0,0
97,-5.5173364,0,0
98,-6.097296,0,0
99,-6.085894,0,0
100,-5.5592165,0,0
101,-6.325472,0,0
102,-5.982704,0,0
103,-5.7987943,0,0
104,-5.773518,0,0
105,-5.7083254,0,0
106,-5.006336,0,0
107,-5.365557,0,0
108,-5.1816473,0,0
109,-5.1945477,0,0
110,-5.6491504,0,0
111,-5.4697223,0,0
112,-5.9184866,0,0
113,-5.366533,0,0
114,-5.3013406,0,0
115,-7.7627425,0,0
116,-7.5833144,0,0
117,-6.73386,0,0
118,-7.240547,0,0
119,-6.5705204,0,0
120,-6.3910923,0,0
121,-7.2317686,0,0
122,-7.0684295,0,0
123,-6.889002,0,0
124,-7.141915,0,0
125,-6.9735966,0,0
126,-6.2792835,0,0
127,-7.553556,0,0
128,-7.3741274,0,0
129,-6.3217106,0,0
130,-6.5246735,0,0
131,-5.6273975,0,0
132,-6.932728,0,0
133,-6.76441,0,0
134,-7.081289,0,0
135,-6.901861,0,0
136,-6.2318344,0,0
137,-6.0524063,0,0
138,-7.3080072,0,0
139,-6.9652395,0,0
140,-6.785811,0,0
141,-6.0277543,0,0
142,-6.2921433,0,0
143,-6.1127152,0,0
144,-5.5901537,0,0
145,-6.5188613,0,0
146,-5.4184017,0,0
147,-6.8721023,0,0
148,-5.8185678,0,0
149,-6.0829563,0,0
150,-6.3096743,0,0
151,-6.5675116,0,0
152,-6.388083,0,0
153,-6.794229,0,0
154,-6.614801,0,0
155,-6.4514613,0,0
156,-6.2720337,0,0
157,-5.513976,0,0
158,-5.7783647,0,0
159,-6.0050826,0,0
160,-5.303094,0,0
161,-6.3583245,0,0
162,-6.4641423,0,0
163,-6.2847147,0,0
164,-5.7621536,0,0
165,-5.5827255,0,0
166,-6.6908603,0,0
167,-6.3480926,0,0
168,-6.168664,0,0
169,-5.901714,0,0
170,-6.254956,0,0
171,-5.552967,0,0
172,-5.692528,0,0
173,-5.9503646,0,0
174,-5.7709365,0,0
175,-6.1770825,0,0
176,-5.8343153,0,0
177,-5.654887,0,0
178,-5.387936,0,0
179,-5.741178,0,0
180,-6.316343,0,0
181,-6.2602744,0,0
182,-6.486993,0,0
183,-5.7066245,0,0
184,-5.3550787,0,0
185,-6.051088,0,0
186,-6.2778063,0,0
187,-5.9350386,0,0
188,-5.746497,0,0
189,-5.9732146,0,0
190,-5.5373106,0,0
191,-5.5334945,0,0
192,-5.6431284,0,0
193,-5.4774265,0,0
