Original_Index,Anomaly_Score,Detection_Result,True_Label
0,13.567583,1,1
1,11.585296,1,1
2,11.220153,1,1
3,11.220153,1,1
4,13.567583,1,1
5,13.567583,1,1
6,11.585296,1,1
7,13.567583,1,1
8,13.567583,1,1
9,11.508306,1,1
10,11.508306,1,1
11,10.991878,0,1
12,13.567583,1,1
13,11.125233,0,1
14,11.6422,1,1
15,13.567583,1,1
16,11.6422,1,1
17,13.567583,1,1
18,11.585296,1,1
19,13.567583,1,1
20,8.39472,0,0
21,10.423052,0,0
22,8.39472,0,0
23,9.185384,0,0
24,7.8787804,0,0
25,12.786732,1,0
26,11.155875,0,0
27,11.731442,1,0
28,8.653871,0,0
29,12.786732,1,0
30,10.100626,0,0
31,10.423052,0,0
32,9.280925,0,0
33,6.148652,0,0
34,10.6214695,0,0
35,8.653871,0,0
36,10.6214695,0,0
37,9.496544,0,0
38,8.892689,0,0
39,12.786732,1,0
40,11.155875,0,0
41,7.3586693,0,0
42,9.45389,0,0
43,9.45389,0,0
44,10.423052,0,0
45,8.653871,0,0
46,7.5541925,0,0
47,9.544544,0,0
48,10.423052,0,0
49,9.496544,0,0
50,9.185384,0,0
51,9.619223,0,0
52,12.786732,1,0
53,10.506332,0,0
54,10.6214695,0,0
55,8.782081,0,0
56,8.39472,0,0
57,8.892689,0,0
58,10.6214695,0,0
59,12.786732,1,0
60,12.786732,1,0
61,10.423052,0,0
62,12.786732,1,0
63,11.731442,1,0
64,12.786732,1,0
65,10.6214695,0,0
66,10.6214695,0,0
67,10.423052,0,0
68,9.399725,0,0
69,12.786732,1,0
70,7.8692565,0,0
71,10.063075,0,0
72,9.808644,0,0
73,11.155875,0,0
74,9.808644,0,0
75,9.402653,0,0
76,8.676933,0,0
77,9.892347,0,0
78,9.035997,0,0
79,10.520716,0,0
80,9.544544,0,0
81,10.506332,0,0
82,12.153125,1,0
83,10.063075,0,0
84,8.10974,0,0
85,6.8860145,0,0
86,9.544544,0,0
87,10.67051,0,0
88,9.595868,0,0
89,7.819565,0,0
90,12.153125,1,0
91,10.063075,0,0
92,9.980611,0,0
93,10.506332,0,0
94,12.153125,1,0
95,9.892347,0,0
96,10.506332,0,0
97,11.155875,0,0
98,8.549049,0,0
99,9.892347,0,0
100,9.980611,0,0
101,10.431711,0,0
102,8.549049,0,0
103,9.45389,0,0
104,9.45389,0,0
105,9.402653,0,0
106,9.383723,0,0
107,11.155875,0,0
108,11.155875,0,0
109,12.153125,1,0
110,12.153125,1,0
111,12.153125,1,0
112,10.063075,0,0
113,9.808644,0,0
114,12.153125,1,0
115,12.153125,1,0
116,10.506332,0,0
117,9.544544,0,0
118,9.383723,0,0
119,11.155875,0,0
