Top_K,Percentage(%),Precision,Recall,F1-Score,AUC,Anomaly_Count_In_TopK
1,0.83,1.0,0.05,0.0952,0.8885,1
2,1.67,1.0,0.1,0.1818,0.8885,2
3,2.5,1.0,0.15,0.2609,0.8885,3
4,3.33,1.0,0.2,0.3333,0.8885,4
6,5.0,1.0,0.3,0.4615,0.8885,6
7,5.83,1.0,0.35,0.5185,0.8885,7
8,6.67,1.0,0.4,0.5714,0.8885,8
9,7.5,1.0,0.45,0.6207,0.8885,9
10,8.33,0.9,0.45,0.6,0.8885,9
12,10.0,0.75,0.45,0.5625,0.8885,9
18,15.0,0.5,0.45,0.4737,0.8885,9
24,20.0,0.375,0.45,0.4091,0.8885,9
30,25.0,0.3667,0.55,0.44,0.8885,11
36,30.0,0.4722,0.85,0.6071,0.8885,17
42,35.0,0.4286,0.9,0.5806,0.8885,18
48,40.0,0.4167,1.0,0.5882,0.8885,20
54,45.0,0.3704,1.0,0.5405,0.8885,20
60,50.0,0.3333,1.0,0.5,0.8885,20
72,60.0,0.2778,1.0,0.4348,0.8885,20
84,70.0,0.2381,1.0,0.3846,0.8885,20
96,80.0,0.2083,1.0,0.3448,0.8885,20
108,90.0,0.1852,1.0,0.3125,0.8885,20
120,100.0,0.1667,1.0,0.2857,0.8885,20
