Original_Index,Anomaly_Score,Detection_Result,True_Label
0,5.683722,1,1
1,5.531908,1,0
2,6.143728,1,1
3,5.6249166,1,1
4,4.4465556,1,0
5,5.176256,1,0
6,6.3251214,1,1
7,5.726015,1,1
8,4.836621,1,0
9,6.1336713,1,1
10,5.315989,1,0
11,4.940765,1,1
12,5.923084,1,0
13,5.095285,1,1
14,5.300981,1,0
15,4.362442,1,1
16,4.8230095,1,0
17,5.4894614,1,0
18,5.6040864,1,1
19,5.662892,1,1
20,6.1465383,1,1
21,4.5833473,1,0
22,5.9643173,1,1
23,5.9323125,1,1
24,6.08963,1,1
25,5.21135,1,0
26,5.1554255,1,1
27,5.082191,1,1
28,3.5487664,1,1
29,4.51653,1,0
30,6.348332,1,1
31,5.7983475,1,1
32,5.1554255,1,1
33,5.671968,1,0
34,5.7700562,1,1
35,4.5303416,1,0
36,3.8018992,1,1
37,5.257216,1,1
38,4.474854,1,0
39,6.1673684,1,1
40,5.770056,1,0
41,6.139749,1,0
42,3.3889644,1,1
43,4.81579,1,0
44,5.329283,1,1
45,5.111385,1,0
46,5.1350255,1,1
47,5.2644124,1,1
48,6.2411447,1,0
49,6.3608856,1,0
50,5.8710637,1,0
51,5.273206,1,0
52,6.3379884,1,1
53,4.7776084,1,1
54,5.2983365,1,1
55,5.761692,1,1
56,4.4215527,1,0
57,6.114534,1,0
58,5.552738,1,0
59,5.692798,1,0
60,3.7812011,1,1
61,5.964317,1,1
62,6.112841,1,1
63,6.166111,1,1
64,5.726015,1,0
65,4.4829884,1,0
66,5.078945,1,0
67,6.340056,1,0
68,5.1470623,1,0
69,2.650995,0,1
70,4.6031647,1,0
71,5.886579,1,1
72,4.658652,1,0
73,5.815024,1,0
74,6.1673684,1,0
75,4.56061,1,0
76,4.965108,1,0
77,5.800072,1,0
78,4.5541534,1,1
79,5.885306,1,0
80,5.2884493,1,0
81,5.5957227,1,0
82,3.4447768,1,1
83,4.073561,1,0
84,6.232781,1,0
85,4.134997,1,0
86,5.8998733,1,0
87,5.058115,1,0
88,5.876942,1,0
89,3.472757,1,1
90,3.2038898,0,1
91,6.1233273,1,0
92,5.1013284,1,0
93,5.33682,1,1
94,4.138111,1,0
95,5.218679,1,0
96,5.9222984,1,0
97,5.358477,1,0
98,6.0687995,1,0
99,5.0572877,1,0
100,5.0716033,1,0
101,6.208599,1,0
102,6.340056,1,0
103,6.139749,1,0
104,6.12207,1,0
105,5.176256,1,1
106,6.089724,1,0
107,5.7468452,1,1
108,5.886579,1,1
109,5.552738,1,1
110,5.3292837,1,0
111,4.3516483,1,1
112,4.97892,1,0
113,5.358477,1,1
114,4.901024,1,1
115,6.155911,1,0
116,4.0823445,1,1
117,6.110555,1,0
118,4.927193,1,0
119,4.249866,1,1
120,5.2983365,1,0
121,5.2719483,1,1
122,4.6470485,1,0
123,4.5748663,1,0
124,5.262719,1,1
125,5.356911,1,0
126,6.158575,1,0
127,4.5869455,1,0
128,5.3144364,1,0
129,5.908236,1,1
130,5.879042,1,0
131,5.696821,1,1
132,5.0646763,1,0
133,5.1013284,1,1
134,4.5142956,1,0
135,4.87183,1,1
136,4.612337,1,0
137,4.9199343,1,0
138,4.6803346,1,0
139,6.158575,1,0
140,5.748838,1,0
141,6.1869416,1,1
142,3.668625,1,1
143,5.876942,1,0
144,5.3705163,1,0
145,6.5638947,1,0
146,5.9226274,1,0
147,5.126232,1,1
148,6.40286,1,0
149,6.1429005,1,1
150,4.846699,1,0
151,5.228032,1,0
152,5.036457,1,0
153,3.6893232,1,1
154,4.9363656,1,0
155,5.8710637,1,0
156,6.199808,1,0
157,5.3056455,1,0
158,5.7468452,1,1
159,6.1336713,1,0
160,6.1336713,1,1
161,6.026377,1,0
162,3.3997576,1,1
163,5.885306,1,0
164,5.070154,1,0
165,6.217829,1,0
166,5.879042,1,0
167,5.8998733,1,1
168,5.748838,1,0
169,6.1233273,1,0
170,3.4808424,1,1
171,6.1465383,1,0
172,5.0539775,1,0
173,5.761692,1,0
174,6.2840157,1,0
175,5.9531426,1,1
176,6.1765976,1,1
177,5.9306197,1,0
178,5.315989,1,1
179,6.348332,1,0
180,4.81579,1,1
181,4.2183747,1,1
182,2.9360337,0,1
183,5.2627187,1,1
184,5.943129,1,0
185,5.8191776,1,0
186,6.0687995,1,1
187,2.8000033,0,1
188,6.166111,1,0
189,5.728007,1,0
190,5.3152356,1,0
191,4.441472,1,0
192,5.879042,1,1
193,4.616098,1,0
194,5.531908,1,1
195,3.609153,1,1
196,5.973108,1,0
197,5.4541698,1,1
198,4.875894,1,1
199,4.5985255,1,0
200,4.8907404,1,0
201,5.8998733,1,0
202,5.475,1,0
203,5.639392,1,0
204,5.9061356,1,0
205,5.277506,1,1
206,6.143728,1,0
207,6.1233273,1,1
208,5.961506,1,0
209,5.9531426,1,0
210,5.0937924,1,0
211,6.135364,1,1
212,4.559084,1,0
213,3.3164659,0,1
214,6.3692493,1,0
215,6.164558,1,1
216,5.28355,1,0
217,5.1350255,1,0
218,4.846699,1,0
219,3.5011032,1,1
220,5.2936063,1,1
221,6.0013986,1,0
222,6.2411447,1,0
223,4.5568495,1,0
224,5.2927785,1,1
225,5.7468452,1,0
226,5.4541698,1,0
227,5.2627187,1,0
228,4.5189443,1,1
229,6.1877685,1,0
230,3.337164,0,1
231,5.8191776,1,1
232,6.118918,1,0
233,2.9675252,0,1
234,6.3379884,1,0
235,4.484026,1,0
236,4.8675303,1,0
237,5.7700562,1,0
238,6.261975,1,0
239,6.3048463,1,0
240,6.2386594,1,0
241,5.0497513,1,0
242,5.2644124,1,1
243,5.1040754,1,1
244,5.051743,1,0
245,5.028921,1,0
246,4.8808784,1,0
247,4.896724,1,1
248,6.2386594,1,0
249,5.0290494,1,0
250,6.217829,1,0
251,5.3833976,1,0
252,3.6371334,1,1
253,5.7408624,1,1
254,5.908236,1,0
255,6.155767,1,1
256,2.9468277,0,1
257,5.2852426,1,1
258,6.1429,1,0
259,6.12207,1,1
260,5.9783387,1,0
261,5.116115,1,0
262,5.2936063,1,0
263,4.875894,1,1
264,5.1072307,1,0
265,3.04861,0,1
266,4.3154664,1,0
267,5.0804977,1,1
268,6.102497,1,1
269,5.406151,1,1
270,5.3144364,1,1
271,4.88531,1,1
272,5.070154,1,0
