Top_K,Percentage(%),Precision,Recall,F1-Score,AUC,Anomaly_Count_In_TopK
129,1.0,0.0155,0.0061,0.0087,0.3908,2
259,2.0,0.0077,0.0061,0.0068,0.3908,2
388,2.99,0.0103,0.0121,0.0111,0.3908,4
518,4.0,0.0077,0.0121,0.0094,0.3908,4
648,5.0,0.0062,0.0121,0.0082,0.3908,4
777,6.0,0.0051,0.0121,0.0072,0.3908,4
907,7.0,0.0066,0.0182,0.0097,0.3908,6
1036,7.99,0.0058,0.0182,0.0088,0.3908,6
1166,9.0,0.0051,0.0182,0.008,0.3908,6
1296,10.0,0.0054,0.0212,0.0086,0.3908,7
1944,15.0,0.0118,0.0697,0.0202,0.3908,23
2592,20.0,0.0162,0.1273,0.0287,0.3908,42
3240,25.0,0.0139,0.1364,0.0252,0.3908,45
3888,30.0,0.0118,0.1394,0.0218,0.3908,46
4536,35.0,0.0119,0.1636,0.0222,0.3908,54
5184,40.0,0.0154,0.2424,0.029,0.3908,80
5832,45.0,0.0161,0.2848,0.0305,0.3908,94
6480,50.0,0.0156,0.3061,0.0297,0.3908,101
7776,60.0,0.0144,0.3394,0.0276,0.3908,112
9072,70.0,0.0188,0.5182,0.0364,0.3908,171
10368,80.0,0.0231,0.7242,0.0447,0.3908,239
11664,90.0,0.0215,0.7606,0.0419,0.3908,251
12960,100.0,0.0255,1.0,0.0497,0.3908,330
