Original_Index,Anomaly_Score,Detection_Result,True_Label
0,10.5956,1,0
1,17.85293,1,0
2,20.164305,1,0
3,21.133417,1,0
4,22.478622,1,0
5,14.6200285,1,0
6,2.4370143,1,0
7,2.2460735,1,0
8,3.1653616,1,0
9,4.031485,1,0
10,4.43825,1,0
11,4.3699136,1,0
12,2.7028286,1,0
13,1.563331,1,0
14,1.5512491,1,0
15,2.2993493,1,0
16,2.7991908,1,0
17,10.307805,1,0
18,13.030911,1,0
19,12.612808,1,0
20,11.441948,1,0
21,9.010964,1,0
22,10.519111,1,0
23,9.154796,1,0
24,2.3711805,1,0
25,10.57763,1,0
26,2.4261808,1,0
27,2.1469305,1,0
28,3.3303566,1,0
29,2.2400339,1,0
30,4.972384,1,1
31,4.8535485,1,1
32,5.4634857,1,1
33,5.6745124,1,1
34,5.86472,1,1
35,5.0472035,1,1
36,2.9798317,1,0
37,3.1700401,1,0
38,3.2331789,1,0
39,3.2158089,1,0
40,3.2024994,1,0
41,4.277948,1,0
42,4.665755,1,1
43,3.9072244,1,1
44,4.7402506,1,1
45,4.368027,1,1
46,4.368027,1,1
47,4.284277,1,1
48,2.0398748,1,1
49,2.3274715,1,1
50,3.3022594,1,1
51,2.7303038,1,1
52,2.5327642,1,1
53,2.3882177,1,1
54,5.656013,1,0
55,11.179844,1,0
56,12.059048,1,0
57,6.8446465,1,0
58,6.865008,1,0
59,13.059128,1,0
60,4.54359,1,1
61,3.7340157,1,1
62,4.405618,1,1
63,5.0613194,1,1
64,5.158855,1,1
65,4.671601,1,1
66,7.051063,1,0
67,9.773124,1,0
68,18.384882,1,0
69,9.946038,1,0
70,8.564494,1,0
71,18.267054,1,0
72,2.2178276,1,0
73,4.0170984,1,0
74,2.5921638,1,0
75,3.222068,1,0
76,7.906325,1,0
77,2.6324916,1,0
78,6.313826,1,0
79,13.646919,1,0
80,9.379876,1,0
81,6.2454896,1,0
82,3.8220212,1,0
83,2.0207424,1,0
84,12.769912,1,0
85,10.552455,1,0
86,8.710134,1,0
87,14.29908,1,0
88,13.7755785,1,0
89,16.687147,1,0
90,18.507723,1,0
91,12.267436,1,0
92,8.164264,1,0
93,10.804151,1,0
94,5.70299,1,0
95,5.5512238,1,0
96,5.382137,1,0
97,20.534353,1,0
98,22.19805,1,0
99,27.409018,1,0
100,31.227577,1,0
101,27.01568,1,0
102,32.890457,1,0
103,3.3450756,1,0
104,4.1006913,1,0
105,2.828243,1,0
106,4.1173964,1,0
107,2.4362059,1,0
108,3.7260253,1,0
109,4.438228,1,0
110,2.1888864,1,0
111,3.761451,1,0
112,10.825406,1,0
113,3.117967,1,0
114,3.9644034,1,0
115,6.392929,1,0
116,3.4993906,1,0
117,5.6526933,1,0
118,5.133801,1,0
119,4.388971,1,0
120,3.2070563,1,0
121,3.1253757,1,0
122,8.705017,1,0
123,7.5150924,1,0
124,1.9009457,1,0
125,2.540336,1,0
126,3.806321,1,0
127,3.8375015,1,0
128,2.7958686,1,0
129,1.7127038,1,0
130,1.2696224,0,0
131,1.6108807,1,0
132,1.2990746,0,0
133,2.092816,1,0
134,12.422755,1,0
135,8.665975,1,0
136,10.441219,1,0
137,11.705958,1,0
138,11.896648,1,0
139,3.6222603,1,0
140,7.3595543,1,0
141,12.867658,1,0
142,8.023059,1,0
143,2.38992,1,0
144,3.043074,1,0
145,4.11641,1,0
146,31.865133,1,0
147,25.361132,1,0
148,30.361181,1,0
149,28.955887,1,0
150,28.709478,1,0
151,35.359715,1,0
152,33.58958,1,0
153,2.689438,1,0
154,4.289184,1,0
155,3.9052265,1,0
156,3.150945,1,0
157,23.832632,1,0
158,12.014188,1,0
159,4.2543364,1,0
160,7.5072093,1,0
161,5.1464725,1,0
162,6.646849,1,0
163,2.072416,1,0
164,13.021132,1,0
165,3.6036434,1,1
166,5.2063613,1,1
167,4.2818904,1,1
168,8.814301,1,1
169,4.8651404,1,1
170,4.451265,1,1
171,1.8392769,1,1
172,1.7784166,1,1
173,2.023504,1,1
174,1.4135661,1,1
175,1.8392769,1,1
176,2.2193892,1,1
177,2.3517532,1,0
178,2.8002958,1,0
179,3.494037,1,0
180,2.696789,1,0
181,2.328759,1,0
182,2.8869975,1,0
183,1.9565254,1,1
184,2.649699,1,1
185,1.946097,1,1
186,3.6673698,1,1
187,3.6673698,1,1
188,2.2624018,1,1
189,3.2582855,1,1
190,8.24133,1,1
191,5.010137,1,1
192,14.647338,1,1
193,5.384189,1,1
194,2.2499983,1,1
