Original_Index,Anomaly_Score,Detection_Result,True_Label
0,37.193333,1,0
1,58.275494,1,0
2,38.488045,1,0
3,24.645761,0,0
4,22.541927,0,0
5,47.21353,1,0
6,35.374016,1,0
7,34.721878,1,0
8,26.745182,0,0
9,21.404348,0,0
10,35.440975,1,0
11,51.760708,1,0
12,24.645761,0,0
13,22.665417,0,0
14,38.488045,1,0
15,47.21353,1,0
16,30.32684,1,0
17,20.4527,0,0
18,51.760708,1,0
19,37.193333,1,0
20,58.275494,1,0
21,34.721878,1,0
22,58.275494,1,0
23,14.791653,0,0
24,58.275494,1,0
25,58.275494,1,0
26,22.173191,0,0
27,29.82587,1,0
28,20.276157,0,0
29,20.4527,0,0
30,58.275494,1,0
31,26.745182,0,0
32,26.322685,0,0
33,20.4527,0,0
34,19.697966,0,0
35,22.983694,0,0
36,38.07466,1,0
37,30.211992,1,0
38,58.275494,1,0
39,21.094532,0,0
40,24.954605,0,0
41,58.275494,1,0
42,58.275494,1,0
43,25.208696,0,0
44,35.440975,1,0
45,15.809631,0,0
46,58.275494,1,0
47,19.73155,0,0
48,26.745182,0,0
49,12.662187,0,0
50,35.374016,1,0
51,36.036415,1,0
52,21.336197,0,0
53,35.374016,1,0
54,29.71857,1,0
55,47.21353,1,0
56,19.652992,0,0
57,51.760708,1,0
58,18.653437,0,0
59,47.21353,1,0
60,15.288905,0,0
61,51.760708,1,0
62,35.440975,1,0
63,15.809631,0,0
64,30.211992,1,0
65,29.82587,1,0
66,47.21353,1,0
67,35.440975,1,0
68,51.760708,1,0
69,58.275494,1,0
70,38.488045,1,0
71,30.211992,1,0
72,58.275494,1,0
73,58.275494,1,0
74,34.721878,1,0
75,51.760708,1,0
76,58.275494,1,0
77,51.760708,1,0
78,37.193333,1,0
79,27.90946,1,0
80,51.760708,1,0
81,29.82587,1,0
82,15.809631,0,0
83,25.208696,0,0
84,58.275494,1,0
85,36.434975,1,0
86,38.488045,1,0
87,51.760708,1,0
88,51.760708,1,0
89,51.760708,1,0
90,34.721878,1,0
91,34.721878,1,0
92,58.275494,1,0
93,58.275494,1,0
94,51.760708,1,0
95,51.760708,1,0
96,20.217106,0,0
97,34.721878,1,0
98,47.21353,1,0
99,18.653437,0,0
100,17.15393,0,0
101,30.32684,1,0
102,38.07466,1,0
103,30.32684,1,0
104,29.82587,1,0
105,35.374016,1,0
106,19.697966,0,0
107,22.012552,0,0
108,58.275494,1,0
109,22.173191,0,0
110,58.275494,1,0
111,26.745182,0,0
112,51.760708,1,0
113,21.094532,0,0
114,58.275494,1,0
115,58.275494,1,0
116,58.275494,1,0
117,25.539383,0,0
118,20.4527,0,0
119,26.322685,0,0
120,58.275494,1,0
121,34.721878,1,0
122,38.07466,1,0
123,29.82587,1,0
124,24.954605,0,0
125,21.985252,0,0
126,18.543161,0,0
127,22.983694,0,0
128,51.760708,1,0
129,20.01786,0,0
130,20.217106,0,0
131,58.275494,1,0
132,47.21353,1,0
133,34.721878,1,0
134,51.760708,1,0
135,30.211992,1,0
136,38.488045,1,0
137,30.211992,1,0
138,30.32684,1,0
139,19.098862,0,0
140,38.07466,1,0
141,26.745182,0,0
142,35.440975,1,0
143,51.760708,1,0
144,51.760708,1,0
145,35.440975,1,0
146,58.275494,1,0
147,51.760708,1,0
148,51.760708,1,0
149,22.173191,0,0
150,47.21353,1,0
151,13.247276,0,0
152,58.275494,1,0
153,26.322685,0,0
154,26.322685,0,0
155,38.488045,1,0
156,19.697966,0,0
157,29.82587,1,0
158,19.146461,0,0
159,35.374016,1,0
160,51.760708,1,0
161,38.07466,1,0
162,58.275494,1,0
163,37.193333,1,0
164,58.275494,1,0
165,20.4527,0,0
166,51.760708,1,0
167,24.645761,0,0
168,58.275494,1,0
169,47.21353,1,0
170,58.275494,1,0
171,21.404348,0,0
172,29.82587,1,0
173,37.193333,1,0
174,26.745182,0,0
175,38.488045,1,0
176,25.539383,0,0
177,38.07466,1,0
178,15.539492,0,0
179,51.760708,1,0
180,37.193333,1,0
181,58.275494,1,0
182,19.652992,0,0
183,35.374016,1,0
184,58.275494,1,0
185,51.760708,1,0
186,27.90946,1,0
187,38.07466,1,0
