Top_K,Percentage(%),Precision,Recall,F1-Score,AUC,Anomaly_Count_In_TopK
4,0.82,0.75,0.075,0.1364,0.4136,3
9,1.84,0.3333,0.075,0.1224,0.4136,3
14,2.86,0.2143,0.075,0.1111,0.4136,3
19,3.88,0.1579,0.075,0.1017,0.4136,3
24,4.9,0.125,0.075,0.0937,0.4136,3
29,5.92,0.1034,0.075,0.087,0.4136,3
34,6.94,0.0882,0.075,0.0811,0.4136,3
39,7.96,0.0769,0.075,0.0759,0.4136,3
44,8.98,0.0682,0.075,0.0714,0.4136,3
49,10.0,0.0612,0.075,0.0674,0.4136,3
73,14.9,0.0411,0.075,0.0531,0.4136,3
98,20.0,0.0306,0.075,0.0435,0.4136,3
122,24.9,0.0246,0.075,0.037,0.4136,3
147,30.0,0.0272,0.1,0.0428,0.4136,4
171,34.9,0.0234,0.1,0.0379,0.4136,4
196,40.0,0.0255,0.125,0.0424,0.4136,5
220,44.9,0.0227,0.125,0.0385,0.4136,5
245,50.0,0.0531,0.325,0.0912,0.4136,13
294,60.0,0.0884,0.65,0.1557,0.4136,26
343,70.0,0.0904,0.775,0.1619,0.4136,31
392,80.0,0.0842,0.825,0.1528,0.4136,33
441,90.0,0.0794,0.875,0.1455,0.4136,35
490,100.0,0.0816,1.0,0.1509,0.4136,40
