Original_Index,Anomaly_Score,Detection_Result,True_Label
0,3.635893,0,0
1,5.1706085,0,0
2,11.188971,0,0
3,6.919403,0,0
4,3.635893,0,0
5,3.635893,0,0
6,35.60411,1,0
7,14.097237,1,0
8,35.60411,1,0
9,6.8458424,0,0
10,2.6691062,0,0
11,6.8458424,0,0
12,5.3539147,0,0
13,1.7303985,0,0
14,9.369797,0,0
15,11.928861,1,0
16,4.777004,0,0
17,6.041073,0,0
18,2.404993,0,1
19,7.026157,0,0
20,4.105248,0,0
21,4.530586,0,0
22,3.9417026,0,0
23,5.745528,0,0
24,2.6348479,0,0
25,5.2028418,0,0
26,6.561098,0,0
27,3.9417026,0,0
28,16.330376,1,0
29,29.398767,1,0
30,4.555461,0,0
31,16.850975,1,0
32,4.529026,0,0
33,6.9524055,0,0
34,3.0473704,0,0
35,3.6381652,0,0
36,29.398767,1,0
37,2.2997234,0,0
38,6.3119664,0,1
39,6.058342,0,0
40,6.058342,0,0
41,3.1643064,0,1
42,4.2622523,0,0
43,1.5852267,0,0
44,4.5890093,0,0
45,6.0977693,0,1
46,4.809257,0,0
47,0.8993215,0,0
48,3.0473704,0,0
49,4.600698,0,0
50,3.9417026,0,0
51,4.5890093,0,0
52,7.833663,0,0
53,4.505341,0,0
54,4.687717,0,0
55,11.860279,1,0
56,1.9995338,0,0
57,7.900477,0,0
58,16.850975,1,0
59,6.561098,0,0
60,4.105248,0,0
61,4.236969,0,0
62,35.60411,1,0
63,11.188971,0,0
64,5.923411,0,0
65,5.923411,0,0
66,35.60411,1,0
67,3.4292479,0,0
68,5.283859,0,0
69,3.1581426,0,0
70,35.60411,1,0
71,13.332907,1,0
72,13.332907,1,0
73,18.314716,1,1
74,6.606837,0,0
75,5.1525607,0,0
76,5.1525607,0,0
77,12.338475,1,0
78,3.8947423,0,0
79,4.8931413,0,1
80,1.0716143,0,0
81,8.565039,0,0
82,3.801336,0,0
83,6.1077766,0,0
84,3.6569812,0,0
85,16.850975,1,0
86,8.604401,0,0
87,18.314716,1,0
88,8.099505,0,0
89,35.60411,1,0
90,4.235171,0,0
