Top_K,Percentage(%),Precision,Recall,F1-Score,AUC,Anomaly_Count_In_TopK
15,0.94,0.0,0.0,0.0,0.4971,0
31,1.94,0.0,0.0,0.0,0.4971,0
47,2.94,0.0,0.0,0.0,0.4971,0
63,3.94,0.0159,0.0123,0.0139,0.4971,1
79,4.94,0.038,0.037,0.0375,0.4971,3
95,5.94,0.0316,0.037,0.0341,0.4971,3
111,6.94,0.0631,0.0864,0.0729,0.4971,7
127,7.94,0.0709,0.1111,0.0865,0.4971,9
143,8.94,0.0699,0.1235,0.0893,0.4971,10
159,9.94,0.0629,0.1235,0.0833,0.4971,10
239,14.95,0.0628,0.1852,0.0937,0.4971,15
319,19.95,0.0533,0.2099,0.085,0.4971,17
399,24.95,0.0526,0.2593,0.0875,0.4971,21
479,29.96,0.0522,0.3086,0.0893,0.4971,25
559,34.96,0.0501,0.3457,0.0875,0.4971,28
639,39.96,0.0469,0.3704,0.0833,0.4971,30
719,44.97,0.0542,0.4815,0.0975,0.4971,39
799,49.97,0.0513,0.5062,0.0932,0.4971,41
959,59.97,0.0521,0.6173,0.0962,0.4971,50
1119,69.98,0.05,0.6914,0.0933,0.4971,56
1279,79.99,0.0477,0.7531,0.0897,0.4971,61
1439,89.99,0.0486,0.8642,0.0921,0.4971,70
1599,100.0,0.0507,1.0,0.0964,0.4971,81
