Top_K,Percentage(%),Precision,Recall,F1-Score,AUC,Anomaly_Count_In_TopK
48,0.98,0.0625,0.0083,0.0146,0.4106,3
97,1.98,0.0515,0.0138,0.0217,0.4106,5
146,2.98,0.0411,0.0165,0.0236,0.4106,6
195,3.98,0.0564,0.0303,0.0394,0.4106,11
244,4.98,0.0451,0.0303,0.0362,0.4106,11
293,5.98,0.041,0.0331,0.0366,0.4106,12
342,6.98,0.0409,0.0386,0.0397,0.4106,14
391,7.98,0.0358,0.0386,0.0371,0.4106,14
440,8.98,0.0341,0.0413,0.0374,0.4106,15
489,9.98,0.0532,0.0716,0.061,0.4106,26
734,14.99,0.049,0.0992,0.0656,0.4106,36
979,19.99,0.0531,0.1433,0.0775,0.4106,52
1224,24.99,0.0531,0.1791,0.0819,0.4106,65
1469,29.99,0.0579,0.2342,0.0928,0.4106,85
1714,34.99,0.0589,0.2782,0.0973,0.4106,101
1959,40.0,0.0572,0.3085,0.0965,0.4106,112
2204,45.0,0.0572,0.3471,0.0982,0.4106,126
2449,50.0,0.0551,0.3719,0.096,0.4106,135
2938,59.98,0.0562,0.4545,0.1,0.4106,165
3428,69.99,0.0604,0.5702,0.1092,0.4106,207
3918,79.99,0.0638,0.6887,0.1168,0.4106,250
4408,90.0,0.0701,0.8512,0.1295,0.4106,309
4898,100.0,0.0741,1.0,0.138,0.4106,363
