Original_Index,Anomaly_Score,Detection_Result,True_Label
0,10.514518,0,0
1,9.419339,0,0
2,10.96321,0,0
3,13.193764,1,0
4,10.990535,0,0
5,11.766089,1,0
6,9.996689,0,0
7,10.497108,0,0
8,9.779727,0,0
9,10.243291,0,0
10,12.65058,1,0
11,8.8625555,0,0
12,8.619131,0,0
13,12.566947,1,0
14,12.74447,1,0
15,11.270179,0,0
16,11.119263,0,0
17,11.474762,1,0
18,12.122813,1,0
19,11.340535,0,0
20,9.806944,0,0
21,10.092819,0,0
22,9.358645,0,0
23,9.336797,0,0
24,9.425568,0,0
25,11.877462,1,0
26,9.707579,0,0
27,8.683253,0,0
28,11.03234,0,0
29,8.871907,0,0
30,11.290313,0,0
31,10.041848,0,0
32,10.104329,0,0
33,11.212866,0,0
34,9.623952,0,0
35,9.10998,0,0
36,9.484385,0,0
37,8.898163,0,0
38,9.310453,0,0
39,13.795035,1,0
40,10.914987,0,0
41,9.038394,0,0
42,11.922272,1,0
43,9.130179,0,0
44,10.901596,0,0
45,10.152705,0,0
46,9.824936,0,0
47,10.71148,0,0
48,10.291685,0,0
49,10.598648,0,0
50,13.310056,1,0
51,10.567947,0,0
52,11.829854,1,0
53,11.328079,0,0
54,9.693034,0,0
55,10.863028,0,0
56,10.205516,0,0
57,10.145171,0,0
58,12.886498,1,0
59,11.895561,1,0
60,11.037457,0,0
61,11.188853,0,0
62,10.80141,0,0
63,10.379656,0,0
64,11.258408,0,0
65,9.873555,0,0
66,9.89221,0,0
67,10.675341,0,0
68,10.99572,0,0
69,12.763197,1,0
70,9.667909,0,0
71,11.029807,0,0
72,9.980586,0,0
73,13.10847,1,0
74,9.428882,0,0
75,11.694592,1,0
76,9.9907055,0,0
77,11.457678,0,0
78,12.341784,1,0
79,10.106405,0,0
80,9.729431,0,0
81,8.916522,0,0
82,10.964255,0,0
83,12.292605,1,0
84,10.583544,0,0
85,8.654266,0,0
86,10.265874,0,0
87,11.432794,0,0
88,10.225992,0,0
89,9.543036,0,0
90,10.338721,0,0
91,9.446489,0,0
92,10.48693,0,0
93,9.560393,0,0
94,9.779466,0,0
95,10.424342,0,0
96,12.183233,1,0
97,10.147169,0,0
98,10.867968,0,0
99,11.612437,1,0
100,10.379903,0,0
101,9.964931,0,0
102,8.348808,0,0
103,10.067961,0,0
104,9.853202,0,0
105,9.420474,0,0
106,8.954178,0,0
107,10.522856,0,0
108,9.753478,0,0
109,9.93221,0,0
110,12.350859,1,0
111,8.946146,0,0
112,12.06762,1,0
113,10.491939,0,0
114,11.183635,0,0
115,10.859263,0,0
116,9.460344,0,0
117,9.005938,0,0
118,13.690003,1,0
119,11.402133,0,0
120,9.175969,0,0
121,15.291368,1,0
122,11.556093,1,0
123,9.69048,0,0
124,11.452166,0,0
125,9.11001,0,0
126,9.430123,0,0
127,11.6508465,1,0
128,9.818476,0,0
129,10.171394,0,0
130,11.466031,1,1
131,11.535533,1,1
132,13.560281,1,1
133,11.271401,0,1
134,11.963331,1,1
135,12.0619755,1,1
136,11.724083,1,1
137,11.779809,1,1
138,11.331343,0,1
139,13.514913,1,1
140,13.797778,1,1
141,12.32978,1,1
142,12.370972,1,1
143,12.543291,1,1
144,12.842873,1,1
145,11.811336,1,1
146,11.905986,1,1
147,12.329419,1,1
148,13.131025,1,1
149,12.978665,1,1
150,12.109381,1,1
151,13.697759,1,1
152,11.571435,1,1
153,12.58946,1,1
154,11.17073,0,1
155,11.466721,1,1
156,11.780515,1,1
157,12.196204,1,1
158,12.197074,1,1
159,13.538658,1,1
