Top_K,Anomaly_Count_In_TopK,Ratio_of_Total_Anomalies
10,2,0.003968253968253968
328,36,0.07142857142857142
646,63,0.125
964,95,0.1884920634920635
1282,116,0.23015873015873015
1600,148,0.29365079365079366
1918,167,0.33134920634920634
2236,195,0.3869047619047619
2554,230,0.45634920634920634
2872,246,0.4880952380952381
3190,276,0.5476190476190477
3508,299,0.5932539682539683
3826,327,0.6488095238095238
4144,348,0.6904761904761905
4462,376,0.746031746031746
4780,393,0.7797619047619048
5098,417,0.8273809523809523
5416,436,0.8650793650793651
5734,465,0.9226190476190477
6052,481,0.9543650793650794
6370,504,1.0
6372,504,1.0
