Top_K,Percentage(%),Precision,Recall,F1-Score,AUC,Anomaly_Count_In_TopK
63,0.99,0.1587,0.0198,0.0353,0.534,10
127,1.99,0.1417,0.0357,0.0571,0.534,18
191,3.0,0.1257,0.0476,0.0691,0.534,24
254,3.99,0.1102,0.0556,0.0739,0.534,28
318,4.99,0.1069,0.0675,0.0827,0.534,34
382,5.99,0.1047,0.0794,0.0903,0.534,40
446,7.0,0.1009,0.0893,0.0947,0.534,45
509,7.99,0.0963,0.0972,0.0967,0.534,49
573,8.99,0.1012,0.1151,0.1077,0.534,58
637,10.0,0.0989,0.125,0.1104,0.534,63
955,14.99,0.0974,0.1845,0.1275,0.534,93
1274,19.99,0.0911,0.2302,0.1305,0.534,116
1593,25.0,0.0923,0.2917,0.1402,0.534,147
1911,29.99,0.0874,0.3313,0.1383,0.534,167
2230,35.0,0.087,0.3849,0.1419,0.534,194
2548,39.99,0.0903,0.4563,0.1507,0.534,230
2867,44.99,0.0858,0.4881,0.146,0.534,246
3186,50.0,0.0866,0.5476,0.1496,0.534,276
3823,60.0,0.0855,0.6488,0.1511,0.534,327
4460,69.99,0.0841,0.744,0.1511,0.534,375
5097,79.99,0.0818,0.8274,0.1489,0.534,417
5734,89.99,0.0811,0.9226,0.1491,0.534,465
6372,100.0,0.0791,1.0,0.1466,0.534,504
