Top_K,Percentage(%),Precision,Recall,F1-Score,AUC,Anomaly_Count_In_TopK
4,0.88,0.5,0.0303,0.0571,0.7944,2
9,1.99,0.4444,0.0606,0.1067,0.7944,4
13,2.88,0.4615,0.0909,0.1519,0.7944,6
18,3.98,0.3333,0.0909,0.1429,0.7944,6
22,4.87,0.4545,0.1515,0.2273,0.7944,10
27,5.97,0.4444,0.1818,0.2581,0.7944,12
31,6.86,0.4516,0.2121,0.2887,0.7944,14
36,7.96,0.4167,0.2273,0.2941,0.7944,15
40,8.85,0.4,0.2424,0.3019,0.7944,16
45,9.96,0.3778,0.2576,0.3063,0.7944,17
67,14.82,0.403,0.4091,0.406,0.7944,27
90,19.91,0.3889,0.5303,0.4487,0.7944,35
113,25.0,0.3451,0.5909,0.4358,0.7944,39
135,29.87,0.3037,0.6212,0.408,0.7944,41
158,34.96,0.2975,0.7121,0.4196,0.7944,47
180,39.82,0.2778,0.7576,0.4065,0.7944,50
203,44.91,0.2562,0.7879,0.3866,0.7944,52
226,50.0,0.2566,0.8788,0.3973,0.7944,58
271,59.96,0.2325,0.9545,0.3739,0.7944,63
316,69.91,0.2025,0.9697,0.3351,0.7944,64
361,79.87,0.1801,0.9848,0.3044,0.7944,65
406,89.82,0.1626,1.0,0.2797,0.7944,66
452,100.0,0.146,1.0,0.2548,0.7944,66
