Top_K,Percentage(%),Precision,Recall,F1-Score,AUC,Anomaly_Count_In_TopK
60,0.98,0.0333,0.0036,0.0065,0.5679,2
121,1.98,0.0744,0.0162,0.0267,0.5679,9
182,2.98,0.0659,0.0217,0.0326,0.5679,12
243,3.98,0.0741,0.0325,0.0452,0.5679,18
304,4.98,0.0855,0.0469,0.0606,0.5679,26
365,5.98,0.0877,0.0578,0.0696,0.5679,32
426,6.98,0.0962,0.074,0.0837,0.5679,41
487,7.98,0.0965,0.0848,0.0903,0.5679,47
548,8.99,0.1077,0.1065,0.1071,0.5679,59
609,9.99,0.1034,0.1137,0.1083,0.5679,63
914,14.99,0.1105,0.1823,0.1376,0.5679,101
1219,19.99,0.1148,0.2527,0.1579,0.5679,140
1524,24.99,0.1214,0.3339,0.1781,0.5679,185
1829,29.99,0.1208,0.3989,0.1855,0.5679,221
2134,34.99,0.1204,0.4639,0.1912,0.5679,257
2439,39.99,0.1173,0.5162,0.1911,0.5679,286
2744,44.99,0.1141,0.565,0.1898,0.5679,313
3049,49.99,0.1063,0.5848,0.1799,0.5679,324
3659,59.99,0.1003,0.6625,0.1742,0.5679,367
4269,70.0,0.097,0.7473,0.1717,0.5679,414
4879,80.0,0.0994,0.8755,0.1785,0.5679,485
5489,90.0,0.0969,0.9603,0.1761,0.5679,532
6099,100.0,0.0908,1.0,0.1665,0.5679,554
