Top_K,Percentage(%),Precision,Recall,F1-Score,AUC,Anomaly_Count_In_TopK
8,0.92,0.875,0.0636,0.1186,0.5548,7
17,1.95,0.4706,0.0727,0.126,0.5548,8
26,2.98,0.3077,0.0727,0.1176,0.5548,8
34,3.9,0.2941,0.0909,0.1389,0.5548,10
43,4.93,0.2326,0.0909,0.1307,0.5548,10
52,5.96,0.1923,0.0909,0.1235,0.5548,10
61,7.0,0.3115,0.1727,0.2222,0.5548,19
69,7.91,0.3043,0.1909,0.2346,0.5548,21
78,8.94,0.2692,0.1909,0.2234,0.5548,21
87,9.98,0.2874,0.2273,0.2538,0.5548,25
130,14.91,0.3615,0.4273,0.3917,0.5548,47
174,19.95,0.3448,0.5455,0.4225,0.5548,60
218,25.0,0.3028,0.6,0.4024,0.5548,66
261,29.93,0.2529,0.6,0.3558,0.5548,66
305,34.98,0.2164,0.6,0.3181,0.5548,66
348,39.91,0.1897,0.6,0.2882,0.5548,66
392,44.95,0.1684,0.6,0.2629,0.5548,66
436,50.0,0.1514,0.6,0.2418,0.5548,66
523,59.98,0.1262,0.6,0.2085,0.5548,66
610,69.95,0.1459,0.8091,0.2472,0.5548,89
697,79.93,0.1363,0.8636,0.2354,0.5548,95
784,89.91,0.1327,0.9455,0.2327,0.5548,104
872,100.0,0.1261,1.0,0.224,0.5548,110
