Top_K,Percentage(%),Precision,Recall,F1-Score,AUC,Anomaly_Count_In_TopK
4,0.85,0.75,0.0732,0.1333,0.9915,3
9,1.92,0.8889,0.1951,0.32,0.9915,8
14,2.99,0.9286,0.3171,0.4727,0.9915,13
18,3.84,0.8889,0.3902,0.5424,0.9915,16
23,4.9,0.8696,0.4878,0.625,0.9915,20
28,5.97,0.8571,0.5854,0.6957,0.9915,24
32,6.82,0.875,0.6829,0.7671,0.9915,28
37,7.89,0.8378,0.7561,0.7949,0.9915,31
42,8.96,0.8333,0.8537,0.8434,0.9915,35
46,9.81,0.8043,0.9024,0.8506,0.9915,37
70,14.93,0.5857,1.0,0.7387,0.9915,41
93,19.83,0.4409,1.0,0.6119,0.9915,41
117,24.95,0.3504,1.0,0.519,0.9915,41
140,29.85,0.2929,1.0,0.453,0.9915,41
164,34.97,0.25,1.0,0.4,0.9915,41
187,39.87,0.2193,1.0,0.3596,0.9915,41
211,44.99,0.1943,1.0,0.3254,0.9915,41
234,49.89,0.1752,1.0,0.2982,0.9915,41
281,59.91,0.1459,1.0,0.2547,0.9915,41
328,69.94,0.125,1.0,0.2222,0.9915,41
375,79.96,0.1093,1.0,0.1971,0.9915,41
422,89.98,0.0972,1.0,0.1771,0.9915,41
469,100.0,0.0874,1.0,0.1608,0.9915,41
