Top_K,Percentage(%),Precision,Recall,F1-Score,AUC,Anomaly_Count_In_TopK
4,0.92,0.25,0.0078,0.0152,0.629,1
8,1.84,0.375,0.0234,0.0441,0.629,3
13,2.99,0.3846,0.0391,0.0709,0.629,5
17,3.91,0.5294,0.0703,0.1241,0.629,9
21,4.83,0.619,0.1016,0.1745,0.629,13
26,5.98,0.6538,0.1328,0.2208,0.629,17
30,6.9,0.6333,0.1484,0.2405,0.629,19
34,7.82,0.5588,0.1484,0.2346,0.629,19
39,8.97,0.5641,0.1719,0.2635,0.629,22
43,9.89,0.5581,0.1875,0.2807,0.629,24
65,14.94,0.5077,0.2578,0.342,0.629,33
87,20.0,0.4253,0.2891,0.3442,0.629,37
108,24.83,0.463,0.3906,0.4237,0.629,50
130,29.89,0.4538,0.4609,0.4574,0.629,59
152,34.94,0.4408,0.5234,0.4786,0.629,67
174,40.0,0.3966,0.5391,0.457,0.629,69
195,44.83,0.3795,0.5781,0.4582,0.629,74
217,49.89,0.3641,0.6172,0.458,0.629,79
261,60.0,0.3487,0.7109,0.4679,0.629,91
304,69.89,0.3355,0.7969,0.4722,0.629,102
348,80.0,0.3161,0.8594,0.4622,0.629,110
391,89.89,0.3069,0.9375,0.4624,0.629,120
435,100.0,0.2943,1.0,0.4547,0.629,128
