Top_K,Percentage(%),Precision,Recall,F1-Score,AUC,Anomaly_Count_In_TopK
2,0.93,0.5,0.0256,0.0488,0.3049,1
4,1.87,0.25,0.0256,0.0465,0.3049,1
6,2.8,0.3333,0.0513,0.0889,0.3049,2
8,3.74,0.25,0.0513,0.0851,0.3049,2
10,4.67,0.2,0.0513,0.0816,0.3049,2
12,5.61,0.1667,0.0513,0.0784,0.3049,2
14,6.54,0.2143,0.0769,0.1132,0.3049,3
17,7.94,0.1765,0.0769,0.1071,0.3049,3
19,8.88,0.2105,0.1026,0.1379,0.3049,4
21,9.81,0.1905,0.1026,0.1333,0.3049,4
32,14.95,0.1562,0.1282,0.1408,0.3049,5
42,19.63,0.119,0.1282,0.1235,0.3049,5
53,24.77,0.1132,0.1538,0.1304,0.3049,6
64,29.91,0.0938,0.1538,0.1165,0.3049,6
74,34.58,0.0946,0.1795,0.1239,0.3049,7
85,39.72,0.0941,0.2051,0.129,0.3049,8
96,44.86,0.0833,0.2051,0.1185,0.3049,8
107,50.0,0.0841,0.2308,0.1233,0.3049,9
128,59.81,0.1094,0.359,0.1677,0.3049,14
149,69.63,0.1141,0.4359,0.1809,0.3049,17
171,79.91,0.1228,0.5385,0.2,0.3049,21
192,89.72,0.1406,0.6923,0.2338,0.3049,27
214,100.0,0.1822,1.0,0.3083,0.3049,39
